순번,시도명,시군구명,설치위치,설치지점,쓰레기통종류,도로명주소,지번주소,위도,경도,관리기관,전화번호,데이터기준일자
1,경기도,고양시 덕양구,삼송역5번출구앞,역앞,일반쓰레기수거용,경기도 고양시 덕양구 삼송동 27-51,경기도 고양시 덕양구 삼송동 27-51,37.65368249,126.8946972,덕양구청 청소농정과,031-8075-5243,2025-02-24
2,경기도,고양시 덕양구,삼송역4번출구 버스정류장,"정류장(버스,택시 등)",일반쓰레기수거용,경기도 고양시 덕양구 삼송로 178,경기도 고양시 덕양구 삼송동 30-3,37.65326922,126.8938268,덕양구청 청소농정과,031-8075-5243,2025-02-24
3,경기도,고양시 덕양구,고양중학교 버스정류장,"정류장(버스,택시 등)",일반쓰레기수거용,경기도 고양시 덕양구 동세로 73,경기도 고양시 덕양구 삼송동 338,37.64790577,126.8840338,덕양구청 청소농정과,031-8075-5243,2025-02-24
4,경기도,고양시 덕양구,삼송마을 18.19단지 버스정류장,"정류장(버스,택시 등)",일반쓰레기수거용,경기도 고양시 덕양구 삼송동 387,경기도 고양시 덕양구 삼송동 387,37.6503365,126.8816485,덕양구청 청소농정과,031-8075-5243,2025-02-24
5,경기도,고양시 덕양구,선유동입구 버스정류장,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 덕양구 대자동 84-9,경기도 고양시 덕양구 대자동 84-9,37.68831269,126.9005395,덕양구청 청소농정과,031-8075-5243,2025-02-24
6,경기도,고양시 덕양구,"고양경찰서앞, 고양어린이박물관 버스정류장-상행","정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 덕양구 화정동 1009,경기도 고양시 덕양구 화정동 1009,37.62940059,126.8294422,덕양구청 청소농정과,031-8075-5243,2025-02-24
7,경기도,고양시 덕양구,"고양경찰서앞, 고양어린이박물관 버스정류장-하행","정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 덕양구 화정동 1009,경기도 고양시 덕양구 화정동 1009,37.62940059,126.8294422,덕양구청 청소농정과,031-8075-5243,2025-02-24
8,경기도,고양시 덕양구,덕양구청 정문,기타(보도),일반쓰레기수거용,경기도 고양시 덕양구 화중로 104번길 13,경기도 고양시 덕양구 화정동 955,37.63745718,126.8322778,덕양구청 청소농정과,031-8075-5243,2025-02-24
9,경기도,고양시 덕양구,덕양구청 버스정류장,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 덕양구 화정동 1097,경기도 고양시 덕양구 화정동 1097,37.6364214,126.8311669,덕양구청 청소농정과,031-8075-5243,2025-02-24
10,경기도,고양시 덕양구,화정역 덕양구청 버스정류장,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 덕양구 화정동 1097,경기도 고양시 덕양구 화정동 1097,37.6364214,126.8311669,덕양구청 청소농정과,031-8075-5243,2025-02-24
