설치위치,도로명주소,지번주소,데이터기준일자
투데이몰 옆 광장,경기도 군포시 산본천로 62,경기도 군포시 산본동 1123-2,2025-06-23
산본역 3번 출구 육교 밑,경기도 군포시 번영로 497,경기도 군포시 산본동 1142-5,2025-06-23
흡연부스 옆,경기도 군포시 광정로 60,경기도 군포시 산본동 1143-2,2025-06-23
중앙분수대 옆 벤치,경기도 군포시 산본로323번길 16-26,경기도 군포시 산본동 1133-2,2025-06-23
산본역 3번 출구 앞 버스정류소(26046),경기도 군포시 번영로 497,경기도 군포시 산본동 1142-5,2025-06-23
산본역 4번 출구 앞 버스정류소(26054),경기도 군포시 번영로 502 ,경기도 군포시 금정동 874-1,2025-06-23
금정역 4번 출구 앞 버스정류소(26111),경기도 군포시 군포로735번길 4,경기도 군포시 산본동 266-9,2025-06-23
금정역 6번 출구앞 버스정류소(26167),경기도 군포시 산본천로 221-1,경기도 군포시 산본동 100,2025-06-23
군포우체국 앞 버스정류소(26055),경기도 군포시 산본로 328,경기도 군포시 금정동 846,2025-06-23
군포시청 건너편 버스정류소(26049),경기도 군포시 산본로 339,경기도 군포시 산본동 1125-2,2025-06-23
새마을금고 앞,경기도 군포시 고산로 262,경기도 군포시 당동 921-2,2025-06-23
군포역 버스정류소(26128),경기도 군포시 군포로 524,경기도 군포시 당동 776-23,2025-06-23
군포시가족센터 앞 버스정류소(26063),경기도 군포시 번영로 200번길 72,경기도 군포시 부곡동 1194,2025-06-23
군포역 1번 출구 앞 택시승강장 부근,경기도 군포시 군포로534번길 19,경기도 군포시 당동 750-11,2025-06-23
당정역 3번 출구 앞 버스정류소(26222),,경기도 군포시 당정동 762-1,2025-06-23
당정역 2번 출구 앞 버스정류소(26222),경기도 군포시 당정역로4번길 20,경기도 군포시 당정동 1010-3,2025-06-23
수리산역 1번 출구 앞 버스정류소(26018),경기도 군포시 번영로 385,경기도 군포시 산본동 1231-1,2025-06-23
버스정류소(26098),경기도 군포시 산본천로 224-1,경기도 군포시 산본동 265-9,2025-06-23
군포보훈회관 맞은편 버스정류소(26057),,경기도 군포시 산본동,2025-06-23
오금동우체국 자전거보관대 옆,경기도 군포시 번영로 382,경기도 군포시 산본동 1156-7,2025-06-23
군포시보건소 버스정류소(26179),경기도 군포시 군포로 211,경기도 군포시 부곡동 770,2025-06-23
용호고등학교 맞은편 버스정류소(26168),,경기도 군포시 당동 976,2025-06-23
