연번,시도명,시군구명,해당구,해당동,상세주소,설치위치,쓰레기통 종류,위도,경도,담당부서 전화번호,데이터기준일자
1,경기도,성남시,수정구,신흥2동,신흥동 2460-1 앞,버스정류장(05105): 세이브존,일반,37.444803 ,127.154191 ,031-729-3194,2025-03-25
2,경기도,성남시,수정구,신흥3동,신흥동 4124 앞,버스정류장(05338): 신흥역 3번출구,일반,37.441324 ,127.146444 ,031-729-3194,2025-03-25
3,경기도,성남시,수정구,신흥3동,신흥동 2503 앞,신흥역 4번출구(IBK 옆 MLB),일반,37.441497 ,127.147934 ,031-729-3194,2025-03-25
4,경기도,성남시,수정구,태평1동,태평동 5113-7 앞,가천대역 2번출구(빽다방),일반,37.448464 ,127.127150 ,031-729-3194,2025-03-25
5,경기도,성남시,수정구,태평1동,태평동 6513 앞,태평역 1번출구(만랩커피),일반,37.440317 ,127.128193 ,031-729-3194,2025-03-25
6,경기도,성남시,수정구,수진2동,수진동 2997 앞,태평역 3번출구(현대자동차),일반,37.439506 ,127.128169 ,031-729-3194,2025-03-25
7,경기도,성남시,수정구,단대동,단대동 95-4 앞,남한산성입구역 3번출구(공중전화기 옆),일반,37.451725 ,127.159505 ,031-729-3194,2025-03-25
8,경기도,성남시,수정구,양지동,양지동 226 앞,버스정류장(05134): 은행시장 건너편 (빽다방),일반,37.458725 ,127.164343 ,031-729-3194,2025-03-25
9,경기도,성남시,수정구,복정동,복정동 620-2,가천대역 1번출구(가천대학교),일반,37.451237 ,127.129389 ,031-729-3194,2025-03-25
10,경기도,성남시,수정구,위례동,창곡동 506,위례 한화 오벨리스크 올리브영 앞 (위례중앙광장),일반,37.473026 ,127.141833 ,031-729-3194,2025-03-25
11,경기도,성남시,수정구,위례동,창곡동 505,위례 한화 오벨리스크 팔각도 앞 (위례중앙광장 입구),일반,37.473049 ,127.141268 ,031-729-3194,2025-03-25
12,경기도,성남시,수정구,태평2동,수정로 183,성남시의료원(지우병원 앞),스마트,37.443729 ,127.140190 ,031-729-3194,2025-03-25
13,경기도,성남시,수정구,신흥3동,산성대로 265,성남종합시장(신흥역 ABC마트 앞),스마트,37.440926 ,127.146302 ,031-729-3194,2025-03-25
14,경기도,성남시,중원구,성남동,성남동 3492 앞,모란역 2번 출구 (올리브영 앞),일반,37.432280 ,127.129507 ,031-729-3194,2025-03-25
15,경기도,성남시,중원구,성남동,성남동 3499 앞,모란역 4번 출구 (CGV 인근 공중전화기 앞),일반,37.431309 ,127.129778 ,031-729-3194,2025-03-25
16,경기도,성남시,중원구,성남동,성남동 4171 앞,모란역 5번 출구 (눈사랑한의원 앞),일반,37.431283 ,127.128750 ,031-729-3194,2025-03-25
17,경기도,성남시,중원구,성남동,성남동 4167 앞,모란역 6번 출구 (OK마트 앞),일반,37.431715 ,127.128711 ,031-729-3194,2025-03-25
18,경기도,성남시,중원구,중앙동,중앙동 65 앞,단대오거리역 3번 출구 (버스정류장 앞),일반,37.443986 ,127.155828 ,031-729-3194,2025-03-25
19,경기도,성남시,중원구,금광1동,금광동 10 앞,단대오거리역 2번 출구 (단대쇼핑 농협 인근 공중전화기),일반,37.444569 ,127.157968 ,031-729-3194,2025-03-25
20,경기도,성남시,중원구,금광2동,금광동 4750 앞,남한산성입구역 1번 출구 (과일가게 앞),일반,37.452355 ,127.160617 ,031-729-3194,2025-03-25
21,경기도,성남시,중원구,금광2동,금광동 4699 앞,남한산성입구역 2번 출구 (복권판매소 앞),일반,37.451641 ,127.160297 ,031-729-3194,2025-03-25
22,경기도,성남시,중원구,은행2동,은행동 1553 앞,버스정류장(06179) : 은행시장 입구,일반,37.457582 ,127.164480 ,031-729-3194,2025-03-25
23,경기도,성남시,중원구,은행2동,은행동 1562 앞,버스정류장(06214) : 은행시장,일반,37.457164 ,127.164044 ,031-729-3194,2025-03-25
24,경기도,성남시,중원구,상대원1동,상대원동 1445 앞,버스정류장(06075) : 상대원1동,일반,37.433076 ,127.164990 ,031-729-3194,2025-03-25
25,경기도,성남시,중원구,상대원3동,상대원동 2339 앞,학년쇼핑 농협은행 앞,일반,37.440169 ,127.162594 ,031-729-3194,2025-03-25
26,경기도,성남시,중원구,하대원동,하대원동 139 앞,버스정류장(06040) : 아튼빌 건너 영도교회 앞,일반,37.430726 ,127.152530 ,031-729-3194,2025-03-25
27,경기도,성남시,중원구,성남동,성남대로 1127,모란시장(모란역 다시 젊어지는 치과 앞),스마트,37.430338 ,127.128885 ,031-729-3194,2025-03-25
