연번,읍면,마을명,설치장소 주소,세부위치,데이터기준일
1,가례면,갑을,경남 의령군 가례면 갑을리 243-2,갑을마을 주차장,2025-04-22
2,가례면,가례,경남 의령군 가례면 가례리 443,가례마을 공터,2025-04-22
3,가례면,양성,경남 의령군 가례면 양성리 619-8,양성마을 버스승강장 근처,2025-04-22
4,가례면,평촌,경남 의령군 가례면 운암리 200-27,평촌마을 주차장,2025-04-22
5,궁류면,토곡,경남 의령군 궁류면 토곡리 823,토곡마을회관,2025-04-22
6,궁류면,계현1구,경남 의령군 궁류면 계현리 274-9,마현마을 주차장 앞,2025-04-22
7,궁류면,계현1구,경남 의령군 궁류면 계현리 313,계현1구 마을입구 공터 앞,2025-04-22
8,궁류면,석정,경남 의령군 궁류면 토곡리 591-27,석정마을회관,2025-04-22
9,궁류면,당동,경남 의령군 궁류면 궁류로 7길 19,당동마을회관근처,2025-04-22
10,궁류면,지동,경남 의령군 궁류면 다현리,지동저수지 근처,2025-04-22
11,궁류면,평촌,경남 의령군 궁류면 평촌리 491,평촌경로당,2025-04-22
12,낙서면,신기,경남 의령군 낙서면 정곡리 141-1,신기마을 주차장,2025-04-22
13,낙서면,당지(역굼),경남 의령군 낙서면 여의리 84-4,당지(역굼)마을 경로당 앞,2025-04-22
14,낙서면,당지,경남 의령군 낙서면 여의리 152-3,당지마을 농기계창고 뒤,2025-04-22
15,낙서면,두곡,경남 의령군 낙서면 정곡리 844-1,두곡마을 회관 옆,2025-04-22
16,낙서면,아근,경남 의령군 낙서면 아근리 199-1,아근마을 회관 옆,2025-04-22
17,낙서면,여의,경남 의령군 낙서면 여의리 492,여의마을 회관(주차장) 앞,2025-04-22
18,낙서면,율산,경남 의령군 낙서면 율산리 464-1,율산마을회관,2025-04-22
19,낙서면,방계,경남 의령군 낙서면 전화리 224-10,마을회관 근처,2025-04-22
20,낙서면,정곡,경남 의령군 낙서면 정곡리 1303,마을회관 근처,2025-04-22
21,대의면,평촌,경남 의령군 대의면 마쌍리 164-4,평촌마을입구 공터,2025-04-22
22,대의면,구성,경남 의령군 대의면 마쌍리 451-5,구성마을 주차장,2025-04-22
23,대의면,심지,경남 의령군 대의면 심지리 391-4,심지마을회관,2025-04-22
24,대의면,신기,경남 의령군 대의면 심지리 542,신기마을회관,2025-04-22
25,대의면,하촌,경남 의령군 대의면 하촌리 551-3,하촌마을 주차장,2025-04-22
26,대의면,중촌,경남 의령군 대의면 중촌리 580-7,중촌마을보건진료소,2025-04-22
27,봉수면,서암,경남 의령군 봉수면 서암리 1077-1,서암마을회관 주차장,2025-04-22
28,봉수면,신현,경남 의령군 봉수면 신현리 300-1,신현마을회관 근처 도로변,2025-04-22
29,봉수면,죽전,경남 의령군 봉수면 죽전리 539-1,죽전리복지회관 근처,2025-04-22
30,봉수면,천락,경남 의령군 봉수면 천락리 96,천락마을 버스승강장,2025-04-22
31,부림면,하여,경남 의령군 부림면 여배로 106,하여마을회관,2025-04-22
32,부림면,권혜,경남 의령군 부림면 권혜리 271-14,권혜마을회관 근처,2025-04-22
33,부림면,중동,경남 의령군 부림면 신반리 106-1,태산빌라 근처,2025-04-22
34,부림면,옥동,경남 의령군 부림면 감암리 651-1,옥동마을복지회관,2025-04-22
35,부림면,박진,경남 의령군 부림면 경산리 716,박진마을 도로변 입구,2025-04-22
36,부림면,수축,경남 의령군 부림면 단원리 22-3,마을회관 근처,2025-04-22
37,용덕면,가미,경남 의령군 용덕면 가미리 267-3,가미마을회관,2025-04-22
38,용덕면,상용,경남 의령군 용덕면 용소리 18-7,상용마을회관 옆,2025-04-22
39,용덕면,신소,경남 의령군 용덕면 소상리 645-1,농기계보관소 근처,2025-04-22
40,용덕면,부남,경남 의령군 용덕면 소상리 1153-12,신소-부남 간 도로변,2025-04-22
41,용덕면,이목,경남 의령군 용덕면 이목리 87-1,이목마을 버스승강장 근처,2025-04-22
42,유곡면,신촌,경남 의령군 유곡면 신촌리 124-1,신촌마을 도로변,2025-04-22
43,유곡면,당동,경남 의령군 유곡면 당동리 105,당동마을회관 옆,2025-04-22
44,유곡면,구송산,경남 의령군 유곡면 송산리1485-2,구송산마을회관,2025-04-22
45,유곡면,구상곡,경남 의령군 유곡면 상곡리 731,마을회관 근처,2025-04-22
46,의령읍,성남,경남 의령군 의령읍 하리 619-2,성남마을 주차장,2025-04-22
47,의령읍,남산,경남 의령군 의령읍 남산로 7-15,삼영타운,2025-04-22
48,의령읍,서본,경남 의령군 의령읍 의병로14길 23,서광아파트,2025-04-22
49,의령읍,서본,경남 의령군 의병로9동길 26,천우스카이,2025-04-22
50,의령읍,서신,경남 의령군 의병로9길 25-5,만덕스카이,2025-04-22
51,의령읍,서신,경남 의령군 의령읍 의병로9길 25-6,서동주공아파트,2025-04-22
52,의령읍,행복,경남 의령군 의령읍 행복로 23,의령동동엘에이치,2025-04-22
53,의령읍,행복,경남 의령군 의령읍 행복로 7,신우희가로,2025-04-22
54,의령읍,무중,경남 의령군 의령읍 무전리 999-6,무중마을 도로변,2025-04-22
55,의령읍,수암,경남 의령군 의령읍 하리 산 124-1,수암마을회관 입구 도로변,2025-04-22
56,의령읍,구룡,경남 의령군 의령읍 동동리 1555,농공단지사무국협의회 근처,2025-04-22
57,의령읍,무하,경남 의령군 의령읍 무전리 772-1,무하마을 주차장,2025-04-22
58,의령읍,만상,경남 의령군 의령읍 만천리 800-3,만산마을 도로변,2025-04-22
59,의령읍,무상,경남 의령군 의령읍 무전리 951-4,무상마을 도로변,2025-04-22
60,의령읍,척곡,경남 의령군 의령읍 중리 305-1,풋살돔구장 근처,2025-04-22
61,정곡면,대신,경남 의령군 정곡면 죽전리 1402,죽전경로당 뒷편,2025-04-22
62,정곡면,무곡,경남 의령군 정곡면 예둔리 336-3,무곡마을회관,2025-04-22
63,정곡면,가현,경남 의령군 정곡면 가현리 48-5,농기계창고 근처,2025-04-22
64,정곡면,문곡,경남 의령군 정곡면 중교리 477-1,마을회관 근처,2025-04-22
65,정곡면,두호,경남 의령군 정곡면 적곡리 673,두호상회 근처,2025-04-22
66,지정면,두곡,경남 의령군 지정면 두곡리 872-4,두곡마을 도로변,2025-04-22
67,지정면,태부,경남 의령군 지정면 태부리 843-1,태부마을회관,2025-04-22
68,지정면,백산,경남 의령군 지정면 유곡리 280,백산농기계창고 근처,2025-04-22
69,지정면,성당,경남 의령군 지정면 성당리 586-2,성당보건진료소 근처,2025-04-22
70,지정면,신암,경남 의령군 지정면 함의로10길 7,신정마을 공영주차장,2025-04-22
71,지정면,마산,경남 의령군 지정면 마산리 948-8,마산마을회관 맞은편,2025-04-22
72,지정면,두곡,경남 의령군 지정면 두곡리 872-4,두곡마을,2025-04-22
73,지정면,나림,경남 의령군 지정면 봉곡리763-1,나림마을회관 근처,2025-04-22
74,지정면,포외,경남 의령군 지정면 마산리574-5,포외경로당,2025-04-22
75,지정면,상촌,경남 의령군 지정면 성산리 23,성산경로당 근처,2025-04-22
76,지정면,웅곡,경남 의령군 지정면 오천리 609-2,웅곡경로당 근처,2025-04-22
77,칠곡면,입암,경남 의령군 칠곡면 신포리 739-2,마을입구 주차장 쪽,2025-04-22
78,칠곡면,신포,경남 의령군 칠곡면 신포리 666-1,신포마을회관 맞은편,2025-04-22
79,칠곡면,죽공,경남 의령군 칠곡면 산북리 549-1,죽공마을복지회관,2025-04-22
80,칠곡면,중촌,경남 의령군 칠곡면 외조리 206-1,중촌마을회관,2025-04-22
81,칠곡면,양촌,경남 의령군 칠곡면 산북리 164-1,양촌마을 주차장,2025-04-22
82,화정면,유수,경남 의령군 화정면 진의4길 139,유수마을회관,2025-04-22
83,화정면,지곡,경남 의령군 화정면 상이리 728-3,지곡마을 근처,2025-04-22
