연번, 관리번호, 도로명,행정동, 설치주소, 세부위치,위도,경도, 수거쓰레기종류, 쓰레기통종류, 관리기관명, 관리기관전화번호, 데이터기준일자
1,광산구-1,상무대로,송정1동,광주광역시 광산구 신촌동 689-1,공항역 버스정류장,35.1439276372,126.8101870702,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
2,광산구-2,상무대로,송정1동,광주광역시 광산구 상무대로 268,송정KT빌딩 앞 버스정류장,35.1415385366,126.7956927019,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
3,광산구-3,송도로,송정2동,광주광역시 광산구 송정동 887-12,송정5일시장 주차장 입구 버스정류장,35.1359194533,126.7974310188,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
4,광산구-4,상무대로,송정2동,광주광역시 광산구 송정동 1415,광주송정역 버스정류장,35.1382764656,126.7916942481,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
5,광산구-5,상무대로,송정2동,광주광역시 광산구 상무대로 214,광주송정역 버스정류장,35.1382359987,126.7923269322,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
6,광산구-6,상무대로,송정2동,광주광역시 광산구 상무대로 190,광주송정역 맞은편 택시승강장,35.1366621265,126.7913266095,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
7,광산구-7,상무대로,송정2동,광주광역시 광산구 송정동 949-77,횡단보도 부근,35.1344843996,126.7893031906,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
8,광산구-8,상무대로,도산동,광주광역시 광산구 도산동 1023-3,도산역 버스정류장,35.1313676979,126.7872758109,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
9,광산구-9,어등대로,어룡동,광주광역시 광산구 소촌동 590,금호타이어 앞 버스정류장,35.1444156341,126.7899723399,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
10,광산구-10,어등대로,어룡동,광주광역시 광산구 소촌동 589-1,금호타이어 버스정류장,35.1449324577,126.7905883720,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
11,광산구-11,사암로,신흥동,광주광역시 광산구 신촌동 978-8,버스정류장,35.1465121026,126.8075707783,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
12,광산구-12,금봉로,우산동,광주광역시 광산구 우산동 1078-11,우산동중흥S클래스 버스정류장,35.1521504985,126.8098017514,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
13,광산구-13,금봉로,우산동,광주광역시 광산구 우산동 1621,우산동중흥S클래스 버스정류장,35.1510226,126.8112409,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
14,광산구-14,우산로,우산동,광주광역시 광산구 우산동 1028-21,상무축산 앞 버스정류장,35.1566173113,126.8099416069,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
15,광산구-15,월곡산정로,우산동,광주광역시 광산구 월곡동 613-1,어등초교 버스정류장,35.1657751477,126.8111785376,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
16,광산구-16,월곡산정로,우산동,광주광역시 광산구 우산동 1571-1,광주여대 버스정류장(하남중 방면),35.1663171496,126.8038701906,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
17,광산구-17,용아로,우산동,광주광역시 광산구 산정동 143-16,광주여대 버스정류장(우산동 방면),35.1658881874,126.8012667170,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
18,광산구-18,우산로,우산동,광주광역시 광산구 우산동 1603-1,우산시영2단지(서) 버스정류장,35.1598237676,126.8041466703,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
19,광산구-19,월곡중앙로,월곡1동,광주광역시 광산구 월곡동 689-2,횡단보도 부근,35.1717685755,126.8113757756,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
20,광산구-20,하남대로,월곡2동,광주광역시 광산구 월곡동 679-8,흑석사거리(동) 버스정류장,35.1797749532,126.8095301515,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
21,광산구-21,사암로,월곡2동,광주광역시 광산구 월곡동 489-29,버스정류장,35.1755468977,126.8083440924,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
22,광산구-22,사암로,월곡2동,광주광역시 광산구 월곡동 489-24,맞은편 버스정류장,35.1751346473,126.8083628439,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
23,광산구-23,사암로,월곡2동,광주광역시 광산구 월곡동 315-26,LG베스트샵 사거리 모서리,35.1727372138,126.8093939923,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
24,광산구-24,사암로,월곡2동,광주광역시 광산구 월곡동 538-2,롯데리아 앞 횡단보도 부근,35.1673448294,126.8082320571,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
25,광산구-25,사암로,월곡2동,광주광역시 광산구 월곡동 538-2,일신아파트(어등초교 방면) 버스정류장,35.1673448294,126.8082320571,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
26,광산구-26,사암로,월곡2동,광주광역시 광산구 월곡동 55-5,버스정류장,35.1679736630,126.8091751328,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
27,광산구-27,사암로,월곡2동,광주광역시 광산구 월곡동 549-2,월곡지구대 앞,35.1687861162,126.8092135199,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
28,광산구-28,사암로,월곡2동,광주광역시 광산구 월곡동 687-3,월곡시장 버스정류장,35.1712971673,126.8096478412,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
29,광산구-29,사암로,월곡2동,광주광역시 광산구 월곡동 316-43,월곡시장 버스정류장,35.1714313965,126.8090288509,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
30,광산구-30,손재로,하남동,광주광역시 광산구 하남동 645,사거리,35.1760933778,126.7980729024,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
31,광산구-31,손재로,하남동,광주광역시 광산구 산정동 1011,도로변,35.1753958718,126.7976859998,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
32,광산구-32,하남대로,하남동,광주광역시 광산구 흑석동 117-2,버스정류장,35.1803130091,126.8071045277,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
33,광산구-33,임방울대로,운남동,광주광역시 광산구 운남동 426-1,버스정류장,35.1744506955,126.8179442063,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
34,광산구-34,하남대로,운남동,광주광역시 광산구 운남동 782-3,운남주공6단지 버스정류장,35.1793935672,126.8157782736,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
35,광산구-35,하남대로,운남동,광주광역시 광산구 운남동 769-3,운남주공5단지 버스정류장,35.1791777605,126.8194327629,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
36,광산구-36,하남대로,운남동,광주광역시 광산구 운남동 771-2,하남대로 맞은편 아름마을휴먼시아3단지 부근 버스정류장,35.1790072052,126.8222519696,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
37,광산구-37,하남대로,운남동,광주광역시 광산구 운남동 776-2,운남주공1단지 버스정류장,35.1787157225,126.8274300142,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
38,광산구-38,목련로,신가동,광주광역시 광산구 신가동 998-5,버스정류장,35.1842680395,126.8329280475,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
39,광산구-39,목련로,신가동,광주광역시 광산구 신가동 963-5,버스정류장,35.1846171242,126.8320930657,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
40,광산구-40,목련로,신가동,광주광역시 광산구 신가동 248-1,버스정류장,35.1801213800,126.8309964271,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
41,광산구-41,장신로,신창동,광주광역시 광산구 신창동 1185-3,버스정류장,35.1923623336,126.8433553850,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
42,광산구-42,신창로,신창동,광주광역시 광산구 신창동 1211-2,버스정류장,35.1891499983,126.8372626956,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
43,광산구-43,신창로,신창동,광주광역시 광산구 신창동 1211-2,맞은편 버스정류장,35.1891499983,126.8372626956,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
44,광산구-44,수등로,신창동,광주광역시 광산구 신가동 987-7,비아신협 앞 버스정류장,35.1853250884,126.8358506113,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
45,광산구-45,수등로,신창동,광주광역시 광산구 신가동 984-10,버스정류장,35.1862255606,126.8367315314,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
46,광산구-46,신창로,신창동,광주광역시 광산구 신창동 1108-2,버스정류장,35.1861960980,126.8374211644,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
47,광산구-47,신창로,신창동,광주광역시 광산구 신창동 1260,수문초등학교 버스정류장,35.1941255422,126.8374722697,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
48,광산구-48,신창로,신창동,광주광역시 광산구 신창동 1235,신창중 버스정류장,35.1939215775,126.8378283090,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
49,광산구-49,신창로,신창동,광주광역시 광산구 신가동 981-1,공원 앞 횡단보도 부근,35.1876443750,126.8367679372,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
50,광산구-50,장신로,수완동,광주광역시 광산구 수완동 1397,대로변 은빛마을 버스정류장,35.1910499546,126.8308757493,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
51,광산구-51,장신로,수완동,광주광역시 광산구 장덕동 1661,수완롯데아울렛 사거리 횡단보도 부근,35.1904445413,126.8187432216,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
52,광산구-52,수완로,수완동,광주광역시 광산구 수완동 1125,수완지구대 앞 사거리,35.1909302918,126.8284666842,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
53,광산구-53,장신로,수완동,광주광역시 광산구 수완동 1412,베스킨 앞 사거리,35.1904433834,126.8232655858,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
54,광산구-54,임방울대로,수완동,광주광역시 광산구 신가동 1052,수완 농수산물유통센터 앞 사거리,35.1850279996,126.8186595118,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
55,광산구-55,임방울대로,수완동,광주광역시 광산구 신가동 1052,수완 농수산물유통센터 맞은편 사거리,35.1850279996,126.8186595118,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
56,광산구-56,첨단중앙로,첨단1동,광주광역시 광산구 쌍암동 654-2,첨단롯데슈퍼 앞 사거리 횡단보도 부근,35.2213837188,126.8422588018,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
57,광산구-57,첨단중앙로,첨단1동,광주광역시 광산구 쌍암동 654-2,맞은편 (쌍암공원 방면) 사거리 현수막 게시대 옆,35.2213837188,126.8422588018,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
58,광산구-58,첨단중앙로,첨단1동,광주광역시 광산구 월계동 757-10,첨단동부아파트 앞 버스정류장,35.2221009762,126.8407189420,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
59,광산구-59,첨단중앙로,첨단1동,광주광역시 광산구 쌍암동 656-2,첨단1동행정복지센터 맞은편 버스정류장,35.2195270753,126.8423635543,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
60,광산구-60,첨단중앙로,첨단1동,광주광역시 광산구 쌍암동 657-6,대로변 버스정류장,35.2182267463,126.8436519124,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
61,광산구-61,첨단중앙로,첨단1동,광주광역시 광산구 쌍암동 657-3,버스정류장,35.2185506256,126.8423500652,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
62,광산구-62,임방울대로,첨단1동,광주광역시 광산구 월계동 758-10,버스정류장(임방울대로),35.2185466567,126.8416998645,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
63,광산구-63,임방울대로,첨단1동,광주광역시 광산구 월계동 758-10,맞은편 버스정류장(임방울대로),35.2185466567,126.8416998645,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
64,광산구-64,임방울대로,첨단1동,광주광역시 광산구 월계동 758-1,첨단초등학교 사거리,35.2198640470,126.8378943762,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
65,광산구-65,임방울대로,첨단1동,광주광역시 광산구 월계동 758-12,사거리 횡단보도,35.2181250926,126.8387557088,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
66,광산구-66,임방울대로,첨단1동,광주광역시 광산구 월계동 758-12,맞은편 (첨단라인1차 방면) 사거리 횡단보도,35.2181250926,126.8387557088,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
67,광산구-67,임방울대로,첨단1동,광주광역시 광산구 월계동 760-1,첨단도서관 앞 버스정류장,35.2168959353,126.8320336215,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
68,광산구-68,첨단중앙로,첨단1동,광주광역시 광산구 쌍암동 666-11,삼거리 모서리,35.2198626226,126.8442882844,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
69,광산구-69,첨단내촌로,첨단2동,광주광역시 광산구 월계동 771-1,월계초 사거리 파리바게트 맞은편 횡단보도 부근,35.2131715971,126.8364079707,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
70,광산구-70,첨단중앙로,첨단2동,광주광역시 광산구 월계동 889-7,첨단 LC타워 앞 버스정류장,35.2142980642,126.8433285270,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
71,광산구-71,산월로,첨단2동,광주광역시 광산구 월계동 851-22,남부대후문 버스정류장,35.2089921009,126.8403752551,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
72,광산구-72,월계로,첨단2동,광주광역시 광산구 월계동 893-9,첨단 오션스파 앞 도로변,35.2138557974,126.8478006496,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
73,광산구-73,첨단중앙로,첨단2동,광주광역시 광산구 산월동 883-1,첨단3-5차호반리젠시빌 정문 버스정류장 부근,35.2124823657,126.8487727724,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
74,광산구-74,첨단중앙로,첨단2동,광주광역시 광산구 산월동 886-7,남부대학교 정문 맞은편 버스정류장,35.2067443090,126.8430583897,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
75,광산구-75,산월로,첨단2동,광주광역시 광산구 산월동 885-3,첨단 그린타운 1차 정문 부근,35.2100394675,126.8458684915,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
76,광산구-76,비아로,비아동,광주광역시 광산구 도천동 628-1,비아 중흥아파트 버스정류장,35.2198745774,126.8194148252,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
77,광산구-77,동곡로,동곡동,광주광역시 광산구 복룡동 743-23,버스정류장,35.1179070909,126.7804367554,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
78,광산구-78,동곡로,동곡동,광주광역시 광산구 복룡동 367-34,버스정류장,35.1106763719,126.7792336949,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
79,광산구-79,동곡로,동곡동,광주광역시 광산구 복룡동 369-34,버스정류장,35.1073256984,126.7786699384,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
80,광산구-80,동곡로,동곡동,광주광역시 광산구 유계동 237-2,버스정류장,35.1016877341,126.7783325948,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
81,광산구-81,동곡로,동곡동,광주광역시 광산구 동곡로 155,버스정류장,35.0973737106,126.7739134055,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
