연번, 관리번호, 도로명,행정동, 설치주소, 세부위치,위도,경도, 수거쓰레기종류, 쓰레기통종류, 관리기관명, 관리기관전화번호, 데이터기준일자
1,광산구-1,상무대로,송정1동,광주광역시 광산구 신촌동 689-1,공항역 버스정류장,35.14392764,126.8101871,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2025-07-12
2,광산구-2,상무대로,송정1동,광주광역시 광산구 상무대로 268,송정KT빌딩 앞 버스정류장,35.14153854,126.7956927,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2025-07-12
3,광산구-3,송도로,송정2동,광주광역시 광산구 송정동 887-12,송정5일시장 주차장 입구 버스정류장,35.13591945,126.797431,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2025-07-12
4,광산구-4,상무대로,송정2동,광주광역시 광산구 송정동 1415,광주송정역 버스정류장,35.13827647,126.7916942,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2025-07-12
5,광산구-5,상무대로,송정2동,광주광역시 광산구 상무대로 214,광주송정역 버스정류장,35.138236,126.7923269,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2025-07-12
6,광산구-6,상무대로,송정2동,광주광역시 광산구 상무대로 190,광주송정역 맞은편 택시승강장,35.13666213,126.7913266,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2025-07-12
7,광산구-7,상무대로,송정2동,광주광역시 광산구 송정동 949-77,횡단보도 부근,35.1344844,126.7893032,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2025-07-12
8,광산구-8,상무대로,도산동,광주광역시 광산구 도산동 1023-3,도산역 버스정류장,35.1313677,126.7872758,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2025-07-12
9,광산구-9,어등대로,어룡동,광주광역시 광산구 소촌동 590,금호타이어 앞 버스정류장,35.14441563,126.7899723,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2025-07-12
10,광산구-10,어등대로,어룡동,광주광역시 광산구 소촌동 589-1,금호타이어 버스정류장,35.14493246,126.7905884,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2025-07-12
11,광산구-11,사암로,신흥동,광주광역시 광산구 신촌동 978-8,버스정류장,35.1465121,126.8075708,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2025-07-12
12,광산구-12,금봉로,우산동,광주광역시 광산구 우산동 1078-11,우산동중흥S클래스 버스정류장,35.1521505,126.8098018,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2025-07-12
13,광산구-13,금봉로,우산동,광주광역시 광산구 우산동 1621,우산동중흥S클래스 버스정류장,35.1510226,126.8112409,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2025-07-12
14,광산구-14,우산로,우산동,광주광역시 광산구 우산동 1028-21,상무축산 앞 버스정류장,35.15661731,126.8099416,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2025-07-12
15,광산구-15,월곡산정로,우산동,광주광역시 광산구 월곡동 613-1,어등초교 버스정류장,35.16577515,126.8111785,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2025-07-12
16,광산구-16,월곡산정로,우산동,광주광역시 광산구 우산동 1571-1,광주여대 버스정류장(하남중 방면),35.16631715,126.8038702,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2025-07-12
17,광산구-17,용아로,우산동,광주광역시 광산구 산정동 143-16,광주여대 버스정류장(우산동 방면),35.16588819,126.8012667,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2025-07-12
18,광산구-18,우산로,우산동,광주광역시 광산구 우산동 1603-1,우산시영2단지(서) 버스정류장,35.15982377,126.8041467,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2025-07-12
19,광산구-19,월곡중앙로,월곡1동,광주광역시 광산구 월곡동 689-2,횡단보도 부근,35.17176858,126.8113758,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2025-07-12
