연번,행정동,설치위치,상세 설치위치,위도,경도,데이터기준일자
1,봉선동,광주광역시 남구 봉선동 1-6,봉선셀프세차장 앞 횡단보도,35.128101,126.919637,2024-12-06
2,봉선동,광주광역시 남구 봉선동 1097-5,봉선로 13 앞 인도변,35.132001,126.902561,2024-12-06
3,봉선동,광주광역시 남구 주월동 1119-3,봉선로 56 하이마트 앞 횡단보도,35.128688,126.90432,2024-12-06
4,봉선동,광주광역시 남구 봉선동 산 128-12,제석산 입구(구름다리 밑),35.118345,126.906388,2024-12-06
5,봉선동,광주광역시 남구 봉선동 494,남광주신협 앞(솔뫼렉스 상가),35.123896,126.909016,2024-12-06
6,봉선동,광주광역시 남구 봉선동 1155-29,제석초 후문 횡단보도,35.127773,126.906465,2024-12-06
7,방림동,광주광역시 남구 방림동 548-1,엘지베스트샵 앞(양림휴먼시아1차 정류장),35.134089,126.913133,2024-12-06
8,진월동,광주광역시 남구 노대동 733,사거리 횡단보도(송화마을휴먼시아3단지 방향),35.1083,126.904336,2024-12-06
9,진월동,광주광역시 남구 진월동 424-6,남부시외버스터미널,35.116396,126.897993,2024-12-06
10,송암동,광주광역시 남구 송하동 48-3,송하삼익아파트 정류장,35.110405,126.892984,2024-12-06
11,송암동,광주광역시 남구 송하동 127-110,인성고 정류장,35.1033,126.879116,2024-12-06
12,송암동,광주광역시 남구 진월동 산 154-17,광주대정류장,35.10713,126.897267,2024-12-06
13,송암동,광주광역시 남구 송하동 270-3,송원대 정류장(송암고가 방면),35.11116,126.876216,2024-12-06
14,효덕동,광주광역시 남구 송하동 373,송원대 정류장(서구 방면),35.111205,126.876364,2024-12-06
