연번,위치,개수,비고,위도,경도,데이터기준일자
1,동적골 쉼터(입구),1,학운동,35.127376,126.953671,2024-11-30
2,동적골 쉼터(성헌농장 앞),1,학운동,35.124625,126.956323,2024-11-30
3,풍향시장 버스정류장,1,계림2동,35.161722,126.929357,2024-11-30
4,구)학동 시외버스터미널(학4지구),1,학동,35.136628,126.925329,2024-11-30
5,남광주시장 주차장 입구 버스정류장,1,학동,35.138619,126.921854,2024-11-30
6,동구문화센터 버스정류장,1,지원1동,35.128487,126.930573,2024-11-30
7,다보애마트 옆 횡단보도,1,지원2동,35.120364,126.933403,2024-11-30
8,농협하나로마트 옆(다보애마트건너편),1,지원2동,35.12097,126.933546,2024-11-30
9,학동 시외버스정류장(학문외과 건너편),1,학동,35.138577,126.923356,2024-11-30
10,아이파크 아파트 측면 버스정류장(구 남선교회),1,학동,35.138185,126.92178,2024-11-30
11,원지교 옆 소공원,1,지원1동,35.129104,126.929857,2024-11-30
12,광명아파트 옆 공원,1,산수2동,35.156809,126.938246,2024-11-30
13,산수우체국 앞,1,산수1동,35.155455,126.931181,2024-11-30
14,연진회미술원 버스정류장,1,학운동,35.132238,126.938306,2024-11-30
15,조선대 공대후문 횡단보도(조대공대쪽),1,서남동,35.14235,126.924875,2024-11-30
16,조선대 정문 사거리 (푸른길),1,서남동,35.144255,126.925743,2024-11-30
17,문화전당 주변 파리바케트 건너편 횡단보도 문화전당쪽,1,서남동,35.145837,126.921839,2024-11-30
18,산장입구 4거리 횡단보도 보행섬 호남직업학원 건너쪽,1,계림2동,35.16119,126.920569,2024-11-30
19,금남공원(삼성생명옆),1,충장동,35.149841,126.915768,2024-11-30
20,금남공원(지하도 입구),1,충장동,35.149995,126.915527,2024-11-30
21,대신증권 앞,1,충장동,35.153745,126.910163,2024-11-30
22,삼성생명 앞,1,충장동,35.153624,126.910071,2024-11-30
23,서석문 앞 횡단보도 서석문쪽,1,서남동,35.145705,126.922155,2024-11-30
24,구청정문 앞 구청쪽,1,서남동,35.145466,126.922739,2024-11-30
25,충장로1가 입구 횡단보도(좌),1,서남동,35.146715,126.918511,2024-11-30
26,광주축협 횡단보도 양쪽(NC웨이브)1,1,충장동,35.148297,126.913276,2024-11-30
27,광주축협 횡단보도 양쪽(NC웨이브)2,1,충장동,35.148232,126.913369,2024-11-30
28,계림5거리 전자종합주방 앞,1,동명동,35.154495,126.920955,2024-11-30
29,백림약국 건너쪽 광주은행365코너 횡단보도,1,계림2동,35.162222,126.928595,2024-11-30
30,조선대 정문 사거리 (전대의대방향),1,서남동,35.144057,126.925594,2024-11-30
31,대인광장쪽 신정B/D,1,충장동,35.155239,126.913338,2024-11-30
32,YMCA 앞,1,충장동,35.148049,126.91842,2024-11-30
33,농협중앙회 앞,1,충장동,35.149792,126.916157,2024-11-30
34,광주우체국 옆,1,충장동,35.154437,126.914186,2024-11-30
35,전남여고,1,충장동,35.150883,126.920251,2024-11-30
36,김재규 경찰학원 앞,1,충장동,35.150672,126.920165,2024-11-30
37,광주고등학교 옆 버스정류장,1,계림2동,35.158405,126.920681,2024-11-30
38,살레시오 버스정류장(푸른길쪽),1,서남동,35.14684,126.927347,2024-11-30
39,두암타운 아파트 입구,1,산수2동,35.160992,126.935134,2024-11-30
40,법원 정문,1,지산2동,35.15037,126.933264,2024-11-30
41,산수오거리 보행섬,1,산수1동,35.154983,126.931734,2024-11-30
42,이연안과 앞 보행섬,1,서남동,35.145616,126.921822,2024-11-30
43,월남동 호반베르디움1차 삼거리,1,지원2동,35.105797,126.937742,2024-11-30
44,학동시장(구) 버스정류장(누네띠네 앞),1,학동,35.137044,126.925425,2024-11-30
45,주남마을 입구,1,지원2동,35.102478,126.939397,2024-11-30
46,칠우대패삼겹살 입구,1,충장동,35.15333,126.916383,2024-11-30
