연번,자치구명,설치장소,설치개수,데이터기준일자
1,광주광역시 서구,금호베어스타운사거리 교통치킨 앞,1,2025-07-31
2,광주광역시 서구,양동시장 건너편 버스승강장,1,2025-07-31
3,광주광역시 서구,돌고개 버스승강장 공중전화부스 옆,1,2025-07-31
4,광주광역시 서구,서구청 앞 횡단보도,1,2025-07-31
5,광주광역시 서구,화정역 버스승강장(4번 출구쪽),1,2025-07-31
6,광주광역시 서구,쌍촌역 버스승강장(3번 출구쪽),1,2025-07-31
7,광주광역시 서구,농어촌공사 건너편 (주)진아건설 앞 버스승강장,1,2025-07-31
8,광주광역시 서구,운천역 4번 출구,1,2025-07-31
9,광주광역시 서구,잿등육교 버스승강장(상무지구 방향),1,2025-07-31
10,광주광역시 서구,화정역사거리 컴포즈커피숍 앞,1,2025-07-31
11,광주광역시 서구,서구청 내 흡연장,1,2025-07-31
12,광주광역시 서구,서창교차로 입구 버스승강장(알뜰주유소 앞),1,2025-07-31
13,광주광역시 서구,금호동 한국아파트2차 앞 인도변(류종회치과 앞),1,2025-07-31
14,광주광역시 서구,금호동 일신·명지아파트 앞,1,2025-07-31
15,광주광역시 서구,금호동 시영5차아파트 버스승강장,1,2025-07-31
16,광주광역시 서구,운천저수지쪽 사거리,1,2025-07-31
17,광주광역시 서구,금호베어스타운 맞은편 사거리,2,2025-07-31
18,광주광역시 서구,금호동 라인동산 101동 앞,1,2025-07-31
19,광주광역시 서구,운천역 버스승강장,1,2025-07-31
20,광주광역시 서구,김대중컨벤션역 5번 출구앞,1,2025-07-31
21,광주광역시 서구,김대중컨벤션역 4번 출구앞,1,2025-07-31
22,광주광역시 서구,신세계백화점 사거리(백화점쪽),1,2025-07-31
23,광주광역시 서구,모다 염주점 앞,1,2025-07-31
24,광주광역시 서구,"월드컵경기장 건너편(구, 상무정)",1,2025-07-31
25,광주광역시 서구,금호동 모아아파트 교차로 앞,1,2025-07-31
26,광주광역시 서구,금호동 송촌아파트 버스승강장 앞,1,2025-07-31
27,광주광역시 서구,신세계백화점 사거리(광주안과쪽),1,2025-07-31
28,광주광역시 서구,월드컵경기장사거리(경기장쪽),1,2025-07-31
29,광주광역시 서구,월드컵경기장 버스승강장,1,2025-07-31
30,광주광역시 서구,화정3동 e편한세상 앞 보행섬,1,2025-07-31
31,광주광역시 서구,마재우체국 버스승강장,1,2025-07-31
32,광주광역시 서구,서구문화센터 버스승강장,1,2025-07-31
33,광주광역시 서구,서구문화센터사거리 류종회치과 앞,1,2025-07-31
