연번,자치구명,설치장소,설치개수,데이터기준일자
1,광주광역시 동구,금남공원(지하도 입구),1,2025-07-31
2,광주광역시 동구,삼성생명 앞,1,2025-07-31
3,광주광역시 동구,YMCA 앞,1,2025-07-31
4,광주광역시 동구,농협중앙회 앞,1,2025-07-31
5,광주광역시 동구,광주축협 횡단보도 양쪽(NC웨이브)2,1,2025-07-31
6,광주광역시 동구,대인광장쪽 신정B/D,1,2025-07-31
7,광주광역시 동구,전남여고,1,2025-07-31
8,광주광역시 동구,김재규 경찰학원 앞,1,2025-07-31
9,광주광역시 동구,문화전당 주변 파리바케트 건너편 횡단보도 문화전당쪽,1,2025-07-31
10,광주광역시 동구,이연안과 앞 보행섬,1,2025-07-31
11,광주광역시 동구,충장로1가 입구 횡단보도(좌),1,2025-07-31
12,광주광역시 동구,서석문 앞 횡단보도 서석문쪽,1,2025-07-31
13,광주광역시 동구,조선대 공대후문 횡단보도(조대공대쪽),1,2025-07-31
14,광주광역시 동구,살레시오 승강장(푸른길쪽),1,2025-07-31
15,광주광역시 동구,풍향시장 건너 승강장 앞,1,2025-07-31
16,광주광역시 동구,산장입구 4거리 횡단보도 보행섬 호남직업학원 건너쪽,1,2025-07-31
17,광주광역시 동구,산수오거리 보행섬,1,2025-07-31
18,광주광역시 동구,산수우체국 앞,1,2025-07-31
19,광주광역시 동구,두암타운 아파트 입구,1,2025-07-31
20,광주광역시 동구,법원 정문,1,2025-07-31
21,광주광역시 동구,남광주역 승강장,1,2025-07-31
22,광주광역시 동구,아이파크 아파트 승강장,1,2025-07-31
23,광주광역시 동구,동적골 쉼터(입구),1,2025-07-31
24,광주광역시 동구,동적골 쉼터(성헌농장 앞),1,2025-07-31
25,광주광역시 동구,문화센터 앞,1,2025-07-31
26,광주광역시 동구,지원2동사무소 입구 신협 앞,1,2025-07-31
27,광주광역시 동구,농협하나로마트 옆,1,2025-07-31
28,광주광역시 동구,원지교 옆 소공원,1,2025-07-31
29,광주광역시 동구,주남마을 입구,1,2025-07-31
30,광주광역시 서구,금호베어스타운사거리 교통치킨 앞,1,2025-07-31
31,광주광역시 서구,양동시장 건너편 버스승강장,1,2025-07-31
32,광주광역시 서구,돌고개 버스승강장 공중전화부스 옆,1,2025-07-31
33,광주광역시 서구,서구청 앞 횡단보도,1,2025-07-31
34,광주광역시 서구,화정역 버스승강장(4번 출구쪽),1,2025-07-31
35,광주광역시 서구,쌍촌역 버스승강장(3번 출구쪽),1,2025-07-31
36,광주광역시 서구,농어촌공사 건너편 (주)진아건설 앞 버스승강장,1,2025-07-31
37,광주광역시 서구,운천역 4번 출구,1,2025-07-31
38,광주광역시 서구,잿등육교 버스승강장(상무지구 방향),1,2025-07-31
39,광주광역시 서구,화정역사거리 컴포즈커피숍 앞,1,2025-07-31
40,광주광역시 서구,서구청 내 흡연장,1,2025-07-31
41,광주광역시 서구,서창교차로 입구 버스승강장(알뜰주유소 앞),1,2025-07-31
42,광주광역시 서구,금호동 한국아파트2차 앞 인도변(류종회치과 앞),1,2025-07-31
43,광주광역시 서구,금호동 일신·명지아파트 앞,1,2025-07-31
44,광주광역시 서구,금호동 시영5차아파트 버스승강장,1,2025-07-31
45,광주광역시 서구,운천저수지쪽 사거리,1,2025-07-31
46,광주광역시 서구,금호베어스타운 맞은편 사거리,2,2025-07-31
47,광주광역시 서구,금호동 라인동산 101동 앞,1,2025-07-31
48,광주광역시 서구,운천역 버스승강장,1,2025-07-31
49,광주광역시 서구,김대중컨벤션역 5번 출구앞,1,2025-07-31
50,광주광역시 서구,김대중컨벤션역 4번 출구앞,1,2025-07-31
51,광주광역시 서구,신세계백화점 사거리(백화점쪽),1,2025-07-31
52,광주광역시 서구,모다 염주점 앞,1,2025-07-31
53,광주광역시 서구,"월드컵경기장 건너편(구, 상무정)",1,2025-07-31
54,광주광역시 서구,금호동 모아아파트 교차로 앞,1,2025-07-31
55,광주광역시 서구,금호동 송촌아파트 버스승강장 앞,1,2025-07-31
56,광주광역시 서구,신세계백화점 사거리(광주안과쪽),1,2025-07-31
57,광주광역시 서구,월드컵경기장사거리(경기장쪽),1,2025-07-31
58,광주광역시 서구,월드컵경기장 버스승강장,1,2025-07-31
59,광주광역시 서구,화정3동 e편한세상 앞 보행섬,1,2025-07-31
60,광주광역시 서구,마재우체국 버스승강장,1,2025-07-31
61,광주광역시 서구,서구문화센터 버스승강장,1,2025-07-31
62,광주광역시 서구,서구문화센터사거리 류종회치과 앞,1,2025-07-31
63,광주광역시 남구,봉선셀프세차장 앞 횡단보도,1,2025-07-31
64,광주광역시 남구,봉선로 56 하이마트 앞 횡단보도,1,2025-07-31
65,광주광역시 남구,제석산 입구(구름다리 밑),1,2025-07-31
66,광주광역시 남구,제석초 후문 횡단보도,1,2025-07-31
67,광주광역시 남구,엘지베스트샵 앞(양림휴먼시아1차 정류장),1,2025-07-31
68,광주광역시 북구,KT&G광주제조창 ,1,2025-07-31
69,광주광역시 북구,KT&G광주제조창후문 ,1,2025-07-31
70,광주광역시 북구,각화동 금호,1,2025-07-31
71,광주광역시 북구,경신여고,2,2025-07-31
72,광주광역시 북구,경신여고일방로,2,2025-07-31
73,광주광역시 북구,고려고(남),1,2025-07-31
74,광주광역시 북구,광주공고입구,2,2025-07-31
75,광주광역시 북구,광주병원,2,2025-07-31
76,광주광역시 북구,광주역(동),1,2025-07-31
77,광주광역시 북구,광주역(서),2,2025-07-31
78,광주광역시 북구,광주역뒷편,1,2025-07-31
79,광주광역시 북구,교육대,1,2025-07-31
80,광주광역시 북구,국제고,2,2025-07-31
81,광주광역시 북구,농수산물공판장,2,2025-07-31
82,광주광역시 북구,대신파크,1,2025-07-31
83,광주광역시 북구,대인광장(북)(양편),1,2025-07-31
84,광주광역시 북구,대인광장(서)(동부소방서방향),1,2025-07-31
85,광주광역시 북구,덕산아파트(청명아파트방향),2,2025-07-31
86,광주광역시 북구,동강대후문(양편),2,2025-07-31
87,광주광역시 북구,동림푸른마을,2,2025-07-31
88,광주광역시 북구,두암라인동산아파트(양편),2,2025-07-31
89,광주광역시 북구,두암택지 (SK병원쪽),1,2025-07-31
90,광주광역시 북구,말바우시장,1,2025-07-31
91,광주광역시 북구,말바우시장(동),1,2025-07-31
92,광주광역시 북구,말바우시장(서)(말바우시장 방향),1,2025-07-31
93,광주광역시 북구,무등경기장(남)(무등경기장 방향),1,2025-07-31
94,광주광역시 북구,무등경기장(북),1,2025-07-31
95,광주광역시 북구,무등경기장입구,1,2025-07-31
96,광주광역시 북구,무등도서관,2,2025-07-31
97,광주광역시 북구,문흥동 금호아파트,3,2025-07-31
98,광주광역시 북구,문흥라인아파트(양편),3,2025-07-31
99,광주광역시 북구,문흥중(자연과학고방향),1,2025-07-31
100,광주광역시 북구,문흥지구입구(남),1,2025-07-31
101,광주광역시 북구,북구차량등록민원실(메가박스 앞),1,2025-07-31
102,광주광역시 북구,북구청,2,2025-07-31
103,광주광역시 북구,비엔날레전시관(비엔날레정문 양편),1,2025-07-31
104,광주광역시 북구,삼각그린타운,2,2025-07-31
105,광주광역시 북구,삼성콜센터(중흥시장방향),1,2025-07-31
106,광주광역시 북구,샛터코아 ,2,2025-07-31
107,광주광역시 북구,샛터코아(문흥1동주민센터 방향),1,2025-07-31
108,광주광역시 북구,서방사거리,3,2025-07-31
