연번,시도명,시군구명,설치위치,위도,경도,데이터기준일자
1,대구광역시,남구,명덕로 326,35.85483221,128.6057592,2025-09-11
2,대구광역시,남구,대봉로 172-2,35.85406277,128.6028415,2025-09-11
3,대구광역시,남구,대봉로 176 건너,35.85446818,128.6028778,2025-09-11
4,대구광역시,남구,명덕로 282,35.85516306,128.6009124,2025-09-11
5,대구광역시,남구,명덕로 248,35.85595692,128.5971651,2025-09-11
6,대구광역시,남구,명덕로 199 건너,35.85650929,128.5893636,2025-09-11
7,대구광역시,남구,이천로 141-5,35.85396038,128.5980911,2025-09-11
8,대구광역시,남구,이천로128 건너,35.85237337,128.5984734,2025-09-11
9,대구광역시,남구,희망로 19 옆,35.8479263,128.6007359,2025-09-11
10,대구광역시,남구,희망로 34,35.84750443,128.6021829,2025-09-11
11,대구광역시,남구,봉덕로 83,35.84497483,128.5997615,2025-09-11
12,대구광역시,남구,대봉로 42,35.84255388,128.6044258,2025-09-11
13,대구광역시,남구,대봉로 12,35.84087592,128.604723,2025-09-11
14,대구광역시,남구,용두1길 38,35.83204408,128.6044898,2025-09-11
15,대구광역시,남구,봉덕로 60,35.84468945,128.5973461,2025-09-11
16,대구광역시,남구,이천로 7,35.84178553,128.5976785,2025-09-11
17,대구광역시,남구,이천로 22,35.84276468,128.598339,2025-09-11
18,대구광역시,남구,효성로 81,35.84050442,128.5979234,2025-09-11
19,대구광역시,남구,효성로 45-2,35.83741725,128.5988522,2025-09-11
20,대구광역시,남구,효성중앙길 2,35.8352632,128.6006291,2025-09-11
21,대구광역시,남구,효성로 15,35.83488693,128.6001724,2025-09-11
22,대구광역시,남구,앞산순환로 657,35.83312845,128.596739,2025-09-11
23,대구광역시,남구,봉덕로 6,35.84510899,128.5908953,2025-09-11
24,대구광역시,남구,이천로 17,35.84284861,128.597775,2025-09-11
25,대구광역시,남구,중앙대로 259,35.85646107,128.5900054,2025-09-11
26,대구광역시,남구,중앙대로 215,35.85253007,128.590253,2025-09-11
27,대구광역시,남구,중앙대로 207,35.85195324,128.5902487,2025-09-11
28,대구광역시,남구,중앙대로 194,35.85009478,128.5906003,2025-09-11
29,대구광역시,남구,현충로 201,35.85081701,128.5811399,2025-09-11
30,대구광역시,남구,현충로 194,35.8499963,128.5812446,2025-09-11
31,대구광역시,남구,양지로 125,35.8519741,128.5804398,2025-09-11
32,대구광역시,남구,현충로 219,35.85205661,128.5820125,2025-09-11
33,대구광역시,남구,명덕로 104,35.85552175,128.5793143,2025-09-11
34,대구광역시,남구,성당로 150,35.84789272,128.5688191,2025-09-11
35,대구광역시,남구,성당로 180,35.84951158,128.5714545,2025-09-11
36,대구광역시,남구,양지로 8,35.85093195,128.5741218,2025-09-11
37,대구광역시,남구,양지로 38,35.85084265,128.575826,2025-09-11
38,대구광역시,남구,중앙대로 171,35.84911289,128.5886556,2025-09-11
39,대구광역시,남구,중앙대로 137,35.84560814,128.5902016,2025-09-11
40,대구광역시,남구,대명로 296,35.84409366,128.5884191,2025-09-11
41,대구광역시,남구,대명로 284,35.84351346,128.5872636,2025-09-11
42,대구광역시,남구,대명로 269-2,35.84328617,128.5858228,2025-09-11
43,대구광역시,남구,대명로 225-2,35.8413327,128.5816241,2025-09-11
44,대구광역시,남구,현충로 148,35.84604358,128.5803965,2025-09-11
45,대구광역시,남구,대명남로 73,35.83508873,128.5660931,2025-09-11
46,대구광역시,남구,안지랑로5길 92,35.83305629,128.5651267,2025-09-11
47,대구광역시,남구,대명로 100,35.8388701,128.5688874,2025-09-11
48,대구광역시,남구,대명로 234-2,35.84111263,128.5823973,2025-09-11
49,대구광역시,남구,대명로 202,35.83968456,128.5794977,2025-09-11
50,대구광역시,남구,대명로 174 삼각지,35.83881516,128.5766134,2025-09-11
51,대구광역시,남구,현충로 49,35.83719666,128.579546,2025-09-11
52,대구광역시,남구,현충로 27,35.83534127,128.5792668,2025-09-11
53,대구광역시,남구,앞산순환로 473,35.83238966,128.5764118,2025-09-11
54,대구광역시,남구,앞산순환로 443,35.83101535,128.5735462,2025-09-11
55,대구광역시,남구,앞산순환로 435 옆 고가다리 밑,35.83090921,128.5731249,2025-09-11
56,대구광역시,남구,대명로 162,35.83885696,128.5754182,2025-09-11
57,대구광역시,남구,대명로 25,35.83865876,128.5601743,2025-09-11
58,대구광역시,남구,대명로 69,35.83960659,128.5656272,2025-09-11
59,대구광역시,남구,대명로 135,35.83958271,128.5725565,2025-09-11
60,대구광역시,남구,대명로 159,35.83945288,128.5752011,2025-09-11
61,대구광역시,남구,월배로 482,35.83610588,128.5567582,2025-09-11
62,대구광역시,남구,봉덕로20길 2,35.84444154,128.6007932,2025-09-11
