연번,시도,시군구명,주소,위 치,데이터기준일자
1,대구광역시,중구,대구광역시 중구 태평로 225,태평상가앞1 버스정류장,2024-04-15
2,대구광역시,중구,대구광역시 중구 명덕로 237,상수도사업본부건너 버스정류장,2024-04-15
3,대구광역시,중구,대구광역시 중구 동인동4가 166,중구청건너 버스정류장,2024-04-15
4,대구광역시,중구,대구광역시 중구 동인동4가 382-2,동인초등학교앞 버스정류장,2024-04-15
5,대구광역시,중구,대구광역시 중구 삼덕동2가 217-7,경북대학교병원앞 버스정류장,2024-04-15
6,대구광역시,중구,대구광역시 중구 달구벌대로 2226,방천시장[김광석길] 건너 버스정류장,2024-04-15
7,대구광역시,중구,대구광역시 중구 달구벌대로 2177,경북대학교치과병원 버스정류장,2024-04-15
8,대구광역시,중구,대구광역시 중구 명덕로 281,대봉성당 버스정류장,2024-04-15
9,대구광역시,중구,대구광역시 중구 대봉동 184-1,대백프라자앞 버스정류장,2024-04-15
10,대구광역시,중구,대구광역시 중구 달구벌대로 2170,경대사대부설고등학교앞 버스정류장,2024-04-15
11,대구광역시,중구,대구광역시 중구 국채보상로 697-1,중구청앞 버스정류장,2024-04-15
12,대구광역시,중구,대구광역시 중구 달구벌대로 2124,2호선반월당역2 버스정류장,2024-04-15
13,대구광역시,중구,대구광역시 중구 중앙대로 334,반월당역[2번출구] 버스정류장,2024-04-15
14,대구광역시,중구,대구광역시 중구 중앙대로 298,남문시장건너2 버스정류장,2024-04-15
15,대구광역시,중구,대구광역시 중구 동덕로125,경북대학교병원건너 버스정류장,2024-04-15
16,대구광역시,중구,대구광역시 중구 국채보상로 670,국채보상운동기념공원 버스정류장,2024-04-15
17,대구광역시,중구,대구광역시 중구 태평로1가 1-187,대구역앞 버스정류장,2024-04-15
18,대구광역시,중구,대구광역시 중구 태평로2가 1-52,대구콘서트하우스앞 버스정류장,2024-04-15
19,대구광역시,중구,대구광역시 중구 국채보상로 539,곽병원앞1 버스정류장,2024-04-15
20,대구광역시,중구,대구광역시 중구 국채보상로 543,만경관앞 버스정류장,2024-04-15
21,대구광역시,중구,대구광역시 중구 국채보상로 546,만경관건너 버스정류장,2024-04-15
22,대구광역시,중구,대구광역시 중구 달구벌대로 2063-1,약령시입구 버스정류장,2024-04-15
23,대구광역시,중구,대구광역시 중구 남산동 665,반월당역1번출구 1 버스정류장,2024-04-15
24,대구광역시,중구,대구광역시 중구 중앙대로278,명덕역[6번출구] 버스정류장,2024-04-15
25,대구광역시,중구,대구광역시 중구 중앙대로275,명덕역[7번출구] 버스정류장,2024-04-15
26,대구광역시,중구,대구광역시 중구 명덕로 163,명덕초등학교앞 버스정류장,2024-04-15
27,대구광역시,중구,대구광역시 중구 남산로 70,남산초등학교앞 버스정류장,2024-04-15
28,대구광역시,중구,대구광역시 중구 달구벌대로2038,엘디스리젠트호텔건너 버스정류장,2024-04-15
29,대구광역시,중구,대구광역시 중구 달성로 26,동산의료원앞2 버스정류장,2024-04-15
30,대구광역시,중구,대구광역시 중구 서성로 20,매일신문사앞 버스정류장,2024-04-15
31,대구광역시,중구,대구광역시 중구 달성로 112,수창초등학교 버스정류장,2024-04-15
32,대구광역시,중구,대구광역시 중구 국채보상로 540,곽병원 건너 버스정류장,2024-04-15
33,대구광역시,중구,대구광역시 중구 달구벌대로 2226,방천시장[김광석길] 앞 버스정류장,2024-04-15
34,대구광역시,중구,대구광역시 중구 달성로 27,서문시장 버스정류장,2024-04-15
35,대구광역시,중구,대구광역시 중구 달구벌대로 1955,대신센트럴자이 버스정류장,2024-04-15
36,대구광역시,중구,대구광역시 중구 명덕로 85,계명대학교대명캠퍼스건너 버스정류장,2024-04-15
37,대구광역시,중구,대구광역시 중구 동산동424,청라언덕 화장실 인근,2024-04-15
38,대구광역시,중구,대구광역시 중구 동산동257,쌈지공원,2024-04-15
39,대구광역시,중구,대구광역시 중구 서성로 6-1,이상화 고택 일원,2024-04-15
40,대구광역시,중구,대구광역시 중구 대봉동 654-1,김광석길 관광안내소,2024-04-15
41,대구광역시,중구,대구광역시 중구 대봉동 654-1,김광석길 무대 앞,2024-04-15
42,대구광역시,중구,대구광역시 중구 봉산문화길 77,봉산문화회관 앞 광장,2024-04-15
43,대구광역시,중구,대구광역시 중구 달구벌대로 2123,2호선반월당역1 버스정류장,2024-04-15
44,대구광역시,중구,대구광역시 중구 달구벌대로 2131-1,봉산문화거리 건너 버스정류장,2024-04-15
45,대구광역시,중구,대구광역시 중구 명덕로 203,명덕네거리2 버스정류장,2024-04-15
46,대구광역시,중구,대구광역시 중구 남산동 105-7,남산초등학교 건너 버스정류장,2024-04-15
47,대구광역시,중구,대구광역시 중구 달성동 226-5,달성공원앞 버스정류장,2024-04-15
