연번,시도명,시군구명,설치위치,설치지점,설치개수,쓰레기통 종류,데이터기준일자
1,대구광역시,서구,대구광역시 서구 내당동 1290 광장코아,도로변 버스정류장,1,일반,2025-07-30
2,대구광역시,서구,대구광역시 서구 국채보상로 250-1,서구청 건너 승강장 앞,1,일반,2025-07-30
3,대구광역시,서구,대구광역시 서구 국채보상로 257 구청,토큰판매소앞,1,일반,2025-07-30
4,대구광역시,서구,대구광역시 서구 국채보상로 257 구청,분수대 앞,1,일반,2025-07-30
5,대구광역시,서구,대구광역시 서구 평리동 1621-12,대구은행서구청출장소 앞,1,일반,2025-07-30
6,대구광역시,서구,대구광역시 서구 서대구로 156 로또명가 앞,로또명가 앞,1,일반,2025-07-30
7,대구광역시,서구,대구광역시 서구 서대구로 295 북부정류장,외국인 쉼터 안,1,일반,2025-07-30
8,대구광역시,서구,대구광역시 서구 국채보상로 117,이현지구대 앞,1,일반,2025-07-30
9,대구광역시,서구,대구광역시 서구 원대로13길 2 금류타운,버스승강장 앞,1,일반,2025-07-30
10,대구광역시,서구,대구광역시 서구 팔달로 182 앞 승강장,팔달쇼핑 건너 버스승강장,1,일반,2025-07-30
11,대구광역시,서구,대구광역시 서구 팔달로 152-1,버스승강장 앞,1,일반,2025-07-30
12,대구광역시,서구,대구광역시 서구 196,상가 앞,1,일반,2025-07-30
13,대구광역시,서구,대구광역시 서구 달서로39길2,뉴서대구약국 앞,1,분리수거,2025-07-30
14,대구광역시,서구,대구광역시 서구 달서로 201,서대구농협 북비산지점 앞,1,분리수거,2025-07-30
15,대구광역시,서구,대구광역서 서구 서대구로 119,버스정류장,1,일반,2025-07-30
16,대구광역시,서구,대구광역시 서구 국채보상로34길 12,중리롯데캐슬 종합상가 무인자판기 앞,1,일반,2025-07-30
