연번,시도명,자치구명,도로(가로)명,지번주소,세부위치,설치장소유형,수거 쓰레기 종류,형태,설치연도,관리기관명,관리기관전화번호,데이터기준일
1,대전광역시,동구,동대전로 319,가양동 429-2,중앙택시,버스정류장 앞,일반+담배꽁초+재활용 ,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
2,대전광역시,동구,합내로 75,가양동 451-26,더치나인,버스정류장 앞,일반+담배꽁초+재활용 ,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
3,대전광역시,동구,우암로 355 건너편,가양동 50-15,택시회사,버스정류장 앞,일반+담배꽁초+재활용 ,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
4,대전광역시,동구,우암로 328,가양동 146-12,연세의원,버스정류장 앞,일반+담배꽁초+재활용 ,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
5,대전광역시,동구,우암로 240,가양동 288-3,가양치과,버스정류장 앞,일반+담배꽁초+재활용 ,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
6,대전광역시,동구,우암로 279,가양동 391-10,구기산업건설,버스정류장 앞,일반+담배꽁초+재활용 ,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
7,대전광역시,동구,우암로 286,가양동 394-4,행복누리,버스정류장 앞,일반+담배꽁초+재활용 ,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
8,대전광역시,동구,동대전로 263,가양동 404-2,그래그래피자,버스정류장 앞,일반+담배꽁초+재활용 ,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
9,대전광역시,동구,동대전로 284,가양동 418-20,연합의원,버스정류장 앞,일반+담배꽁초+재활용 ,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
10,대전광역시,동구,동대전로 287,가양동 419-3,고고성자원,버스정류장 앞,일반+담배꽁초+재활용 ,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
