연번,정류장 지번주소,설치 쓰레기통 종류,쓰레기통 개수,데이터 기준일자
1,대전광역시 서구 둔산서로105,일반,1,2025-07-04
2,대전광역시 서구 괴정동135-2,일반,1,2025-07-04
3,대전광역시 서구 용문동256-31,일반,1,2025-07-04
4,대전광역시 서구 용문동259-1,일반,1,2025-07-04
5,대전광역시 서구 내동167(서우@201동 앞),일반,1,2025-07-04
6,대전광역시 서구 괴정동3-3,일반,1,2025-07-04
7,대전광역시 서구 탄방동514-387,일반,1,2025-07-04
8,대전광역시 서구 용문동 276-6(농협앞),일반,1,2025-07-04
9,대전광역시 서구 용문동594-6(승강장),일반,1,2025-07-04
10,대전광역시 서구 변동오거리(승강장),일반,1,2025-07-04
11,대전광역시 서구 가장동41-10,일반,1,2025-07-04
12,대전광역시 서구 도마동25-5,일반,1,2025-07-04
13,대전광역시 서구 가장동 래미안@201동앞(승강장),일반,1,2025-07-04
14,대전광역시 서구 변동31-9(승강장),일반,1,2025-07-04
15,대전광역시 서구 변동61-21(승강장),일반,1,2025-07-04
16,대전광역시 서구 내동25-8,일반,1,2025-07-04
17,대전광역시 서구 가장동 래미안@ 113동 앞,일반,1,2025-07-04
18,대전광역시 서구 가장동 래민안@ 116동 앞,일반,1,2025-07-04
19,대전광역시 서구 도마1동 210,일반,1,2025-07-04
20,대전광역시 서구 갈마동 경성큰마을 정문,일반,1,2025-07-04
21,대전광역시 서구 갈마동 1434,일반,1,2025-07-04
22,대전광역시 서구 가장동 40-23,일반,1,2025-07-04
23,대전광역시 서구 가장동 33-6,일반,1,2025-07-04
24,대전광역시 서구 내동35-2(이한축산 앞),일반,1,2025-07-04
25,대전광역시 서구 괴정동 10-8,일반,1,2025-07-04
26,대전광역시 서구 변동 15-11,일반,1,2025-07-04
27,대전광역시 서구 월평동243,일반,1,2025-07-04
28,대전광역시 서구 월평동266-1,일반,1,2025-07-04
29,대전광역시 서구 월평동282-1,일반,1,2025-07-04
30,대전광역시 서구 월평동222,일반,1,2025-07-04
31,대전광역시 서구 월평동302,일반,1,2025-07-04
32,대전광역시 서구 월평동300(무지개@승강장),일반,1,2025-07-04
33,대전광역시 서구 월평동301(무지개@승강장),일반,1,2025-07-04
34,대전광역시 서구 월평동310(서부소방서승강장),일반,1,2025-07-04
35,대전광역시 서구 월평동312-1(진달래@승강장),일반,1,2025-07-04
36,대전광역시 서구 월평동313(은뜰공원승강장),일반,1,2025-07-04
37,대전광역시 서구 월평동424(이마트옆승강장),일반,1,2025-07-04
38,대전광역시 서구 월평동951(월평육교승강장),일반,1,2025-07-04
39,대전광역시 서구 월평동29-1(신도칼국수앞 승강장),일반,1,2025-07-04
40,대전광역시 서구 갈바동292-5,일반,1,2025-07-04
41,대전광역시 서구 갈마동293-4,일반,1,2025-07-04
42,대전광역시 서구 갈마동407(갈마@승강장),일반,1,2025-07-04
43,대전광역시 서구 갈마동397-1,일반,1,2025-07-04
44,대전광역시 서구 갈마동361-4,일반,1,2025-07-04
45,대전광역시 서구 갈마동1129-2,일반,1,2025-07-04
46,대전광역시 서구 둔산동1036,일반,1,2025-07-04
47,대전광역시 서구 둔산동962(하이마트 앞 승강장),일반,1,2025-07-04
48,대전광역시 서구 둔산동962(하이마트 옆 승강장),일반,1,2025-07-04
49,대전광역시 서구 둔산동959-2,일반,1,2025-07-04
50,대전광역시 서구 둔산동1110(계룡4가),일반,1,2025-07-04
51,대전광역시 서구 둔산동1043(현대생명앞승강장),일반,1,2025-07-04
52,대전광역시 서구 관저1동 대자연@정문,일반,1,2025-07-04
53,대전광역시 서구 관저1동 대자연@후문,일반,1,2025-07-04
54,대전광역시 서구 관저1동 건양대입구(건양프라자 앞),일반,1,2025-07-04
55,대전광역시 서구 관저2동 구봉마을 814동 앞,일반,1,2025-07-04
56,대전광역시 서구 관저2동 구봉마을 814동 옆,일반,1,2025-07-04
57,대전광역시 서구 관저2동 구봉마을 810동 앞,일반,1,2025-07-04
58,대전광역시 서구 관저2동 구봉마을 810동 옆,일반,1,2025-07-04
59,대전광역시 서구 관저2동 신선마을 201동(관저지하도 입구),일반,1,2025-07-04
60,대전광역시 서구 관저2동 1465,일반,1,2025-07-04
61,대전광역시 서구 관저2동 1495,일반,1,2025-07-04
62,대전광역시 서구 가수원4거리-목원대입구도로,일반,1,2025-07-04
63,대전광역시 서구 가수원4거리-목원대입구도로,일반,1,2025-07-04
64,대전광역시 서구 정림동 백목련@102동 옆 하천쪽,일반,1,2025-07-04
65,대전광역시 서구 정림동 코스모스@정문 옆,일반,1,2025-07-04
66,대전광역시 서구 복수동 오량실내체육관 옆,일반,1,2025-07-04
67,대전광역시 서구 복수동 485번지(농협건너편),일반,1,2025-07-04
68,대전광역시 서구 복수동 삼익목화@ 102동 옆,일반,1,2025-07-04
69,대전광역시 서구 도마동 경남@4거리,일반,1,2025-07-04
70,대전광역시 서구 도마동 171-31 앞,일반,1,2025-07-04
71,대전광역시 서구 도마동 171-31 옆,일반,1,2025-07-04
72,대전광역시 서구 용문동 228-24,일반,1,2025-07-04
73,대전광역시 서구 용문동 도산로410,일반,1,2025-07-04
74,대전광역시 서구 용문동 계룡로655,일반,1,2025-07-04
75,대전광역시 서구 탄방동 서부농협 승강장,일반,1,2025-07-04
76,대전광역시 서구 탄방동684,일반,1,2025-07-04
77,대전광역시 서구 탄방동1452,일반,1,2025-07-04
78,대전광역시 서구 탄방동603,일반,1,2025-07-04
79,대전광역시 서구 탄방동1268,일반,1,2025-07-04
80,대전광역시 서구 탄방동 유등로 669,일반,1,2025-07-04
81,대전광역시 서구 탄방동 탄방역,일반,1,2025-07-04
82,대전광역시 서구 탄방동 한우리@,일반,1,2025-07-04
83,대전광역시 서구 탄방동 둔산초교,일반,1,2025-07-04
84,대전광역시 서구 둔산동 현대아이텔승강장,일반,1,2025-07-04
85,대전광역시 서구 둔산동 변호사회관 승강장,일반,1,2025-07-04
86,대전광역시 서구 둔산동 1452,일반,1,2025-07-04
87,대전광역시 서구 둔산동1495,일반,1,2025-07-04
88,대전광역시 서구 둔산동 크로바@111동 앞 승강장,일반,1,2025-07-04
89,대전광역시 서구 둔산동 가람@ 5동 앞 승강장,일반,1,2025-07-04
90,대전광역시 서구 둔산동 목련@ 303동,일반,1,2025-07-04
91,대전광역시 서구 둔산동 (한반대로쪽 가람@)뒤,일반,1,2025-07-04
