연번,설치장소,지번주소,설치지점,쓰레기통종류,데이터기준일자
1,중앙로156 제일금거래소 앞 버스승강장,대전광역시 중구 은행동 142-8,버스승강장,3칸,2025-07-11
2,중앙로 164 이안경원 앞 버스승강장,대전광역시 중구 은행동 48-14,버스승강장,3칸,2025-07-11
3,중앙로 168 원더랜드 앞 버스승강장,대전광역시 중구 은행동 45-16,버스승강장,3칸,2025-07-11
4,대전천서로 445 더리터 은행점 건너편 횡단보도,대전광역시 중구 은행동 65-16,횡단보도,3칸,2025-07-11
5,대종로 468 이안과 앞 버스승강장,대전광역시 중구 은행동 153-5,버스승강장,2칸,2025-07-11
6,보문로 192-1 앞 버스승강장,대전광역시 중구 대흥동 340-50,버스승강장,2칸,2025-07-11
7,대흥로 110 대전고등학교 앞 버스승강장,대전광역시 중구 대흥동 320-2,버스승강장,3칸,2025-07-11
8,대종로 471 대흥동성당 앞 버스승강장,대전광역시 중구 대흥동 189,버스승강장,3칸,2025-07-11
9,중앙로 134-1 순남시래기 앞 버스승강장,대전광역시 중구 대흥동 203-3 ,버스승강장,2칸,2025-07-11
10,중앙로 126 메가박스 앞 버스승강장,대전광역시 중구 대흥동 205-1,버스승강장,2칸,2025-07-11
11,보문로 258 빽다방 앞 버스승강장,대전광역시 중구 대흥동 469-5,버스승강장,2칸,2025-07-11
12,보문로 238 kt대전지점 앞 버스승강장,대전광역시 중구 대흥동 452-52,버스승강장,2칸,2025-07-11
13,보문로 235 앞 버스승강장,대전광역시 중구 대흥동 508-63,버스승강장,2칸,2025-07-11
14,대종로 411 농협아나로마트 앞 버스승강장,대전광역시 중구 대흥동 40-10,버스승강장,2칸,2025-07-11
15,보문로 195 앞 버스승강장,대전광역시 중구 대흥동 330-22,버스승강장,3칸,2025-07-11
16,대흥로 64 성모병원 응급실 앞,대전광역시 중구 대흥동 520-2,횡단보도,2칸,2025-07-11
17,중앙로 76 하나은행 앞,대전광역시 중구 대흥동 500,횡단보도,2칸,2025-07-11
18,중앙로 100 중구청 후문 버스승강장,대전광역시 중구 대흥동 499-1,버스승강장,2칸,2025-07-11
19,대종로 373 한밭운동장 앞 승강장,대전광역시 중구 부사동 209-1 ,버스승강장,2칸,2025-07-11
20,보문로 92 앞 승강장,대전광역시 중구 부사동 140-4 ,버스승강장,2칸,2025-07-11
21,충무로 69-1 테미고개 승강장,대전광역시 중구 대사동 118-21,버스승강장,3칸,2025-07-11
22,대사동 99-23 공영주차장 앞 승강장,대전광역시 중구 대사동 99-23,버스승강장,2칸,2025-07-11
23,대사동 197 보문산 내 공영주차장 버스종점,대전광역시 중구 대사동 197,버스승강장,2칸,2025-07-11
24,대종로 297 금산인삼도매시장 앞 버스승강장,대전광역시 중구 부사동 153-1,버스승강장,3칸,2025-07-11
25,대종로 301-1 앞 횡단보도,대전광역시 중구 부사동 153-20,횡단보도,2칸,2025-07-11
26,보문로 17 건영페인트 앞 횡단보도,대전광역시 중구 문창동 368-13 ,횡단보도,2칸,2025-07-11
27,보문로 45 앞 버스승강장,대전광역시 중구 문창동 373-10,버스승강장,2칸,2025-07-11
28,대종로 290 앞 택시승강장,대전광역시 중구 문창동 379-3,택시승강장,3칸,2025-07-11
29,대종로 227 앞 버스승강장,대전광역시 중구 석교동 60-5,버스승강장,2칸,2025-07-11
30,대종로 143 앞 버스승강장,대전광역시 중구 호동 10-5,버스승강장,2칸,2025-07-11
31,대종로 130 앞 버스승강장,대전광역시 중구 호동 26-22,버스승강장,2칸,2025-07-11
32,대종로 66 솔빛아파트 앞 버스승강장,대전광역시 중구 옥계동 45-3,버스승강장,3칸,2025-07-11
33,중앙로 139 롯데리아 앞,대전광역시 중구 선화동 3-3,택시승강장,2칸,2025-07-11
34,중앙로 119 국민연금공단 앞 승강장,대전광역시 중구 선화동 226,버스승강장,3칸,2025-07-11
35,보문로 320-1 성진빌딩 앞 승강장,대전광역시 중구 선화동 140-14,버스승강장,3칸,2025-07-11
36,보문로 293 LSI정보기술 앞 승강장,대전광역시 중구 선화동 248-10,버스승강장,2칸,2025-07-11
37,중앙로 63 앞 승강장,대전광역시 중구 선화동 382-50,버스승강장,2칸,2025-07-11
38,대종로 523 대전웨딩박람회장 앞 승강장,대전광역시 중구 선화동 10-1,버스승강장,2칸,2025-07-11
39,중앙로 135 파리바게트 앞 ,대전광역시 중구 선화동 62-12,버스승강장,2칸,2025-07-11
40,대종로 606 신발나라 앞 승강장,대전광역시 중구 선화동 115-9,버스승강장,2칸,2025-07-11
41,중앙로 167 나이키 앞 승강장,대전광역시 중구 은행동 9-12,버스승강장,3칸,2025-07-11
42,중앙로 153 대전중앙약국 앞 승강장,대전광역시 중구 은행동 141-16,버스승강장,3칸,2025-07-11
43,대종로 698 원플라워 앞 승강장,대전광역시 중구 중촌동 87-9,버스승강장,2칸,2025-07-11
44,대종로 660 앞 승강장,대전광역시 중구 중촌동 105-11,버스승강장,3칸,2025-07-11
