연번,설치위치(버스승강장명_설치 방향),설치지점,쓰레기통 종류,데이터기준일자
1,"대전광역시 대덕구 대화동 16-135(대화동 육교, 오정동방면)",도로변 버스정류장,"일반,재활용 2조1세트",2025-03-10
2,"대전광역시 대덕구 대화동 37-9(원명학교, 공단방면)",도로변 버스정류장,"일반,재활용 2조1세트",2025-03-10
3,"대전광역시 대덕구 대화동 530-4(동아연필, 공구상가 후문방향)",도로변 버스정류장,"일반,재활용 2조1세트",2025-03-10
4,"대전광역시 대덕구 대화동 40-47(대화동행정복지센터, 아모레퍼시픽 앞)",도로변 버스정류장,"일반,재활용 2조1세트",2025-03-10
5,"대전광역시 대덕구 대화동 4-1(대화공단삼거리, 주유소 앞)",도로변 버스정류장,"일반,재활용 2조1세트",2025-03-10
6,"대전광역시 대덕구 대화동 561-10(대화공단 삼거리, 주유소 건너편)",도로변 버스정류장,"일반,재활용 2조1세트",2025-03-10
7,"대전광역시 대덕구 대화동 40-81(대화동행정복지센터, CU편의점 앞)",도로변 버스정류장,"일반,재활용 2조1세트",2025-03-10
8,대전광역시 대덕구 신탄진로 232(와동농협와동지소 앞),횡단보도 앞,"일반,재활용 2조1세트",2025-03-10
10,"대전광역시 대덕구 오정동 243-5(오정주민센터, 세종방면 BRT)",도로변 버스정류장,"일반,재활용 2조1세트",2025-03-10
11,"대전광역시 대덕구 오정동 10-106(대전병원, 대전역방면)",도로변 버스정류장,"일반,재활용 2조1세트",2025-03-10
12,"대전광역시 대덕구 오정동 172-1(한남대 정문, 한남오거리방면)",도로변 버스정류장,"일반,재활용 2조1세트",2025-03-10
14,"대전광역시 대덕구 오정동 175-48(대전신학대학교, 한남프라자 안경 앞)",도로변 버스정류장,"일반,재활용 2조1세트",2025-03-10
16,"대전광역시 대덕구 오정동 448-4(한남오거리, 오정우체국방면)",도로변 버스정류장,"일반,재활용 2조1세트",2025-03-10
17,"대전광역시 대덕구 오정동 388-4(한남오거리, 대덕구청방면)",도로변 버스정류장,"일반,재활용 2조1세트",2025-03-10
24,"대전광역시 대덕구 오정동 391-1(오정네거리, 장원순대 앞)",도로변 버스정류장,"일반,재활용 2조1세트",2025-03-10
25,"대전광역시 대덕구 오정동 715(농수산오거리, 대전역방면 BRT) ",도로변 버스정류장,"일반,재활용 2조1세트",2025-03-10
26,"대전광역시 대덕구 오정동 715(농수산오거리, 둔산동방면 BRT)",도로변 버스정류장,"일반,재활용 2조1세트",2025-03-10
27,"대전광역시 대덕구 오정동 726(오정동 주민센터, 대전역방면 BRT)",도로변 버스정류장,"일반,재활용 2조1세트",2025-03-10
28,"대전광역시 대덕구 오정동 370-10(한남오거리, 대전역방면 BRT)",도로변 버스정류장,"일반,재활용 2조1세트",2025-03-10
29,"대전광역시 대덕구 오정동 387-4(한남오거리, 오정동행정복지센터 방면 BRT)",도로변 버스정류장,"일반,재활용 2조1세트",2025-03-10
32,"대전광역시 대덕구 오정동 753(대덕구청, 대전역방면 BRT)",도로변 버스정류장,"일반,재활용 2조1세트",2025-03-10
38,대전광역시 대덕구 읍내동 317(회덕초등학교 앞),회덕초등학교 앞 인도,"일반,재활용 2조1세트",2025-03-10
39,"대전광역시 대덕구 읍내동 482-1(당아래, 동아교재방면)",도로변 버스정류장,"일반,재활용 2조1세트",2025-03-10
41,"대전광역시 대덕구 읍내동 550(읍내네거리, 대화공단삼거리방면)",도로변 버스정류장,"일반,재활용 2조1세트",2025-03-10
42,"대전광역시 대덕구 읍내동 71-1(제월당, 대한통운종점방면)",도로변 버스정류장,"일반,재활용 2조1세트",2025-03-10
44,"대전광역시 대덕구 읍내동 71-1(읍내동 현대아파트, 대전지방국세청방면)",도로변 버스정류장,"일반,재활용 2조1세트",2025-03-10
46,"대전광역시 대덕구 신대동 372-1(와동초등학교, 와동초등학교 담 뒤)",도로변 버스정류장,"일반,재활용 2조1세트",2025-03-10
55,"대전광역시 대덕구 송촌동 444(선비마을2단지, 선비마을입구방면)",도로변 버스정류장,"일반,재활용 2조1세트",2025-03-10
91,"대전광역시 대덕구 중리동 469 (중리네거리, 증산도교육문회회관방면)",도로변 버스정류장,"일반,재활용 2조1세트",2025-03-10
93,"대전광역시 대덕구 평촌동 544(평촌동, 신탄진한일병원방면) ",도로변 버스정류장,"일반,재활용 2조1세트",2025-03-10
94,"대전광역시 대덕구 평촌동 544(덕암동주민센터, 평촌동방면)",도로변 버스정류장,"일반,재활용 2조1세트",2025-03-10
95,"대전광역시 대덕구 대청로 17(신탄진행정복지센터, 신탄진시장방면)",도로변 버스정류장,"일반,재활용 2조1세트",2025-03-10
96,"대전광역시 대덕구 덕암동 336(대전이문고, 덕암동방면)",도로변 버스정류장,"일반,재활용 2조1세트",2025-03-10
97,"대전광역시 대덕구 덕암동 336(덕암동, 보건소방면)",도로변 버스정류장,"일반,재활용 2조1세트",2025-03-10
98,"대전광역시 대덕구 덕암동45-10(신탄중앙중학교, 대덕구보건소방면)",도로변 버스정류장,"일반,재활용 2조1세트",2025-03-10
99,"대전광역시 대덕구 목상동 234(한국타이어, 목상동주민센터방면)",도로변 버스정류장,"일반,재활용 2조1세트",2025-03-10
100,"대전광역시 대덕구 목상동 185-1(목상동주민센터,한국교통안전공단방면 )",도로변 버스정류장,"일반,재활용 2조1세트",2025-03-10
101,대전광역시 대덕구 목상동 91-4(대덕경찰서방면한국타이어후문방면),도로변 버스정류장,"일반,재활용 2조1세트",2025-03-10
102,"대전광역시 대덕구 문평동 92(효성신탄진공장, 한국교통안전공단방면)",도로변 버스정류장,"일반,재활용 2조1세트",2025-03-10
103,"대전광역시 대덕구 상서동 349-38(선바위, 들말/신대차고지방면)",도로변 버스정류장,"일반,재활용 2조1세트",2025-03-10
104,"대전광역시 대덕구 상서동 279-1(상서삼거리, 선바위방면)",도로변 버스정류장,"일반,재활용 2조1세트",2025-03-10
105,"대전광역시 대덕구 상서동 279-1(평촌동, 신탄진한일병원방면)",도로변 버스정류장,"일반,재활용 2조1세트",2025-03-10
106,"대전광역시 대덕구 상서동 282(상서삼거리, 신탄진한일병원방면)",도로변 버스정류장,"일반,재활용 2조1세트",2025-03-10
107,"대전광역시 대덕구 석봉동 747(신탄진시장, 금강엑슬루타워방면)",도로변 버스정류장,"일반,재활용 2조1세트",2025-03-10
108,"대전광역시 대덕구 석봉동 422-7(신탄진시장, 신탄진역방면)",도로변 버스정류장,"일반,재활용 2조1세트",2025-03-10
109,"대전광역시 대덕구 신탄진동 143-18(신탄진역, 신탄진동행정복지센터방면)",도로변 버스정류장,"일반,재활용 2조1세트",2025-03-10
110,"대전광역시 대덕구 신탄진동 22-1(새여울아파트, 용정초맞은편)",도로변 버스정류장,"일반,재활용 2조1세트",2025-03-10
111,"대전광역시 대덕구 신탄진동 733(신탄진역, 남경마을방면)",도로변 버스정류장,"일반,재활용 2조1세트",2025-03-10
112,"대전광역시 대덕구 신탄진동 733(남경마을, 덕암동주민센터방면)",도로변 버스정류장,"일반,재활용 2조1세트",2025-03-10
113,"대전광역시 대덕구 신탄진동 735(신탄진고등학교, 석봉초등학교방면)",도로변 버스정류장,"일반,재활용 2조1세트",2025-03-10
