연번,자치구명,관리번호,도로(가로)명,설치위치, 설치지점, 수거 쓰레기 종류,쓰레기통 형태,설치연도
1,도봉구,1,도봉로 95,도봉산역광역환승센터 앞,정류장(버스/택시 등),일반쓰레기,일반 사각쓰레기통,2017 이전
2,도봉구,2,도봉로 941 ,SK주유소 앞,도로(가로)변,일반쓰레기,일반 사각쓰레기통,2017 이전
3,도봉구,3,도봉로 851 ,북서울농협 앞,도로(가로)변,일반쓰레기,일반 사각쓰레기통,2017 이전
4,도봉구,4,도봉로 771  ,국민은행 우측,도로(가로)변,일반쓰레기,일반 사각쓰레기통,2017 이전
5,도봉구,5,도봉로 749 ,먹거리부페 앞,도로(가로)변,일반쓰레기,일반 사각쓰레기통,2017 이전
6,도봉구,6,시루봉로 28,오봉초교 정문 앞,도로(가로)변,일반쓰레기,일반 사각쓰레기통,2017 이전
7,도봉구,7,도봉로 73,맥도날드 앞,도로(가로)변,일반쓰레기,일반 사각쓰레기통,2017 이전
8,도봉구,8,도봉로 486,쌍문역 1번 출구,지하철역 입구,일반쓰레기,일반 사각쓰레기통,2017 이전
9,도봉구,9,도봉산길 35,도봉산입구,광장 등 다중집합장소,일반쓰레기,일반 사각쓰레기통,2017 이전
10,도봉구,10,도봉동 637-37,도봉역 2번 출구,지하철역 입구,일반쓰레기,일반 사각쓰레기통,2017 이전
11,도봉구,11,도봉로 948 ,도봉산역 1번 출구,지하철역 입구,일반쓰레기,일반 사각쓰레기통,2017 이전
12,도봉구,12,마들로 849 ,누원 고등학교앞,도로(가로)변,일반쓰레기,일반 사각쓰레기통,2017 이전
13,도봉구,13,마들로 849 ,누원 고등학교앞,도로(가로)변,일반쓰레기,일반 사각쓰레기통,2017 이전
14,도봉구,14,마들로 797,도봉 기적의 도서관 앞,도로(가로)변,일반쓰레기,일반 사각쓰레기통,2017 이전
15,도봉구,15,도봉동 637-53,신도봉교 옆,도로(가로)변,일반쓰레기,일반 사각쓰레기통,2017 이전
16,도봉구,16,도봉로170길 16,래미안 도봉 아파트,도로(가로)변,일반쓰레기,일반 사각쓰레기통,2017 이전
17,도봉구,17,마들로 749,서울북부지방법원,도로(가로)변,일반쓰레기,일반 사각쓰레기통,2017 이전
18,도봉구,18,마들로 671 ,도봉중학교 앞,도로(가로)변,일반쓰레기,일반 사각쓰레기통,2017 이전
19,도봉구,19,삼양로 538,덕성여대 입구,도로(가로)변,일반쓰레기,일반 사각쓰레기통,2017 이전
20,도봉구,20,삼양로 582 ,파리바게트 앞,도로(가로)변,일반쓰레기,일반 사각쓰레기통,2017 이전
21,도봉구,21,노해로63길 67  ,창동역 2번출구,지하철역 입구,일반쓰레기,일반 사각쓰레기통,2017 이전
22,도봉구,22,도봉로 483,쌍문역 4번 출구,지하철역 입구,일반쓰레기,일반 사각쓰레기통,2017 이전
23,도봉구,23,해등로 373 ,청한빌라 정문앞 버스정류장,정류장(버스/택시 등),일반쓰레기,일반 사각쓰레기통,2017 이전
24,도봉구,24,해등로 373 ,청한빌라옆 마을버스정류장,정류장(버스/택시 등),일반쓰레기,일반 사각쓰레기통,2017 이전
25,도봉구,25,우이천로 432,효문고등학교 앞,도로(가로)변,일반쓰레기,일반 사각쓰레기통,2017 이전
26,도봉구,26,쌍문동 429-9,덕성여대 후문앞,도로(가로)변,일반쓰레기,일반 사각쓰레기통,2017 이전
27,도봉구,27,우이천로 401 ,쌍문1치안센터 앞,도로(가로)변,일반쓰레기,일반 사각쓰레기통,2017 이전
28,도봉구,28,우이천로38길 81 ,꽃동네 3번 종점,도로(가로)변,일반쓰레기,일반 사각쓰레기통,2017 이전
29,도봉구,29,우이천로 381 ,코오롱아파트 앞,도로(가로)변,일반쓰레기,일반 사각쓰레기통,2017 이전
30,도봉구,30,우이천로32길 12 ,쌍문초교 담장 옆,도로(가로)변,일반쓰레기,일반 사각쓰레기통,2017 이전
