연번,설치장소,개수
1,수영구 수영로 379,1
2,수영구 수영로 383,1
3,수영구 수영로 467,1
4,수영구 수영로 517,1
5,수영구 수영로 551,1
6,수영구 수영로 562,1
7,수영구 수영로 566,1
8,수영구 수영로 576,1
9,수영구 수영로 588,1
10,수영구 수영로 599,1
11,수영구 수영로 600,1
12,수영구 수영로 607,1
13,수영구 수영로 630,1
14,수영구 수영로 639,1
15,수영구 수영로 661,1
16,수영구 수영로 677,1
17,수영구 수영로 770,1
18,수영구 수영로 779,1
19,수영구 광남로 11,1
20,수영구 광남로 91,1
21,수영구 광남로 100,1
22,수영구 광남로 117,1
23,수영구 광남로 124,1
24,수영구 광남로 145,1
25,수영구 광남로 152,1
26,수영구 광남로 156-1,1
27,수영구 광남로 221,1
28,수영구 광남로 255,1
29,수영구 광남로 268,1
30,수영구 광남로 273,1
31,수영구 감포로 55,1
32,수영구 감포로 87,1
33,수영구 감포로 89,1
34,수영구 감포로 100,1
35,수영구 민락수변로 218,1
36,수영구 민락수변로 219,1
37,수영구 광안로 11,1
38,수영구 광안로 26,1
39,수영구 광안로 48,1
40,수영구 구락로 15,1
41,수영구 구락로 16,1
42,수영구 구락로 39,1
43,수영구 구락로 59,1
44,수영구 구락로 63,1
45,수영구 구락로 66,1
46,수영구 구락로 102,1
47,수영구 구락로 118,1
48,수영구 구락로 185,1
49,수영구 좌수영로 121,1
50,수영구 좌수영로 122,1
51,수영구 좌수영로 151,1
52,수영구 좌수영로 153,1
53,수영구 좌수영로 171,1
54,수영구 좌수영로 196,1
55,수영구 연수로 261,1
56,수영구 연수로 262,1
57,수영구 연수로 268,1
58,수영구 연수로 269,1
59,수영구 연수로 275,1
60,수영구 연수로 300,1
61,수영구 연수로 301,1
62,수영구 연수로 335,1
63,수영구 연수로 373,1
64,수영구 연수로 375,1
65,수영구 연수로 376,1
66,수영구 연수로 397,1
67,수영구 연수로 398,1
68,수영구 연수로 403,1
69,수영구 과정로 33,1
70,수영구 과정로 48,1
71,수영구 과정로 63,1
72,민락수변공원 내,5
73,수영구 광안해변로,33
