시도명,시군구명,도로명(가로)명,설치위치,설치지점,쓰레기통 종류,관리기관명,관리기관전화번호,데이터기준일자
부산광역시,연제구,거제대로,거제해맞이역(서면 방면),버스정류소,"일반쓰레기, 재활용",연제구청,051-665-4435,2025-06-25
부산광역시,연제구,연수로,배산역(신리삼거리 방면),버스정류소,"일반쓰레기, 재활용",연제구청,051-665-4435,2025-06-25
부산광역시,연제구,반송로,연산교차로(안락교차로 방면),버스정류소,"일반쓰레기, 재활용",연제구청,051-665-4435,2025-06-25
부산광역시,연제구,반송로,경찰전직지원센터(연산교차로 방면),버스정류소,"일반쓰레기, 재활용",연제구청,051-665-4435,2025-06-25
부산광역시,연제구,고분로,경상대학교 정문(부산소방본부 방면),버스정류소,"일반쓰레기, 재활용",연제구청,051-665-4435,2025-06-25
부산광역시,연제구,과정로,경동아파트(연안교 방면),버스정류소,"일반쓰레기, 재활용",연제구청,051-665-4435,2025-06-25
부산광역시,연제구,과정로,연산8치안센터(광안동 방면),버스정류소,"일반쓰레기, 재활용",연제구청,051-665-4435,2025-06-25
부산광역시,연제구,아시아드대로,거제교회(거제리안동네 방면),버스정류소,"일반쓰레기, 재활용",연제구청,051-665-4435,2025-06-25
부산광역시,연제구,법원북로,현대쌍용아파트(남문초 방면),버스정류소,"일반쓰레기, 재활용",연제구청,051-665-4435,2025-06-25
부산광역시,연제구,거제대로,경남아파트 역(법원-검찰청 방면),버스정류소,"일반쓰레기, 재활용",연제구청,051-665-4435,2025-06-25
부산광역시,연제구,과정로,부산경상대입구(연산8치안센터 방면),버스정류소,"일반쓰레기, 재활용",연제구청,051-665-4435,2025-06-25
부산광역시,연제구,과정로,부산소방본부(과정사거리 방면),버스정류소,"일반쓰레기, 재활용",연제구청,051-665-4435,2025-06-25
부산광역시,연제구,연수로,한독아파트(배산역 방면),버스정류소,"일반쓰레기, 재활용",연제구청,051-665-4435,2025-06-25
부산광역시,연제구,연제로,부산지방노동청(연제구청 방면),버스정류소,재활용,연제구청,051-665-4435,2025-06-25
부산광역시,연제구,거제대로,법원 검찰청(거제역)(서면 방면),버스정류소,"일반쓰레기, 재활용",연제구청,051-665-4435,2025-06-25
부산광역시,연제구,월드컵대로,신리 삼거리(연산교차로 방면),버스정류소,"일반쓰레기, 재활용",연제구청,051-665-4435,2025-06-25
부산광역시,연제구,월드컵대로,연산역(사직운동장 방면),버스정류소,"일반쓰레기, 재활용",연제구청,051-665-4435,2025-06-25
부산광역시,연제구,월드컵대로,연산역(연산교차로 방면),버스정류소,"일반쓰레기, 재활용",연제구청,051-665-4435,2025-06-25
부산광역시,연제구,거제대로,거제해맞이역(경남아파트 방면),버스정류소,"일반쓰레기, 재활용",연제구청,051-665-4435,2025-06-25
부산광역시,연제구,거제대로,법원 검찰청(거제역)(동래 방면),버스정류소,"일반쓰레기, 재활용",연제구청,051-665-4435,2025-06-25
부산광역시,연제구,월드컵대로,반도보라아파트(신리삼거리 방면),버스정류소,"일반쓰레기, 재활용",연제구청,051-665-4435,2025-06-25
부산광역시,연제구,종합운동장로,홈플러스(삼정그린아파트 방면),버스정류소,"일반쓰레기, 재활용",연제구청,051-665-4435,2025-06-25
부산광역시,연제구,연수로,연제구청(서면 방면),버스정류소,"일반쓰레기, 재활용",연제구청,051-665-4435,2025-06-25
부산광역시,연제구,연수로,배산역(망미동 방면),버스정류소,"일반쓰레기, 재활용",연제구청,051-665-4435,2025-06-25
부산광역시,연제구,반송로,연산교차로(시청 방면),버스정류소,"일반쓰레기, 재활용",연제구청,051-665-4435,2025-06-25
부산광역시,연제구,반송로,연산농협(과정사거리 방면),버스정류소,"일반쓰레기, 재활용",연제구청,051-665-4435,2025-06-25
부산광역시,연제구,반송로,경찰전직지원센터(연안교 방면),버스정류소,"일반쓰레기, 재활용",연제구청,051-665-4435,2025-06-25
부산광역시,연제구,과정로,연천시장(안락교차로 방면),버스정류소,"일반쓰레기, 재활용",연제구청,051-665-4435,2025-06-25
부산광역시,연제구,과정로,토곡한양아파트(태광아파트 방면),버스정류소,"일반쓰레기, 재활용",연제구청,051-665-4435,2025-06-25
부산광역시,연제구,토현로,망미주공아파트(연산교차로 방면),버스정류소,"일반쓰레기, 재활용",연제구청,051-665-4435,2025-06-25
부산광역시,연제구,거제대로,유림아시아드아파트(하마정 방면),버스정류소,"일반쓰레기, 재활용",연제구청,051-665-4435,2025-06-25
부산광역시,연제구,월드컵대로,법원-검찰청(초읍 방면),버스정류소,"일반쓰레기, 재활용",연제구청,051-665-4435,2025-06-25
부산광역시,연제구,종합운동장로,사직실내수영장 역(사직동 방면),버스정류소,"일반쓰레기, 재활용",연제구청,051-665-4435,2025-06-25
부산광역시,연제구,법원북로,남문초등학교(연산교차로 방면),버스정류소,"일반쓰레기, 재활용",연제구청,051-665-4435,2025-06-25
부산광역시,연제구,법원로,법원검찰청 정문(연산교차로 방면),버스정류소,"일반쓰레기, 재활용",연제구청,051-665-4435,2025-06-25
부산광역시,연제구,중앙대로,거제1치안센터(법원검찰청(거제역) 방면),버스정류소,"일반쓰레기, 재활용",연제구청,051-665-4435,2025-06-25
