연번,자치구명,설치위치(도로명주소),세부 위치,설치 장소 유형,쓰레기통 형태,수거 쓰레기 종류
1,강남구,압구정로 429,비포앤애프터클리닉,도로변(횡단보도 포함),일반 사각 쓰레기통,일반쓰레기
2,강남구,압구정로 429,비포앤애프터클리닉,도로변(횡단보도 포함),일반 사각 쓰레기통,재활용쓰레기
3,강남구,압구정로 407,갤러리아(EAST점),도로변(횡단보도 포함),일반 사각 쓰레기통,일반쓰레기
4,강남구,압구정로 407,갤러리아(EAST점),도로변(횡단보도 포함),일반 사각 쓰레기통,재활용쓰레기
5,강남구,압구정로 343,갤러리아(WEST점),도로변(횡단보도 포함),일반 사각 쓰레기통,일반쓰레기
6,강남구,압구정로 343,갤러리아(WEST점),도로변(횡단보도 포함),일반 사각 쓰레기통,재활용쓰레기
7,강남구,압구정로 343,갤러리아(생활관) 버스정류장 23158,"정류소(버스,택시 등)",일반 사각 쓰레기통,일반쓰레기
8,강남구,압구정로 343,갤러리아(생활관) 버스정류장 23158,"정류소(버스,택시 등)",일반 사각 쓰레기통,재활용쓰레기
9,강남구,압구정로 321,한양아파트 35동,도로변(횡단보도 포함),일반 사각 쓰레기통,일반쓰레기
10,강남구,압구정로 321,한양아파트 35동,도로변(횡단보도 포함),일반 사각 쓰레기통,재활용쓰레기
11,강남구,압구정로 313,한양아파트 61동 버스정류장 23156,"정류소(버스,택시 등)",일반 사각 쓰레기통,일반쓰레기
12,강남구,압구정로 313,한양아파트 61동 버스정류장 23156,"정류소(버스,택시 등)",일반 사각 쓰레기통,재활용쓰레기
13,강남구,압구정로 309,현대아파트 91동,도로변(횡단보도 포함),일반 사각 쓰레기통,일반쓰레기
14,강남구,압구정로 309,현대아파트 91동,도로변(횡단보도 포함),일반 사각 쓰레기통,재활용쓰레기
15,강남구,압구정로 201,현대아파트 84동 버스정류장 23148,"정류소(버스,택시 등)",일반 사각 쓰레기통,일반쓰레기
16,강남구,압구정로 201,현대아파트 84동 버스정류장 23148,"정류소(버스,택시 등)",일반 사각 쓰레기통,재활용쓰레기
17,강남구,압구정역,압구정역 1번출구,지하철역 입구,일반 사각 쓰레기통,일반쓰레기
18,강남구,압구정역,압구정역 1번출구,지하철역 입구,일반 사각 쓰레기통,재활용쓰레기
19,강남구,압구정로 151,신현대아파트 103동,도로변(횡단보도 포함),일반 사각 쓰레기통,일반쓰레기
20,강남구,압구정로 151,신현대아파트 103동,도로변(횡단보도 포함),일반 사각 쓰레기통,재활용쓰레기
21,강남구,압구정로 151,경희마루한의원 버스정류장 23104,"정류소(버스,택시 등)",일반 사각 쓰레기통,일반쓰레기
22,강남구,압구정로 151,경희마루한의원 버스정류장 23104,"정류소(버스,택시 등)",일반 사각 쓰레기통,재활용쓰레기
23,강남구,압구정로 151,현대아파트 101동,도로변(횡단보도 포함),일반 사각 쓰레기통,일반쓰레기
24,강남구,압구정로 151,현대아파트 101동,도로변(횡단보도 포함),일반 사각 쓰레기통,재활용쓰레기
25,강남구,압구정로 123,신사중학교,도로변(횡단보도 포함),일반 사각 쓰레기통,일반쓰레기
26,강남구,압구정로 123,신사중학교,도로변(횡단보도 포함),일반 사각 쓰레기통,재활용쓰레기
27,강남구,압구정로 123,신사중학교 버스정류장 23102,"정류소(버스,택시 등)",일반 사각 쓰레기통,일반쓰레기
28,강남구,압구정로 123,신사중학교 버스정류장 23102,"정류소(버스,택시 등)",일반 사각 쓰레기통,재활용쓰레기
29,강남구,압구정로 113,미성2차 23동앞,도로변(횡단보도 포함),일반 사각 쓰레기통,일반쓰레기
