연번,자치구명,설치위치(도로명 주소),설치 장소 유형,쓰레기통 형태,수거 쓰레기 종류
1,강동구,고덕로 227,버스정류장,일반 사각,일반쓰레기
2,강동구,고덕로 276,도로변(횡단보도 포함),일반 사각,일반쓰레기
3,강동구,고덕로 269,도로변(횡단보도 포함),일반 사각,일반쓰레기
4,강동구,풍성로 207,도로변(횡단보도 포함),일반 사각,일반쓰레기
5,강동구,고덕로 162,버스정류장,일반 사각,일반쓰레기
6,강동구,고덕동 469,버스정류장,일반 사각,일반쓰레기
7,강동구,구천면로,도로변(횡단보도 포함),일반 사각,일반쓰레기
8,강동구,천호대로,버스정류장,일반 사각,일반쓰레기
9,강동구,올림픽로 663,도로변(횡단보도 포함),일반 사각,일반쓰레기
10,강동구,천호대로 1131,버스정류장,일반 사각,일반쓰레기
11,강동구,올림픽로 811 ,버스정류장,일반 사각,일반쓰레기
12,강동구,올림픽로 806,버스정류장,일반 사각,일반쓰레기
13,강동구,천호대로 1120,버스정류장,일반 사각,일반쓰레기
14,강동구,천호대로,버스정류장,일반 사각,일반쓰레기
15,강동구,강동대로 305,버스정류장,일반 사각,일반쓰레기
16,강동구,고덕로 276,버스정류장,일반 사각,일반쓰레기
17,강동구,동남로 832,버스정류장,일반 사각,일반쓰레기
18,강동구,명일동 60,버스정류장,일반 사각,일반쓰레기
19,강동구,구천면로 476,도로변(횡단보도 포함),일반 사각,일반쓰레기
20,강동구,동남로71길 41,버스정류장,일반 사각,일반쓰레기
21,강동구,상일동 440-3,버스정류장,일반 사각,일반쓰레기
22,강동구,상일로11,도로변(횡단보도 포함),일반 사각,일반쓰레기
23,강동구,상일동 512,버스정류장,일반 사각,일반쓰레기
24,강동구,천호대로1132,버스정류장,일반 사각,일반쓰레기
25,강동구,상일동 520-7,버스정류장,일반 사각,일반쓰레기
26,강동구,상일로,버스정류장,일반 사각,일반쓰레기
27,강동구,상일로,버스정류장,일반 사각,일반쓰레기
28,강동구,명일동 48-25,도로변(횡단보도 포함),일반 사각,일반쓰레기
