연번,도로명주소,유형,자료기준일자
1,서울특별시 강북구 삼양로 372 원헤어샵 앞,일반쓰레기,2025-08-20
2,서울특별시 강북구 삼양로 335 수유보건지소,일반쓰레기,2025-08-20
3,서울특별시 강북구 삼양로 293 빨래골입구. 수유1동 주민센터 버스정류장(09-158),일반쓰레기,2025-08-20
4,서울특별시 강북구 솔샘로 264 버스정류장(09-171),일반쓰레기,2025-08-20
5,서울특별시 강북구 인수봉로 289 사브리나 애견샵 앞 인수동백운교회입구 버스정류장(09-114) ,일반쓰레기,2025-08-20
6,서울특별시 강북구 인수봉로 75길 10버스정류장(09-566),일반쓰레기,2025-08-20
7,서울특별시 강북구 인수봉로 255 인수동주민센터 앞,일반쓰레기,2025-08-20
8,서울특별시 강북구 인수봉로 239 버스정류장(09-118),일반쓰레기,2025-08-20
9,서울특별시 강북구 삼양로99길 36 버스정류장(09-131),일반쓰레기,2025-08-20
10,서울특별시 강북구 삼양로99길 36 버스정류장(09-131),일반쓰레기,2025-08-20
11,서울특별시 강북구 인수봉로 139 수유중학교 혜화여고 버스정류장(09-211),일반쓰레기,2025-08-20
12,서울특별시 강북구 인수봉로 139 수유중학교 혜화여고 버스정류장(09-211),재활용쓰레기,2025-08-20
13,"서울특별시 강북구 미아동 137 중앙버스정류소 도봉세무서,성북시장(09-010)",일반쓰레기,2025-08-20
14,"서울특별시 강북구 미아동 137 중앙버스정류소 도봉세무서,성북시장(09-010)",재활용쓰레기,2025-08-20
15,서울특별시 강북구 도봉로 352 중앙 안경 앞(효성네오인텔리안),일반쓰레기,2025-08-20
16,서울특별시 강북구 도봉로 352 중앙 안경 앞(효성네오인텔리안),재활용쓰레기,2025-08-20
17,서울특별시 강북구 도봉로 364 신한은행 강북금융센터 앞,일반쓰레기,2025-08-20
18,서울특별시 강북구 도봉로 364 신한은행 강북금융센터 앞,재활용쓰레기,2025-08-20
19,서울특별시 강북구 도봉로 363 kt 일등통신 수유점 앞,일반쓰레기,2025-08-20
20,서울특별시 강북구 도봉로 363 kt 일등통신 수유점 앞,재활용쓰레기,2025-08-20
21,서울특별시 강북구 한천로 1044 강북구청 버스정류장(09-147),일반쓰레기,2025-08-20
22,서울특별시 강북구 한천로 1044 강북구청 버스정류장(09-147),재활용쓰레기,2025-08-20
23,서울특별시 강북구 한천로 1093 서울우유농협 수유동지점,일반쓰레기,2025-08-20
24,서울특별시 강북구 한천로 1093 서울우유농협 수유동지점,재활용쓰레기,2025-08-20
25,서울특별시 강북구 한천로 1151 강북청년창업마루 버스정류장(09-125),일반쓰레기,2025-08-20
26,서울특별시 강북구 한천로 1151 강북청년창업마루 버스정류장(09-125),재활용쓰레기,2025-08-20
27,서울특별시 강북구 한천로 935 북부수도사업소 버스정류장(09-154),일반쓰레기,2025-08-20
28,서울특별시 강북구 한천로 935 북부수도사업소 버스정류장(09-154),재활용쓰레기,2025-08-20
29,서울특별시 강북구 한천로 911 건너편강북소방서 건너편,일반쓰레기,2025-08-20
30,서울특별시 강북구 한천로 911 건너편강북소방서 건너편,재활용쓰레기,2025-08-20
31,서울특별시 강북구 한천로 911 강북소방서 앞,일반쓰레기,2025-08-20
32,서울특별시 강북구 한천로 897 번2동 주민센터 앞,일반쓰레기,2025-08-20
33,서울특별시 강북구 한천로 897 강북보건소 앞,일반쓰레기,2025-08-20
34,서울특별시 강북구 한천로 897 건너편강북보건소 버스정류장(09-179),일반쓰레기,2025-08-20
35,서울특별시 강북구 한천로 897 건너편강북보건소 버스정류장(09-179),재활용쓰레기,2025-08-20
36,서울특별시 강북구 오패산로 159 송중동주민센터 건너편 버스정류장(09-516),일반쓰레기,2025-08-20
37,서울특별시 강북구 월계로 17 이웃사랑치과 앞 숭곡초등학교입구 버스정류장(09-190) ,일반쓰레기,2025-08-20
38,서울특별시 강북구 월계로 17 이웃사랑치과 앞 숭곡초등학교입구 버스정류장(09-190) ,재활용쓰레기,2025-08-20
39,서울특별시 강북구 월계로 225 오현초등학교 버스정류장(09-186),일반쓰레기,2025-08-20
40,서울특별시 강북구 월계로 225 오현초등학교 버스정류장(09-186),재활용쓰레기,2025-08-20
41,서울특별시 강북구 한천로105길 23 번동 주공1단지 108동 앞 버스정류장(09-184),일반쓰레기,2025-08-20
42,서울특별시 강북구 한천로109길 10 강북유니온빌딩 앞 번동주공3단지아파트 버스정류장(09-182),일반쓰레기,2025-08-20
43,서울특별시 강북구 오패산로 159 송중동 주민센터 앞 버스정류장(09-269),일반쓰레기,2025-08-20
44,서울특별시 강북구 오현로 9 송중초 앞 버스정류장(09-245),일반쓰레기,2025-08-20
45,서울특별시 강북구 도봉로 62 롯데백화점 미아점 버스정류장(09-277),일반쓰레기,2025-08-20
46,서울특별시 강북구 도봉로 62 롯데백화점 미아점 버스정류장(09-277),재활용쓰레기,2025-08-20
47,서울특별시 강북구 덕릉로 45 강북노인종합복지관 버스정류장(09-142),일반쓰레기,2025-08-20
48,서울특별시 강북구 덕릉로 28 화계사입구사거리 버스정류장(09-141),일반쓰레기,2025-08-20
49,서울특별시 강북구 덕릉로 28 화계사입구사거리 버스정류장(09-141),재활용쓰레기,2025-08-20
50,서울특별시 강북구 도봉로 337 파리바게트카페 앞,일반쓰레기,2025-08-20
51,서울특별시 강북구 도봉로 337 파리바게트카페 앞,재활용쓰레기,2025-08-20
52,서울특별시 강북구 한천로 1043 강북구청 버스정류장(09-146),일반쓰레기,2025-08-20
