연번,자치구명,도로(가로)명,세부 위치,설치 장소 유형,수거 쓰레기 종류,형태,설치연도,수거 담당자,데이터기준일
1,강북구,삼양로,삼양로 372 원헤어샵 앞,도로변(횡단보도 포함),일반쓰레기,일반 사각,2015년 이전,환경공무관,2025-08-02
2,강북구,삼양로,삼양로 335 수유보건지소,도로변(횡단보도 포함),일반쓰레기,일반 사각,2015년 이전,환경공무관,2025-08-02
3,강북구,삼양로,삼양로 293 빨래골입구. 수유1동 주민센터 버스정류장(09-158),정류소(버스 가로변),일반쓰레기,일반 사각,2015년 이전,환경공무관,2025-08-02
4,강북구,솔샘로,솔샘로 264 버스정류장(09-171),정류소(버스 가로변),일반쓰레기,일반 사각,2015년 이전,환경공무관,2025-08-02
5,강북구,인수봉로,인수봉로 289 사브리나 애견샵 앞 인수동백운교회입구 버스정류장(09-114) ,정류소(버스 가로변),일반쓰레기,일반 사각,2015년 이전,환경공무관,2025-08-02
6,강북구,인수봉로,인수봉로 75길 10버스정류장(09-566),정류소(버스 가로변),일반쓰레기,일반 사각,2015년 이전,환경공무관,2025-08-02
7,강북구,인수봉로,인수봉로 255 인수동주민센터 앞,도로변(횡단보도 포함),일반쓰레기,일반 사각,2015년 이전,환경공무관,2025-08-02
8,강북구,인수봉로,인수봉로 239 버스정류장(09-118),정류소(버스 가로변),일반쓰레기,일반 사각,2015년 이전,환경공무관,2025-08-02
9,강북구,삼양로,삼양로99길 36 버스정류장(09-131),정류소(버스 가로변),일반쓰레기,일반 사각,2015년 이전,환경공무관,2025-08-02
10,강북구,삼양로,삼양로99길 36 버스정류장(09-131),정류소(버스 가로변),일반쓰레기,일반 사각,2015년 이전,환경공무관,2025-08-02
11,강북구,인수봉로,인수봉로 139 수유중학교 혜화여고 버스정류장(09-211),정류소(버스 가로변),일반쓰레기,일반 사각,2015년 이전,환경공무관,2025-08-02
12,강북구,인수봉로,인수봉로 139 수유중학교 혜화여고 버스정류장(09-211),정류소(버스 가로변),재활용쓰레기,일반 사각,2015년 이전,환경공무관,2025-08-02
13,강북구,미아동,"미아동 137 중앙버스정류소 도봉세무서,성북시장(09-010)",정류소(버스 중앙차로),일반쓰레기,일반 사각,2015년 이전,환경공무관,2025-08-02
14,강북구,미아동,"미아동 137 중앙버스정류소 도봉세무서,성북시장(09-010)",정류소(버스 중앙차로),재활용쓰레기,일반 사각,2015년 이전,환경공무관,2025-08-02
15,강북구,도봉로,도봉로 352 중앙 안경 앞(효성네오인텔리안),도로변(횡단보도 포함),일반쓰레기,일반 사각,2015년 이전,환경공무관,2025-08-02
16,강북구,도봉로,도봉로 352 중앙 안경 앞(효성네오인텔리안),도로변(횡단보도 포함),재활용쓰레기,일반 사각,2015년 이전,환경공무관,2025-08-02
17,강북구,도봉로,도봉로 364 신한은행 강북금융센터 앞,도로변(횡단보도 포함),일반쓰레기,일반 사각,2015년 이전,환경공무관,2025-08-02
