연번,자치구명,설치위치(도로명주소),설치위치(지번주소),행정(동),세부 위치,설치 장소 유형,쓰레기통 형태,수거 쓰레기 종류,위도,경도,설치연도
1,광진구,천호대로 803,광장동 246-6,광장동,광나루역(중)(05-011),정류소(버스+택시 등),일반 사각 쓰레기통,일반쓰레기,37.54562589052307,127.10288370257682,2021
2,광진구,천호대로 803,광장동 246-6,광장동,광나루역(중)(05-011),정류소(버스+택시 등),일반 사각 쓰레기통,재활용쓰레기,37.54562589052307,127.10288370257682,2021
3,광진구,천호대로 810,광장동 239-6,광장동,광나루역(중)(05-012),정류소(버스+택시 등),일반 사각 쓰레기통,일반쓰레기,37.54526493762219,127.1035168908514,2021
4,광진구,천호대로 810,광장동 239-6,광장동,광나루역(중)(05-012),정류소(버스+택시 등),일반 사각 쓰레기통,재활용쓰레기,37.54526493762219,127.1035168908514,2021
5,광진구,천호대로 513,중곡동 636-7,군자동,군자교입구(중)(05-001),정류소(버스+택시 등),일반 사각 쓰레기통,일반쓰레기,37.55877404098406,127.07561447686305,2021
6,광진구,천호대로 513,중곡동 636-7,군자동,군자교입구(중)(05-001),정류소(버스+택시 등),일반 사각 쓰레기통,재활용쓰레기,37.55877404098406,127.07561447686305,2021
7,광진구,천호대로 508,군자동 466-19,군자동,군자교입구(중)(05-002),정류소(버스+택시 등),일반 사각 쓰레기통,일반쓰레기,37.55887352602485,127.07502604911599,2021
8,광진구,천호대로 508,군자동 466-19,군자동,군자교입구(중)(05-002),정류소(버스+택시 등),일반 사각 쓰레기통,재활용쓰레기,37.55887352602485,127.07502604911599,2021
9,광진구,천호대로 540,군자동 473-19,군자동,수협 군자역지점 앞,도로변(횡단보도 포함),일반 사각 쓰레기통,일반쓰레기,37.557299611085,127.078163750663,2024
10,광진구,천호대로 540,군자동 473-19,군자동,수협 군자역지점 앞,도로변(횡단보도 포함),일반 사각 쓰레기통,재활용쓰레기,37.557299611085,127.078163750663,2024
11,광진구,천호대로 579,중곡동 140-2,중곡2동,군자역.용마초등학교(중)(05-003),정류소(버스+택시 등),일반 사각 쓰레기통,일반쓰레기,37.556102547392456,127.08240223672595,2021
12,광진구,천호대로 579,중곡동 140-2,중곡2동,군자역.용마초등학교(중)(05-003),정류소(버스+택시 등),일반 사각 쓰레기통,재활용쓰레기,37.556102547392456,127.08240223672595,2024
13,광진구,천호대로 574,능동 222-4,능동,군자역.용마초등학교(중)(05-004),정류소(버스+택시 등),일반 사각 쓰레기통,일반쓰레기,37.55615694581898,127.08191564669814,2021
14,광진구,천호대로 574,능동 222-4,능동,군자역.용마초등학교(중)(05-004),정류소(버스+택시 등),일반 사각 쓰레기통,재활용쓰레기,37.55615694581898,127.08191564669814,2021
15,광진구,천호대로 706,구의동 59-13,구의2동,새밭교회(중)(05-009),정류소(버스+택시 등),일반 사각 쓰레기통,일반쓰레기,37.54911226461056,127.09259059427256,2021
16,광진구,천호대로 706,구의동 59-13,구의2동,새밭교회(중)(05-009),정류소(버스+택시 등),일반 사각 쓰레기통,재활용쓰레기,37.54911226461056,127.09259059427256,2021
17,광진구,천호대로 711,구의동 58-15,구의2동,새밭교회(중)(05-010),정류소(버스+택시 등),일반 사각 쓰레기통,일반쓰레기,37.548985804817285,127.09299782662654,2021
18,광진구,천호대로 711,구의동 58-15,구의2동,새밭교회(중)(05-010),정류소(버스+택시 등),일반 사각 쓰레기통,재활용쓰레기,37.548985804817285,127.09299782662654,2021
19,광진구,천호대로 682,구의동 74-2,구의2동,아차산역 사거리 (짬뽕지존 앞),도로변(횡단보도 포함),일반 사각 쓰레기통,일반쓰레기,37.5500847973205,127.090387338952,2020
20,광진구,천호대로 682,구의동 74-2,구의2동,아차산역 사거리 (짬뽕지존 앞),도로변(횡단보도 포함),일반 사각 쓰레기통,재활용쓰레기,37.5500847973205,127.090387338952,2024
21,광진구,천호대로 656,능동 256-16,능동,어린이대공원후문아차산역 (05-007),정류소(버스+택시 등),일반 사각 쓰레기통,일반쓰레기,37.55447778166497,127.08655385499642,2021
22,광진구,천호대로 656,능동 256-16,능동,어린이대공원후문아차산역 (05-007),정류소(버스+택시 등),일반 사각 쓰레기통,재활용쓰레기,37.55447778166497,127.08655385499642,2021
23,광진구,천호대로 671,구의동665,구의2동,어린이대공원후문아차산역 (05-006),정류소(버스+택시 등),일반 사각 쓰레기통,일반쓰레기,37.55133972300624,127.09001313961276,2021
24,광진구,천호대로 671,구의동665,구의2동,어린이대공원후문아차산역 (05-006),정류소(버스+택시 등),일반 사각 쓰레기통,재활용쓰레기,37.55133972300624,127.09001313961276,2021
25,광진구,천호대로 621,중곡동119-9,능동,중곡동입구삼거리(중)(05-005),정류소(버스+택시 등),일반 사각 쓰레기통,일반쓰레기,37.554639878064705,127.08666721457374,2019
26,광진구,천호대로 621,중곡동119-9,능동,중곡동입구삼거리(중)(05-005),정류소(버스+택시 등),일반 사각 쓰레기통,재활용쓰레기,37.554639878064705,127.08666721457374,2019
27,광진구,천호대로 606,능동 246-5,능동,중곡동입구삼거리(중)(05-008),정류소(버스+택시 등),일반 사각 쓰레기통,일반쓰레기,37.555001535032595,127.08493609182888,2019
28,광진구,천호대로 606,능동 246-5,능동,중곡동입구삼거리(중)(05-008),정류소(버스+택시 등),일반 사각 쓰레기통,재활용쓰레기,37.555001535032595,127.08493609182888,2019
29,광진구,능동로 26,자양동 59-32,자양4동,신양초등학교앞(05-201),정류소(버스+택시 등),일반 사각 쓰레기통,일반쓰레기,37.53367709112378,127.0675674748525,2020
30,광진구,능동로 26,자양동 59-32,자양4동,신양초등학교앞(05-201),정류소(버스+택시 등),일반 사각 쓰레기통,재활용쓰레기,37.53367709112378,127.0675674748525,2024
31,광진구,능동로 56,자양동 510-8,자양3동,뚝도변전소앞(05-203),정류소(버스+택시 등),일반 사각 쓰레기통,일반쓰레기,37.53609992419362,127.06905184840558,2021
32,광진구,능동로 56,자양동 510-8,자양3동,뚝도변전소앞(05-203),정류소(버스+택시 등),일반 사각 쓰레기통,재활용쓰레기,37.53609992419362,127.06905184840558,2021
33,광진구,능동로 120,화양동1,화양동,건국대학교 능동로 분수광장 앞,도로변(횡단보도 포함),일반 사각 쓰레기통,일반쓰레기,37.54312124648666,127.07234546775392,2017
34,광진구,능동로 120,화양동1,화양동,건국대학교 능동로 분수광장 앞,도로변(횡단보도 포함),일반 사각 쓰레기통,재활용쓰레기,37.54312124648666,127.07234546775392,2020
35,광진구,능동로 120,화양동1,화양동,건국대학교 부속동물병원 앞,도로변(횡단보도 포함),일반 사각 쓰레기통,일반쓰레기,37.53888500299816,127.07482497985897,2024
36,광진구,능동로 120,화양동1,화양동,건국대학교 부속동물병원 앞,도로변(횡단보도 포함),일반 사각 쓰레기통,재활용쓰레기,37.53888500299816,127.07482497985897,2020
37,광진구,능동로 216,능동 18,능동,어린이대공원역 1번출구 앞,지하철역 입구,일반 사각 쓰레기통,일반쓰레기,37.54901181346313,127.0754857924316,2020
38,광진구,능동로 216,능동 18,능동,어린이대공원역 1번출구 앞,지하철역 입구,일반 사각 쓰레기통,재활용쓰레기,37.54901181346313,127.0754857924316,2020
39,광진구,능동로 248,능동315-8,능동,어린이대공원앞(05-140),정류소(버스+택시 등),일반 사각 쓰레기통,일반쓰레기,37.55218454473617,127.07708749587472,2021
40,광진구,능동로 248,능동315-8,능동,어린이대공원앞(05-140),정류소(버스+택시 등),일반 사각 쓰레기통,재활용쓰레기,37.55218454473617,127.07708749587472,2021
41,광진구,능동로 253,군자동 243,군자동,능동교회앞(05-252),정류소(버스+택시 등),일반 사각 쓰레기통,일반쓰레기,37.55280179063587,127.07699193769797,2021
42,광진구,능동로 253,군자동 243,군자동,능동교회앞(05-252),정류소(버스+택시 등),일반 사각 쓰레기통,재활용쓰레기,37.55280179063587,127.07699193769797,2021
43,광진구,능동로 372,중곡동 40-14,중곡2동,용마사거리 고려학원 앞,도로변(횡단보도 포함),일반 사각 쓰레기통,일반쓰레기,37.562461228702254,127.08255071953886,2020
44,광진구,능동로 372,중곡동 40-14,중곡2동,용마사거리 고려학원 앞,도로변(횡단보도 포함),일반 사각 쓰레기통,재활용쓰레기,37.562461228702254,127.08255071953886,2024
45,광진구,능동로 415,중곡동 167-21,중곡3동,중곡역 3번출구 앞,지하철역 입구,일반 사각 쓰레기통,일반쓰레기,37.56610003435129,127.08427521439395,2023
46,광진구,능동로 415,중곡동 167-21,중곡3동,중곡역 3번출구 앞,지하철역 입구,일반 사각 쓰레기통,재활용쓰레기,37.56610003435129,127.08427521439395,2024
47,광진구,용마산로 49,중곡동 124-56,중곡2동,21세기 약국 앞,도로변(횡단보도 포함),일반 사각 쓰레기통,일반쓰레기,37.55799754828625,127.08774628654082,2020
48,광진구,용마산로 49,중곡동 124-56,중곡2동,21세기 약국 앞,도로변(횡단보도 포함),일반 사각 쓰레기통,재활용쓰레기,37.55799754828625,127.08774628654082,2024
49,광진구,용마산로 134,중곡동 18-27,중곡4동,중곡4동 파출소 (05741),정류소(버스+택시 등),일반 사각 쓰레기통,일반쓰레기,37.5655554184605,127.08671381553698,2021
50,광진구,용마산로 134,중곡동 18-27,중곡4동,중곡4동 파출소 (05741),정류소(버스+택시 등),일반 사각 쓰레기통,재활용쓰레기,37.5655554184605,127.08671381553698,2024
