설치위치,세부 위치,설치장소 유형,위도,경도,쓰레기통 형태,수거 쓰레기 종류,설치연도,데이터 기준일자
서울특별시 금천구 독산동 996-9,문성초등학교 중앙차로 버스정류장 18-001(안양 방면),정류소(버스 중앙차로),37.4749481954 ,126.8986748353 ,항아리형,일반쓰레기,2021,2025-08-22
서울특별시 금천구 독산동 996-9,문성초등학교 중앙차로 버스정류장 18-001(안양 방면),정류소(버스 중앙차로),37.4749481954 ,126.8986748353 ,항아리형,재활용쓰레기,2021,2025-08-22
서울특별시 금천구 독산동 1080,금천우체국 중앙차로 버스정류장 18-003(안양 방면),정류소(버스 중앙차로),37.4692271947 ,126.8981159224 ,항아리형,일반쓰레기,2021,2025-08-22
서울특별시 금천구 독산동 1080,금천우체국 중앙차로 버스정류장 18-003(안양 방면),정류소(버스 중앙차로),37.4692271947 ,126.8981159224 ,항아리형,재활용쓰레기,2021,2025-08-22
서울특별시 금천구 독산동 1080-4,말미고개 중앙차로 버스정류장 18-005(안양 방면),정류소(버스 중앙차로),37.4641371055 ,126.8974764039 ,항아리형,일반쓰레기,2021,2025-08-22
서울특별시 금천구 독산동 1080-4,말미고개 중앙차로 버스정류장 18-005(안양 방면),정류소(버스 중앙차로),37.4641371055 ,126.8974764039 ,항아리형,재활용쓰레기,2021,2025-08-22
서울특별시 금천구 독산동 1080-8,금천구청 중앙차로 버스정류장 18-007(안양 방면),정류소(버스 중앙차로),37.4586869092 ,126.8988837814 ,항아리형,일반쓰레기,2021,2025-08-22
서울특별시 금천구 독산동 1080-8,금천구청 중앙차로 버스정류장 18-007(안양 방면),정류소(버스 중앙차로),37.4586869092 ,126.8988837814 ,항아리형,재활용쓰레기,2021,2025-08-22
서울특별시 금천구 시흥동 1000-92,시흥사거리 중앙차로 버스정류장 18-009(안양 방면),정류소(버스 중앙차로),37.4499630811 ,126.9023715314 ,항아리형,일반쓰레기,2021,2025-08-22
서울특별시 금천구 시흥동 1000-92,시흥사거리 중앙차로 버스정류장 18-009(안양 방면),정류소(버스 중앙차로),37.4499630811 ,126.9023715314 ,항아리형,재활용쓰레기,2021,2025-08-22
서울특별시 금천구 시흥동 1000-92,박미삼거리 중앙차로 버스정류장 18-011(안양 방면),정류소(버스 중앙차로),37.4499630811 ,126.9023715314 ,항아리형,일반쓰레기,2021,2025-08-22
서울특별시 금천구 시흥동 1000-92,박미삼거리 중앙차로 버스정류장 18-011(안양 방면),정류소(버스 중앙차로),37.4499630811 ,126.9023715314 ,항아리형,재활용쓰레기,2021,2025-08-22
서울특별시 금천구 시흥동 1001-22,시흥유통센터 중앙차로 버스정류장 18-013(안양 방면),정류소(버스 중앙차로),37.4398573105 ,126.9032982776 ,항아리형,일반쓰레기,2021,2025-08-22
서울특별시 금천구 시흥동 1001-22,시흥유통센터 중앙차로 버스정류장 18-013(안양 방면),정류소(버스 중앙차로),37.4398573105 ,126.9032982776 ,항아리형,재활용쓰레기,2021,2025-08-22
서울특별시 금천구 시흥동 1001-42,석수역 중앙차로 버스정류장 18-777(안양 방면),정류소(버스 중앙차로),37.4345177693 ,126.9031178458 ,항아리형,일반쓰레기,2021,2025-08-22
서울특별시 금천구 시흥동 1001-42,석수역 중앙차로 버스정류장 18-777(안양 방면),정류소(버스 중앙차로),37.4345177693 ,126.9031178458 ,항아리형,재활용쓰레기,2021,2025-08-22
서울특별시 금천구 독산동 150-21,문성초등학교 중앙차로 버스정류장 18-002(서울 방면),정류소(버스 중앙차로),37.4738842081 ,126.8982871010 ,항아리형,일반쓰레기,2021,2025-08-22
서울특별시 금천구 독산동 150-21,문성초등학교 중앙차로 버스정류장 18-002(서울 방면),정류소(버스 중앙차로),37.4738842081 ,126.8982871010 ,항아리형,재활용쓰레기,2021,2025-08-22
서울특별시 금천구 독산동 287-8,금천우체국 중앙차로 버스정류장 18-004(서울 방면),정류소(버스 중앙차로),37.4702236493 ,126.8980713236 ,항아리형,일반쓰레기,2021,2025-08-22
서울특별시 금천구 독산동 287-8,금천우체국 중앙차로 버스정류장 18-004(서울 방면),정류소(버스 중앙차로),37.4702236493 ,126.8980713236 ,항아리형,재활용쓰레기,2021,2025-08-22
서울특별시 금천구 독산동 287-8,금천우체국 중앙차로 버스정류장 18-004(서울 방면),정류소(버스 중앙차로),37.4702236493 ,126.8980713236 ,일반 사각,일반쓰레기,2022,2025-08-22
서울특별시 금천구 독산동 287-8,금천우체국 중앙차로 버스정류장 18-004(서울 방면),정류소(버스 중앙차로),37.4702236493 ,126.8980713236 ,일반 사각,재활용쓰레기,2022,2025-08-22
서울특별시 금천구 독산동 1080-4,말미고개 중앙차로 버스정류장 18-006(서울 방면),정류소(버스 중앙차로),37.4641371055 ,126.8974764039 ,항아리형,일반쓰레기,2021,2025-08-22
서울특별시 금천구 독산동 1080-4,말미고개 중앙차로 버스정류장 18-006(서울 방면),정류소(버스 중앙차로),37.4641371055 ,126.8974764039 ,항아리형,재활용쓰레기,2021,2025-08-22
서울특별시 금천구 독산동 1000-26,금천구청 중앙차로 버스정류장 18-008(서울 방면),정류소(버스 중앙차로),37.4593055353 ,126.8988554081 ,항아리형,일반쓰레기,2021,2025-08-22
서울특별시 금천구 독산동 1000-26,금천구청 중앙차로 버스정류장 18-008(서울 방면),정류소(버스 중앙차로),37.4593055353 ,126.8988554081 ,항아리형,재활용쓰레기,2021,2025-08-22
서울특별시 금천구 시흥동 1000-71,시흥사거리 중앙차로 버스정류장 18-010(서울 방면),정류소(버스 중앙차로),37.4533184674 ,126.9010555484 ,항아리형,일반쓰레기,2021,2025-08-22
서울특별시 금천구 시흥동 1000-71,시흥사거리 중앙차로 버스정류장 18-010(서울 방면),정류소(버스 중앙차로),37.4533184674 ,126.9010555484 ,항아리형,재활용쓰레기,2021,2025-08-22
서울특별시 금천구 시흥동 1000-71,시흥사거리 중앙차로 버스정류장 18-010(서울 방면),정류소(버스 중앙차로),37.4533184674 ,126.9010555484 ,일반 사각,일반쓰레기,2022,2025-08-22
서울특별시 금천구 시흥동 1000-71,시흥사거리 중앙차로 버스정류장 18-010(서울 방면),정류소(버스 중앙차로),37.4533184674 ,126.9010555484 ,일반 사각,재활용쓰레기,2022,2025-08-22
서울특별시 금천구 시흥동 1000-92,박미삼거리 중앙차로 버스정류장 18-012(서울 방면),정류소(버스 중앙차로),37.4499630811 ,126.9023715314 ,항아리형,일반쓰레기,2021,2025-08-22
서울특별시 금천구 시흥동 1000-92,박미삼거리 중앙차로 버스정류장 18-012(서울 방면),정류소(버스 중앙차로),37.4499630811 ,126.9023715314 ,항아리형,재활용쓰레기,2021,2025-08-22
서울특별시 금천구 시흥동 1001-16,시흥유통센터 중앙차로 버스정류장 18-014(서울 방면),정류소(버스 중앙차로),37.4411669531 ,126.9033890747 ,항아리형,일반쓰레기,2021,2025-08-22
서울특별시 금천구 시흥동 1001-16,시흥유통센터 중앙차로 버스정류장 18-014(서울 방면),정류소(버스 중앙차로),37.4411669531 ,126.9033890747 ,항아리형,재활용쓰레기,2021,2025-08-22
서울특별시 금천구 시흥대로73길 70,금천구청 앞 보도,도로변(횡단보도 포함),37.4570656500 ,126.8960369000 ,일반 사각,일반쓰레기,2022,2025-08-22
서울특별시 금천구 시흥대로73길 70,금천구청 앞 보도,도로변(횡단보도 포함),37.4570656500 ,126.8960369000 ,일반 사각,재활용쓰레기,2022,2025-08-22
서울특별시 금천구 시흥대로 193,아람아이시티타워 앞 보도,도로변(횡단보도 포함),37.4509932700 ,126.9012779000 ,일반 사각,일반쓰레기,2022,2025-08-22
서울특별시 금천구 시흥대로 193,아람아이시티타워 앞 보도,도로변(횡단보도 포함),37.4509932700 ,126.9012779000 ,일반 사각,재활용쓰레기,2022,2025-08-22
서울특별시 금천구 시흥대로 236,와이즈플레이스 앞 보도 ,도로변(횡단보도 포함),37.4550181300 ,126.9010021332 ,일반 사각,일반쓰레기,2022,2025-08-22
서울특별시 금천구 시흥대로 236,와이즈플레이스 앞 보도 ,도로변(횡단보도 포함),37.4550181300 ,126.9010021332 ,일반 사각,재활용쓰레기,2022,2025-08-22
서울특별시 금천구 가산로9길 66,더리즌밸리지 지식산업센터 앞 보도,도로변(횡단보도 포함),37.4760699694 ,126.8883520604 ,일반 사각,일반쓰레기,2022,2025-08-22
서울특별시 금천구 가산로9길66,더리즌밸리지 지식산업센터 앞 보도,도로변(횡단보도 포함),37.4760699694 ,126.8883520604 ,일반 사각,재활용쓰레기,2022,2025-08-22
서울특별시 금천구 가산디지털1로 186,가산디지털역 7번 출구 앞,지하철역 입구,37.4819130873 ,126.8815811109 ,일반 사각,일반쓰레기,2022,2025-08-22
서울특별시 금천구 가산디지털1로 186,가산디지털역 7번 출구 앞,지하철역 입구,37.4819130873 ,126.8815811109 ,일반 사각,재활용쓰레기,2022,2025-08-22
서울특별시 금천구 벚꽃로 104,금천롯데타워 앞 보도,도로변(횡단보도 포함),37.4637424244 ,126.8917158330 ,일반 사각,일반쓰레기,2022,2025-08-22
서울특별시 금천구 벚꽃로 104,금천롯데타워 앞 보도,도로변(횡단보도 포함),37.4637424244 ,126.8917158330 ,일반 사각,재활용쓰레기,2022,2025-08-22
서울특별시 금천구 독산로 54,횡단보도 앞,도로변(횡단보도 포함),37.4519597500 ,126.9062139000 ,일반 사각,일반쓰레기,2022,2025-08-22
서울특별시 금천구 독산로 54,횡단보도 앞,도로변(횡단보도 포함),37.4519597500 ,126.9062139000 ,일반 사각,재활용쓰레기,2022,2025-08-22
서울특별시 금천구 금하로 679,횡단보도 앞,도로변(횡단보도 포함),37.4525952686 ,126.9058063384 ,항아리형,일반쓰레기,2022,2025-08-22
서울특별시 금천구 금하로 679,횡단보도 앞,도로변(횡단보도 포함),37.4525952686 ,126.9058063384 ,항아리형,재활용쓰레기,2022,2025-08-22
서울특별시 금천구 가산디지털1로 1,독산역 버스정류장 18643 (더루벤스벨리),정류소(버스 가로변),37.4662798254 ,126.8871729318 ,일반 사각,일반쓰레기,2023,2025-08-22
서울특별시 금천구 가산디지털1로 1,독산역 버스정류장 18643 (더루벤스벨리),정류소(버스 가로변),37.4662798254 ,126.8871729318 ,일반 사각,재활용쓰레기,2023,2025-08-22
서울특별시 금천구 가산디지털2로 173,에이스비즈포레 앞 보도,도로변(횡단보도 포함),37.4831680866 ,126.8770673040 ,일반 사각,일반쓰레기,2023,2025-08-22
서울특별시 금천구 가산디지털2로 173,에이스비즈포레 앞 보도,도로변(횡단보도 포함),37.4831680866 ,126.8770673040 ,일반 사각,재활용쓰레기,2023,2025-08-22
서울특별시 금천구 가산디지털1로 168,가산디지털단지역 7번 출구(우림라이온스벨리),지하철역 입구,37.4799664299 ,126.8826362002 ,일반 사각,일반쓰레기,2023,2025-08-22
서울특별시 금천구 가산디지털1로 168,가산디지털단지역 7번 출구(우림라이온스벨리),지하철역 입구,37.4799664299 ,126.8826362002 ,일반 사각,재활용쓰레기,2023,2025-08-22
서울특별시 금천구 가산디지털1로 225,벽산디지털밸리6차 18792(에이스가산포휴),정류소(버스 가로변),37.4850725319 ,126.8788844501 ,일반 사각,일반쓰레기,2023,2025-08-22
서울특별시 금천구 가산디지털1로 225,벽산디지털밸리6차 18792(에이스가산포휴),정류소(버스 가로변),37.4850725319 ,126.8788844501 ,일반 사각,재활용쓰레기,2023,2025-08-22
서울특별시 금천구 가산디지털2로 14,대륭테크노타운 18565(대륭테크노타운12차),정류소(버스 가로변),37.4696780474 ,126.8842545710 ,일반 사각,일반쓰레기,2023,2025-08-22
서울특별시 금천구 가산디지털2로 14,대륭테크노타운 18565(대륭테크노타운12차),정류소(버스 가로변),37.4696780474 ,126.8842545710 ,일반 사각,재활용쓰레기,2023,2025-08-22
서울특별시 금천구 가산디지털2로 98,디지털단3단지교차로(롯데IT캐슬),도로변(횡단보도 포함),37.4772339837 ,126.8810578132 ,일반 사각,일반쓰레기,2023,2025-08-22
서울특별시 금천구 가산디지털2로 98,디지털단3단지교차로(롯데IT캐슬),도로변(횡단보도 포함),37.4772339837 ,126.8810578132 ,일반 사각,재활용쓰레기,2023,2025-08-22
서울특별시 금천구 가산디지털2로 166,디지털3단지운동장 18224(에이스K1타워),정류소(버스 가로변),37.4826735316 ,126.8782938350 ,일반 사각,일반쓰레기,2023,2025-08-22
서울특별시 금천구 가산디지털2로 166,디지털3단지운동장 18224(에이스K1타워),정류소(버스 가로변),37.4826735316 ,126.8782938350 ,일반 사각,재활용쓰레기,2023,2025-08-22
서울특별시 금천구 디지털로9길 68,가산디지털단지역 6번 출구(리더스타워),지하철역 입구,37.4810758439 ,126.8864182787 ,일반 사각,일반쓰레기,2023,2025-08-22
서울특별시 금천구 디지털로9길 68,가산디지털단지역 6번 출구(리더스타워),지하철역 입구,37.4810758439 ,126.8864182787 ,일반 사각,재활용쓰레기,2023,2025-08-22
서울특별시 금천구 벚꽃로 286,삼성리더스타워 앞 보도,도로변(횡단보도 포함),37.4803938924 ,126.8841211402 ,일반 사각,일반쓰레기,2023,2025-08-22
서울특별시 금천구 벚꽃로 286,삼성리더스타워 앞 보도,도로변(횡단보도 포함),37.4803938924 ,126.8841211402 ,일반 사각,재활용쓰레기,2023,2025-08-22
서울특별시 금천구 시흥대로 427,LG유플러스 앞 보도,도로변(횡단보도 포함),37.4716490469 ,126.8977790559 ,일반 사각,일반쓰레기,2023,2025-08-22
서울특별시 금천구 시흥대로 427,LG유플러스 앞 보도,도로변(횡단보도 포함),37.4716490469 ,126.8977790559 ,일반 사각,재활용쓰레기,2023,2025-08-22
서울특별시 금천구 가산디지털1로 2,우림라이온스밸리 2차,도로변(횡단보도 포함),37.4668341929 ,126.8879996615 ,일반 사각,일반쓰레기,2025,2025-08-22
서울특별시 금천구 가산디지털1로 2,우림라이온스밸리 3차,도로변(횡단보도 포함),37.4668341929 ,126.8879996615 ,일반 사각,재활용쓰레기,2025,2025-08-22
서울특별시 금천구 가산디지털1로 67,서울세관 구로지원센터,정류소(버스 가로변),37.4721449022 ,126.8848789726 ,일반 사각,일반쓰레기,2025,2025-08-22
서울특별시 금천구 가산디지털1로 67,서울세관 구로지원센터,정류소(버스 가로변),37.4721449022 ,126.8848789726 ,일반 사각,재활용쓰레기,2025,2025-08-22
서울특별시 금천구 가산디지털2로 173,에이스 비즈포레 지식산업센터,도로변(횡단보도 포함),37.4831680866 ,126.8770673040 ,일반 사각,일반쓰레기,2025,2025-08-22
서울특별시 금천구 가산디지털2로 173,에이스 비즈포레 지식산업센터,도로변(횡단보도 포함),37.4831680866 ,126.8770673040 ,일반 사각,재활용쓰레기,2025,2025-08-22
서울특별시 금천구 가산디지털2로 98,롯데IT캐슬 2동 앞,도로변(횡단보도 포함),37.4772339837 ,126.8810578132 ,일반 사각,일반쓰레기,2025,2025-08-22
서울특별시 금천구 가산디지털2로 98,롯데IT캐슬 2동 앞,도로변(횡단보도 포함),37.4772339837 ,126.8810578132 ,일반 사각,재활용쓰레기,2025,2025-08-22
서울특별시 금천구 디지털로 130,디지털3단지 사거리 18112,정류소(버스 가로변),37.4754518858 ,126.8818743898 ,일반 사각,일반쓰레기,2025,2025-08-22
서울특별시 금천구 디지털로 130,디지털3단지 사거리 18112,정류소(버스 가로변),37.4754518858 ,126.8818743898 ,일반 사각,재활용쓰레기,2025,2025-08-22
서울특별시 금천구 디지털로 185,금천패션아울렛사거리.마리오아울렛 18699,정류소(버스 가로변),37.4781274612 ,126.8872528028 ,일반 사각,일반쓰레기,2025,2025-08-22
서울특별시 금천구 디지털로 185,금천패션아울렛사거리.마리오아울렛 18699,정류소(버스 가로변),37.4781274612 ,126.8872528028 ,일반 사각,재활용쓰레기,2025,2025-08-22
서울특별시 금천구 디지털로 193,금천패션아울렛사거리.현대아울렛 18115,정류소(버스 가로변),37.4792376928 ,126.8881146738 ,일반 사각,일반쓰레기,2025,2025-08-22
서울특별시 금천구 디지털로 193,금천패션아울렛사거리.현대아울렛 18115,정류소(버스 가로변),37.4792376928 ,126.8881146738 ,일반 사각,재활용쓰레기,2025,2025-08-22
서울특별시 금천구 디지털로10길 9,현대시티아울렛 가산점,도로변(횡단보도 포함),37.4776190162 ,126.8890553374 ,일반 사각,일반쓰레기,2025,2025-08-22
서울특별시 금천구 디지털로10길 9,현대시티아울렛 가산점,도로변(횡단보도 포함),37.4776190162 ,126.8890553374 ,일반 사각,재활용쓰레기,2025,2025-08-22
서울특별시 금천구 범안로 1126,대륭테크노타운 21차,도로변(횡단보도 포함),37.4652071678 ,126.8870742798 ,일반 사각,일반쓰레기,2025,2025-08-22
서울특별시 금천구 범안로 1126,대륭테크노타운 21차,도로변(횡단보도 포함),37.4652071678 ,126.8870742798 ,일반 사각,재활용쓰레기,2025,2025-08-22
서울특별시 금천구 벚꽃로 298,대륭포스트타워 6차,지하철역 입구,37.4814401690 ,126.8838716934 ,일반 사각,일반쓰레기,2025,2025-08-22
서울특별시 금천구 벚꽃로 298,대륭포스트타워 6차,지하철역 입구,37.4814401690 ,126.8838716934 ,일반 사각,재활용쓰레기,2025,2025-08-22
