시군구명,도로(가로)명,설치 위치,쓰레기통 종류,형태,수거 담당자,관리기관명,관리기관 전화번호,데이터기준일자
동대문구,안암로80,파리바게뜨 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,무학로189,어깨동무 약국,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,안암로 22-1,플롯코리아 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,왕산로 77,gs25 제기역점 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,약령시로 25,벽산 아파트 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,약령시로 45,소화유치원 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,제기로 2,고대멸치국수 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,약령시로 9길 79,상일기업 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,정릉천동로 102,서울탑병원 주차장 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,한빛로 73,버스정류소 06-180,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,망우로 131,버스정류소 06-009 (휴지통 2개),일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,망우로 122-1,버스정류소 06-010 (휴지통 2개),일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구, 망우로 118,버스정류소 06-121,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,한천로 279,버스정류소 06-140,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,한천로 290,버스정류소 06-141,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,한천로 248,버스정류소 06-309,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,겸재로 21,버스정류소 06-423,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
