연번,자치구명,도로(가로)명,세부 위치,설치 장소 유형,수거 쓰레기 종류,형태,설치연도,데이터기준일자
1,동작구청,노량진로 ,24길2(ID:20-157),버스정류장 옆,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
2,동작구청,노량진로 ,248(노들지구대 앞),가로변,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
3,동작구청,노량진로 ,노들역(ID:20-014),중앙차로,일반쓰레기,기타(원형),2018년 이전,2024-07-29
4,동작구청,노량진로 ,224(노량진우체국),가로변,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
5,동작구청,노량진로 ,노들역(ID:20-013),중앙차로,재활용, 항아리형 쓰레기통,2018년 이전,2024-07-29
6,동작구청,노량진로 ,노들역(ID:20-013),중앙차로,일반쓰레기,기타(원형),2018년 이전,2024-07-29
7,동작구청,매봉로,165(수학원),가로변,재활용,일반 사각 쓰레기통,2020년 설치,2024-07-29
8,동작구청,매봉로,극동아파트 정류장(ID:20-745),마을버스 정류장 옆,재활용,일반 사각 쓰레기통,2020년 설치,2024-07-29
9,동작구청,매봉로,한신아파트(ID:20-869),마을버스 정류장 옆,재활용,일반 사각 쓰레기통,2020년 설치,2024-07-29
10,동작구청,노량진로 ,노량진역(ID:20-011),버스중앙차로,재활용, 항아리형 쓰레기통,2018년 이전,2024-07-29
11,동작구청,장승배기로,동작구청앞 버스정류장(ID:20-944),가로변,일반쓰레기,일반 사각 쓰레기통,2019년 설치,2024-07-29
12,동작구청,장승배기로,동작구청앞 버스정류장(ID:20-944),가로변,재활용,일반 사각 쓰레기통,2019년 설치,2024-07-29
13,동작구청,노량진로 ,172(GS 주유소 앞),가로변,재활용,일반 사각 쓰레기통,2020년 설치,2024-07-29
14,동작구청,매봉로,노량진역(ID:20-012),버스 정류장 옆,재활용,일반 사각 쓰레기통,2020년 설치,2024-07-29
15,동작구청,노량진로 ,191(사육신묘앞),가로변,일반쓰레기,일반 사각 쓰레기통,2020년 설치,2024-07-29
16,동작구청,노량진로 ,157-1 노량진역(ID:20-115),마을버스 정류장 옆,재활용,일반 사각 쓰레기통,2020년 설치,2024-07-29
17,동작구청,노량진로 ,16길 33,가로변,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
18,동작구청,노량진로 ,223,가로변,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
19,동작구청,만양로 ,112(다이소 앞),가로변,일반쓰레기,일반 사각 쓰레기통,2020년 설치,2024-07-29
20,동작구청,만양로 ,노량진동 116-2(한성주창장앞),가로변,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
21,동작구청,장승배기로,143-1,가로변,일반쓰레기,일반 사각 쓰레기통,2019년 설치,2024-07-29
22,동작구청,장승배기로,143-1,가로변,재활용,일반 사각 쓰레기통,2019년 설치,2024-07-29
23,동작구청,장승배기로,102(나이스가이 헤어숍),가로변,일반쓰레기,일반 사각 쓰레기통,2019년 설치,2024-07-29
24,동작구청,장승배기로,102(나이스가이 헤어숍),가로변,재활용,일반 사각 쓰레기통,2019년 설치,2024-07-29
25,동작구청,노량진로 ,노량진수산시장(ID:20-009),버스 중앙차로,재활용, 항아리형 쓰레기통,2018년 이전,2024-07-29
26,동작구청,장승배기로,11가길11(장승배기역5번출구 옆),가로변,재활용, 항아리형 쓰레기통,2018년 이전,2024-07-29
27,동작구청,노량진로 ,124,가로변,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
28,동작구청,노량진로 ,96(세븐일레븐 앞),가로변,재활용,일반 사각 쓰레기통,2020년 설치,2024-07-29
29,동작구청,장승배기로,160(노량진초등학교 앞),가로변,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
30,동작구청,노량진로 ,노량진수산시장(ID:20-010),버스 중앙차로,재활용, 항아리형 쓰레기통,2018년 이전,2024-07-29
31,동작구청,장승배기로,128(기업은행 앞),가로변,재활용,일반 사각 쓰레기통,2019년 설치,2024-07-29
32,동작구청,장승배기로,128(기업은행 앞),가로변,일반쓰레기,일반 사각 쓰레기통,2019년 설치,2024-07-29
33,동작구청,노량진로 ,노량진로 152-1(해박난치과),가로변,일반쓰레기,일반 사각 쓰레기통,2019년 설치,2024-07-29
34,동작구청,노량진로 ,노량진로 152-1(해박난치과),가로변,재활용,일반 사각 쓰레기통,2019년 설치,2024-07-29
35,동작구청,상도로,53길39(ID:20-244),마을버스 정류장 옆,일반쓰레기,일반 사각 쓰레기통,2019년 설치,2024-07-29
36,동작구청,상도로,53길39(ID:20-244),마을버스 정류장 옆,재활용,일반 사각 쓰레기통,2019년 설치,2024-07-29
37,동작구청,양녕로,268,가로변,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
38,동작구청,서달로,1길17 동양아파트(ID:20-917),가로변,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
39,동작구청,상도로,357(ID:20-166),버스 정류장 옆,재활용, 항아리형 쓰레기통,2018년 이전,2024-07-29
40,동작구청,상도로,봉현초등학교(ID:20-167),버스 정류장 옆,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
41,동작구청,상도로,383-1 ,가로변,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
42,동작구청,상도로,357(ID:20-165),가로변,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
43,동작구청,상도로,364-1(ID:20-165),가로변,재활용, 항아리형 쓰레기통,2018년 이전,2024-07-29
44,동작구청,사당로,22(ID:20-169),버스 정류장 옆,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
45,동작구청,상도로,352,가로변,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
46,동작구청,상도로,267(상도역3번출구 옆),가로변,재활용,일반 사각 쓰레기통,2019년 설치,2024-07-29
47,동작구청,상도로,267(상도역3번출구 옆),가로변,일반쓰레기,일반 사각 쓰레기통,2019년 설치,2024-07-29
48,동작구청,만양로 ,6(백두공인중개사),가로변,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
49,동작구청,사당로,숭실대별관앞(ID:20-172),버스 정류장 옆,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
50,동작구청,상도로,134,가로변,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
51,동작구청,양녕로,269-1,가로변,일반쓰레기/재활용,특수형태(광고판 일체형)쓰레기통,2024년 신규(대체),2024-07-29
52,동작구청,상도로,156,가로변,일반쓰레기,일반 사각 쓰레기통,2019년 설치,2024-07-29
53,동작구청,상도로,156,가로변,재활용,일반 사각 쓰레기통,2019년 설치,2024-07-29
54,동작구청,장승배기로,73(상도치안센타 옆),마을버스 정류장 옆,일반쓰레기,일반 사각 쓰레기통,2020년 설치,2024-07-29
55,동작구청,장승배기로,73(상도치안센타 옆),마을버스 정류장 옆,재활용,일반 사각 쓰레기통,2018년 이전,2024-07-29
