연번,설치위치(도로명주소),세부위치,설치장소유형,쓰레기통형태,수거쓰레기종류,데이터기준일자
1,서울특별시 서초구 강남대로623,"오르셀의원 앞(신사역5번출구근처,정류장-22186)",상가지역,기타(텀블러형 등),재활용쓰레기,2025-05-28
2,서울특별시 서초구 강남대로603-2,신사역4번출구 옆,지하철역 입구,기타(텀블러형 등),재활용쓰레기,2025-05-28
3,서울특별시 서초구 강남대로567,KDB산업은행옆,상가지역,기타(텀블러형 등),재활용쓰레기,2025-05-28
4,서울특별시 서초구 강남대로505,고도일병원 앞,상가지역,기타(텀블러형 등),재활용쓰레기,2025-05-28
5,서울특별시 서초구 강남대로483,스타벅스 앞,상가지역,기타(텀블러형 등),재활용쓰레기,2025-05-28
6,서울특별시 서초구 강남대로477-2,신논현역2번출구 뒤,지하철역 입구,기타(텀블러형 등),재활용쓰레기,2025-05-28
7,서울특별시 서초구 강남대로447,자라 앞,도로변(횡단보도 포함),기타(텀블러형 등),재활용쓰레기,2025-05-28
8,서울특별시 서초구 강남대로441,유화빌딩 앞,상가지역,기타(텀블러형 등),재활용쓰레기,2025-05-28
9,서울특별시 서초구 강남대로423,이니스프리 앞,상가지역,기타(텀블러형 등),재활용쓰레기,2025-05-28
10,서울특별시 서초구 강남대로415,대동빌딩 앞,상가지역,기타(텀블러형 등),재활용쓰레기,2025-05-28
11,서울특별시 서초구 강남대로373,던킨도너츠 앞,지하철역 입구,기타(텀블러형 등),재활용쓰레기,2025-05-28
12,서울특별시 서초구 강남대로365,도씨에빛 1 앞,상가지역,기타(텀블러형 등),재활용쓰레기,2025-05-28
13,서울특별시 서초구 강남대로359,도씨에빛 2 앞,상가지역,기타(텀블러형 등),재활용쓰레기,2025-05-28
14,서울특별시 서초구 강남대로343,신한금융투자 강남중앙지점 앞,상가지역,기타(텀블러형 등),재활용쓰레기,2025-05-28
15,서울특별시 서초구 강남대로299,하나금융그룹,지하철역 입구,기타(텀블러형 등),재활용쓰레기,2025-05-28
16,서울특별시 서초구 남부순환로2585,양재역 1번출구 옆,지하철역 입구,기타(텀블러형 등),재활용쓰레기,2025-05-28
17,서울특별시 서초구 남부순환로2585,양재역 11번출구 옆,지하철역 입구,기타(텀블러형 등),재활용쓰레기,2025-05-28
18,서울특별시 서초구강남대로213,맥도널드 앞(엘타워),상가지역,기타(텀블러형 등),재활용쓰레기,2025-05-28
19,서울특별시 서초구 남부순환로2585,양재역 7번출구 옆(기업은행 앞),지하철역 입구,기타(텀블러형 등),재활용쓰레기,2025-05-28
20,서울특별시 서초구 강남대로148,상록빌딩 앞(일동제약사거리 맥도날드옆),상가지역,기타(텀블러형 등),재활용쓰레기,2025-05-28
21,서울특별시 서초구 양재동 105-4(강남대로),일동제약사거리 버스정류장(22-291),정류소(버스 가로변),기타(텀블러형 등),재활용쓰레기,2025-05-28
22,서울특별시 서초구 강남대로48-3,"양재시민의 숲 3번출구,버스정류장(22293)",지하철역 입구,기타(텀블러형 등),재활용쓰레기,2025-05-28
23,서울특별시 서초구 강남대로45-2,양재시민의 숲 1번출구 앞 버스정류장(222-96),정류소(버스 가로변),기타(텀블러형 등),재활용쓰레기,2025-05-28
24,서울특별시 서초구 효령로22,버스정류장 앞(22979),정류소(버스 가로변),기타(텀블러형 등),재활용쓰레기,2025-05-28
25,서울특별시 서초구 효령로92,버스정류장 앞(22250),정류소(버스 가로변),기타(텀블러형 등),재활용쓰레기,2025-05-28
26,서울특별시 서초구 효령로292,남부터미널 역 5번출구 옆,지하철역 입구,기타(텀블러형 등),재활용쓰레기,2025-05-28
27,서울특별시 서초구 강남대로259,페이토호텔 앞,상가지역,기타(텀블러형 등),재활용쓰레기,2025-05-28
28,서울특별시 서초구 강남대로27,양재시민의 숲 4번출구,지하철역 입구,기타(텀블러형 등),재활용쓰레기,2025-05-28
29,서울특별시 서초구 효령로336,버스정류장 앞(22446),정류소(버스 가로변),기타(텀블러형 등),재활용쓰레기,2025-05-28
30,서울특별시 서초구 효령로418,버스정류장 앞(22126),정류소(버스 가로변),기타(텀블러형 등),재활용쓰레기,2025-05-28
31,서울특별시 서초구 효령로341,버스정류장 앞(22112),정류소(버스 가로변),기타(텀블러형 등),재활용쓰레기,2025-05-28
32,서울특별시 서초구 반포대로38,와라와라 앞,상가지역,기타(텀블러형 등),재활용쓰레기,2025-05-28
33,서울특별시 서초구 반포대로43,서초고용센터 앞,도로변(횡단보도 포함),기타(텀블러형 등),재활용쓰레기,2025-05-28
34,서울특별시 서초구 반포대로72,한독모터스 앞,상가지역,기타(텀블러형 등),재활용쓰레기,2025-05-28
35,서울특별시 서초구 서초동1541-5(반포대로),서초역 3번출구 앞,지하철역 입구,기타(텀블러형 등),재활용쓰레기,2025-05-28
36,서울특별시 서초구 서초대로 240,서초역 2번출구 앞,지하철역 입구,기타(텀블러형 등),재활용쓰레기,2025-05-28
37,서울특별시 서초구 반포대로95,버스정류장 앞(22142),정류소(버스 가로변),기타(텀블러형 등),재활용쓰레기,2025-05-28
38,서울특별시 서초구 효령로 120,방배역 3번출구 옆,지하철역 입구,기타(텀블러형 등),재활용쓰레기,2025-05-28
39,서울특별시 서초구 반포대로94,버스정류장 앞(22140),정류소(버스 가로변),기타(텀블러형 등),재활용쓰레기,2025-05-28
40,서울특별시 서초구 효령로 34길 4,방배역 1번출구 옆,지하철역 입구,기타(텀블러형 등),재활용쓰레기,2025-05-28
41,서울특별시 서초구 방배로268,"버스정류장 앞(22223),서래초근처",정류소(버스 가로변),기타(텀블러형 등),재활용쓰레기,2025-05-28
42,서울특별시 서초구 방배로 173,방배열린문화센터 앞,상가지역,기타(텀블러형 등),재활용쓰레기,2025-05-28
43,서울특별시 서초구 방배로 151,내방역 3번출구 앞,지하철역 입구,기타(텀블러형 등),재활용쓰레기,2025-05-28
44,서울특별시 서초구 서초대로 101,내방역 5번출구 뒤,지하철역 입구,기타(텀블러형 등),재활용쓰레기,2025-05-28
45,서울특별시 서초구 효령로 120,방배역 2번출구 앞,지하철역 입구,기타(텀블러형 등),재활용쓰레기,2025-05-28
