설치위치,세부위치,종류,설치연도,데이터기준일
잠실로,롯데호텔 공항버스정류장 옆,① 일반쓰레기,③ 2018년 설치,2024-07-31
올림픽로 240,롯데마트 주차장 출구 앞,① 일반쓰레기,① 2016년 이전 설치,2024-07-31
올림픽로 145,잠실새내역 8번출구 뒤,① 일반쓰레기,② 2017년 설치,2024-07-31
올림픽로 215,잠실역 5번출구 앞,① 일반쓰레기,④ 2019년 설치,2024-07-31
송파대로 567,잠실역 6번출구 앞,① 일반쓰레기,③ 2018년 설치,2024-07-31
송파대로 567,잠실역 잠실대교 남단,① 일반쓰레기,① 2016년 이전 설치,2024-07-31
송파대로 567,잠실역 잠실대교 남단,② 재활용쓰레기,① 2016년 이전 설치,2024-07-31
올림픽로 215,잠실역 롯데월드,① 일반쓰레기,④ 2019년 설치,2024-07-31
올림픽로 99,잠실엘스아파트앞,① 일반쓰레기,② 2017년 설치,2024-07-31
올림픽로 99,잠실엘스아파트앞,② 재활용쓰레기,② 2017년 설치,2024-07-31
석촌호수로,잠실새내역 6번출구 앞,① 일반쓰레기,① 2016년 이전 설치,2024-07-31
삼학사로 31, 횡단보도 앞,① 일반쓰레기,② 2017년 설치,2024-07-31
송파대로 455,석촌호수 한솔병원,② 재활용쓰레기,① 2016년 이전 설치,2024-07-31
송파대로 411,석촌역,① 일반쓰레기,① 2016년 이전 설치,2024-07-31
송파대로 371,송파역,① 일반쓰레기,① 2016년 이전 설치,2024-07-31
올림픽로 25,잠실종합운동장,① 일반쓰레기,① 2016년 이전 설치,2024-07-31
올림픽로 25,잠실종합운동장,② 재활용쓰레기,① 2016년 이전 설치,2024-07-31
올림픽로 25,종합운동장역 5번출구 앞,① 일반쓰레기,① 2016년 이전 설치,2024-07-31
올림픽로 25,종합운동장역 5번출구 앞,② 재활용쓰레기,① 2016년 이전 설치,2024-07-31
가락로 2,배명야구장 옆 횡단보도,① 일반쓰레기,⑦ 2022년 설치,2024-07-31
올림픽로 118,도로변,① 일반쓰레기,① 2016년 이전 설치,2024-07-31
석촌호수로 151,잠실119안전센터,① 일반쓰레기,③ 2018년 설치,2024-07-31
올림픽로 76,종합운동장사거리,① 일반쓰레기,① 2016년 이전 설치,2024-07-31
올림픽로 99,종합운동장사거리,① 일반쓰레기,④ 2019년 설치,2024-07-31
백제고분로 69,아시아선수촌아파트,① 일반쓰레기,④ 2019년 설치,2024-07-31
도곡로 438,아주중학교,① 일반쓰레기,④ 2019년 설치,2024-07-31
백제고분로 170,잠실우성4차현대아파트,① 일반쓰레기,⑤ 2020년 설치,2024-07-31
석촌호수로 61,잠실새내역앞,① 일반쓰레기,⑤ 2020년 설치,2024-07-31
백제고분로 284,도로변,① 일반쓰레기,④ 2019년 설치,2024-07-31
올림픽로 159,잠실트리지움 346동 앞,① 일반쓰레기,① 2016년 이전 설치,2024-07-31
백제고분로 204,도로변,① 일반쓰레기,⑤ 2020년 설치,2024-07-31
올림픽로 130,잠실새내역 4번출구 앞,① 일반쓰레기,① 2016년 이전 설치,2024-07-31
오금로 91,구 KT 건물 앞,① 일반쓰레기,① 2016년 이전 설치,2024-07-31
올림픽로 300,잠실역1번 11번출구(24-134),① 일반쓰레기,① 2016년 이전 설치,2024-07-31
올림픽로 300,잠실역1번 11번출구(24-134),② 재활용쓰레기,① 2016년 이전 설치,2024-07-31
오금로 95,도로변,① 일반쓰레기,① 2016년 이전 설치,2024-07-31
오금로 101,방이삼거리(석촌호수 동호) 앞,① 일반쓰레기,② 2017년 설치,2024-07-31
백제고분로 437,송파나루역 1번출구 앞,① 일반쓰레기,④ 2019년 설치,2024-07-31
오금로 204,방이동 고분군사거리 앞,① 일반쓰레기,⑤ 2020년 설치,2024-07-31
양재대로 1222,올림픽공원역 1번출구 앞,① 일반쓰레기,② 2017년 설치,2024-07-31
양재대로 1222,올림픽공원역 1번출구 앞,② 재활용쓰레기,② 2017년 설치,2024-07-31
양재대로 1223-2,올림픽공원역 4번출구 뒤,① 일반쓰레기,② 2017년 설치,2024-07-31
양재대로 1178,맞은편 올림픽공원테니스장(24-246),① 일반쓰레기,① 2016년 이전 설치,2024-07-31
위례성대로 128,맞은편 올림픽공원장미광장(24-239),① 일반쓰레기,⑤ 2020년 설치,2024-07-31
위례성대로 29,한성백제역 2번출구 옆,① 일반쓰레기,④ 2019년 설치,2024-07-31
위례성대로 29,몽촌토성역 한성백제역(24-241),① 일반쓰레기,② 2017년 설치,2024-07-31
위례성대로 29,몽촌토성역 한성백제역(24-241),② 재활용쓰레기,② 2017년 설치,2024-07-31
