연번,행정동,설치 위치,설치 장소 유형,쓰레기통 형태,수거 쓰레기 종류,통 제작연월,최초설치
1,대림2동,대림동 993-59,버스정류소,일반 사각 쓰레기통,일반쓰레기,2025-08,2018-00
2,대림2동,대림동 993-59,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2025-08,2025-08
3,문래동,문래동1가 57-3,버스정류소,일반 사각 쓰레기통,일반쓰레기,2025-08,2018-00
4,문래동,문래동1가 57-3,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2025-08,2025-08
5,문래동,문래동2가 36-13,버스정류소,일반 사각 쓰레기통,일반쓰레기,2025-08,2018-00
6,문래동,문래동2가 36-13,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2025-08,2025-08
7,신길6동,신길동 4321,버스정류소,일반 사각 쓰레기통,일반쓰레기,2025-08,2018-00
8,신길6동,신길동 4321,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2025-08,2025-08
9,신길6동,신길동 4785,버스정류소,일반 사각 쓰레기통,일반쓰레기,2025-08,2018-00
10,신길6동,신길동 4785,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2025-08,2025-08
11,신길7동,신길동 4880,버스정류소,일반 사각 쓰레기통,일반쓰레기,2025-08,2018-00
12,신길7동,신길동 4880,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2025-08,2025-08
13,신길7동,여의대방로 259,버스정류소,일반 사각 쓰레기통,일반쓰레기,2025-08,2018-00
14,신길7동,여의대방로 259,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2025-08,2025-08
15,신길7동,신길동 1367-2,버스정류소,일반 사각 쓰레기통,일반쓰레기,2025-08,2018-00
16,신길7동,신길동 1367-2,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2025-08,2025-08
17,신길6동,신길로 70,버스정류소,일반 사각 쓰레기통,일반쓰레기,2025-08,2018-00
18,신길6동,신길로 70,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2025-08,2025-08
19,당산2동,당산로 231,지하철 입구,일반 사각 쓰레기통,일반쓰레기,2025-08,2018-00
20,당산2동,당산로 231,지하철 입구,일반 사각 쓰레기통,재활용쓰레기,2025-08,2018-00
21,여의도동,여의도동 2-11,버스정류소,일반 사각 쓰레기통,일반쓰레기,2025-08,2022-00
22,여의도동,여의도동 2-11,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2025-08,2025-08
23,당산2동,양평로 36,지하철 입구,일반 사각 쓰레기통,일반쓰레기,2025-08,2018-00
24,당산2동,양평로 36,지하철 입구,일반 사각 쓰레기통,재활용쓰레기,2025-08,2025-08
25,양평2동,양화동 10-8,버스정류소,일반 사각 쓰레기통,일반쓰레기,2025-08,2018-00
26,양평2동,양화동 10-8,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2025-08,2018-00
27,양평2동,양화동 10-8,버스정류소,일반 사각 쓰레기통,일반쓰레기,2025-08,2018-00
28,양평2동,양화동 10-8,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2025-08,2018-00
29,여의도동,국제금융로 108-6,버스정류소,일반 사각 쓰레기통,일반쓰레기,2025-08,2025-08
30,여의도동,국제금융로 108-6,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2025-08,2018-00
31,여의도동,의사당대로 1,버스정류소,일반 사각 쓰레기통,일반쓰레기,2025-08,2018-00
32,여의도동,의사당대로 1,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2025-08,2025-08
33,영등포동,경인로 829,버스정류소,일반 사각 쓰레기통,일반쓰레기,2025-08,2018-00
34,영등포동,경인로 829,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2025-08,2018-00
35,영등포동,경인로 829,버스정류소,일반 사각 쓰레기통,일반쓰레기,2025-08,2018-00
36,영등포동,경인로 829,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2025-08,2018-00
