시도명,시군구명,관리번호,설치위치,설치유형,데이터기준일자
서울특별시,은평구,1,가좌로204     평창두부 마을앞,일반 사각 쓰레기통,2021-07-01
서울특별시,은평구,2,가좌로252,일반 사각 쓰레기통,2021-07-01
서울특별시,은평구,3,가좌로272 부동산 뉴스 앞,일반 사각 쓰레기통,2021-07-01
서울특별시,은평구,4,가좌로272 부동산 뉴스 앞,일반 사각 쓰레기통,2021-07-01
서울특별시,은평구,5,가좌로333    뽀떼나앞,일반 사각 쓰레기통,2021-07-01
서울특별시,은평구,6,가좌로333    뽀떼나앞,일반 사각 쓰레기통,2021-07-01
서울특별시,은평구,7,가좌로313 OK부동산 앞,일반 사각 쓰레기통,2021-07-01
서울특별시,은평구,8,가좌로277 앞,일반 사각 쓰레기통,2021-07-01
서울특별시,은평구,9,가좌로227,일반 사각 쓰레기통,2021-07-01
서울특별시,은평구,10,갈현로82  올래 통신사앞,일반 사각 쓰레기통,2021-07-01
서울특별시,은평구,11,갈현로126한빛부동산앞,일반 사각 쓰레기통,2021-07-01
서울특별시,은평구,12,갈현로154,일반 사각 쓰레기통,2021-07-01
서울특별시,은평구,13,갈현로254 앞,일반 사각 쓰레기통,2021-07-01
서울특별시,은평구,14,갈현로300갈현상가앞,일반 사각 쓰레기통,2021-07-01
서울특별시,은평구,15,갈현로337 앞,일반 사각 쓰레기통,2021-07-01
서울특별시,은평구,16,갈현로337 앞,일반 사각 쓰레기통,2021-07-01
서울특별시,은평구,17,갈현로263아이패밀리앞,일반 사각 쓰레기통,2021-07-01
서울특별시,은평구,18,갈현로263아이패밀리앞,일반 사각 쓰레기통,2021-07-01
서울특별시,은평구,19,갈현로89시립서북병원버스정류장,일반 사각 쓰레기통,2021-07-01
서울특별시,은평구,20,갈현로89시립서북병원버스정류장,일반 사각 쓰레기통,2021-07-01
서울특별시,은평구,21,갈현로60,일반 사각 쓰레기통,2021-07-01
서울특별시,은평구,22,갈현로15브리아몽빵집앞,일반 사각 쓰레기통,2021-07-01
서울특별시,은평구,23,불광로38파리바게뜨앞,일반 사각 쓰레기통,2021-07-01
서울특별시,은평구,24,불광로129-1독바위역1번출구앞,일반 사각 쓰레기통,2021-07-01
서울특별시,은평구,25,불광로85 성유교회앞,일반 사각 쓰레기통,2021-07-01
서울특별시,은평구,26,통일로 736,일반 사각 쓰레기통,2021-07-01
서울특별시,은평구,27,불광로27불광역7번출구앞,일반 사각 쓰레기통,2021-07-01
서울특별시,은평구,28,불광로27불광역7번출구앞,일반 사각 쓰레기통,2021-07-01
서울특별시,은평구,29,백련산로175응암1동주민센터버스정류장,항아리형 쓰레기통,2021-07-01
서울특별시,은평구,30,백련산힐스테이트4차(403동 앞),일반 사각 쓰레기통,2021-07-01
서울특별시,은평구,31,백련산힐스테이트2차버스정류장,일반 사각 쓰레기통,2021-07-01
서울특별시,은평구,32,백련산로84은평병원버스정류장,일반 사각 쓰레기통,2021-07-01
서울특별시,은평구,33,수색로261-1수색역앞,항아리형 쓰레기통,2021-07-01
서울특별시,은평구,34,수색로191 초록약국 앞,일반 사각 쓰레기통,2021-07-01
