연번,자치구명,도로(가로)명,세부 위치,형태,수거 쓰레기 종류,데이터기준일
1,종로구,사직로 125,경복궁역 4번출구,일반 사각 쓰레기통,일반쓰레기,2025-05-09
2,종로구,사직로 125,경복궁역 4번출구,일반 사각 쓰레기통,재활용쓰레기,2025-05-09
3,종로구,자하문로4길 6,스타벅스 앞,일반 사각 쓰레기통,일반쓰레기,2025-05-09
4,종로구,자하문로4길 6,스타벅스 앞,일반 사각 쓰레기통,재활용쓰레기,2025-05-09
5,종로구,자하문로 44,라파리나 카페 앞,일반 사각 쓰레기통,일반쓰레기,2025-05-09
6,종로구,자하문로 44,라파리나 카페 앞,일반 사각 쓰레기통,재활용쓰레기,2025-05-09
7,종로구,자하문로 13-2 ,더 바움 앞,일반 사각 쓰레기통,일반쓰레기,2025-05-09
8,종로구,자하문로 13-2 ,더 바움 앞,일반 사각 쓰레기통,재활용쓰레기,2025-05-09
9,종로구,효자로13길 45,청와대 사랑채 분수대 광장,일반 사각 쓰레기통,일반쓰레기,2025-05-09
10,종로구,효자로13길 45,청와대 사랑채 분수대 광장,일반 사각 쓰레기통,재활용쓰레기,2025-05-09
11,종로구,사직동 1-28,사직단.어린이도서관(01-113),일반 사각 쓰레기통,일반쓰레기,2025-05-09
12,종로구,사직동 1-28,사직단.어린이도서관(01-113),일반 사각 쓰레기통,재활용쓰레기,2025-05-09
13,종로구,자하문로1길 32,서촌 친구네 앞,담배꽁초 수거함,일반쓰레기,2025-05-09
14,종로구,종로11길 9-24,담장 앞,담배꽁초 수거함,일반쓰레기,2025-05-09
15,종로구,자하문로1길 34,넘버원양꼬치 앞 ,담배꽁초 수거함,일반쓰레기,2025-05-09
16,종로구,청계천로 75,공영주차장 앞,담배꽁초 수거함,일반쓰레기,2025-05-09
17,종로구,우정국로2길 34,국찌족발 앞,담배꽁초 수거함,일반쓰레기,2025-05-09
18,종로구,청계천로 187,바다극장 앞,담배꽁초 수거함,일반쓰레기,2025-05-09
19,종로구,청계천로 199-1,진양상사 앞,담배꽁초 수거함,일반쓰레기,2025-05-09
20,종로구,청계천로 195,스왈라 앞,담배꽁초 수거함,일반쓰레기,2025-05-09
21,종로구,돈화문로 36-1,청룡귀금속 앞,담배꽁초 수거함,일반쓰레기,2025-05-09
22,종로구,자하문로1길 5,술복궁 맞은편,담배꽁초 수거함,일반쓰레기,2025-05-09
23,종로구,자하문로1길 3,안주마을 앞,담배꽁초 수거함,일반쓰레기,2025-05-09
24,종로구,보문로1길 8,루밍하우스코리아 맞은편,담배꽁초 수거함,일반쓰레기,2025-05-09
25,종로구,인사동16길 3-10,예당 카페 앞,담배꽁초 수거함,일반쓰레기,2025-05-09
26,종로구,자하문로1길 44,청우부동산 앞,담배꽁초 수거함,일반쓰레기,2025-05-09
27,종로구,보문로1길 8,루밍하우스코리아 맞은편,담배꽁초 수거함,일반쓰레기,2025-05-09
28,종로구,자하문로1길 28,첫잔 앞,담배꽁초 수거함,일반쓰레기,2025-05-09
29,종로구,신문로1가 141,광화문(중)(01-009),마대걸이형 쓰레기통,일반쓰레기,2025-05-09
30,종로구,신문로1가 141,광화문(중)(01-009),마대걸이형 쓰레기통,재활용쓰레기,2025-05-09
31,종로구,신문로1가 141,광화문(중)(01-009),마대걸이형 쓰레기통,일반쓰레기,2025-05-09
32,종로구,신문로1가 141,광화문(중)(01-009),마대걸이형 쓰레기통,재활용쓰레기,2025-05-09
33,종로구,청계천로 1,채널A 본사 앞 ,일반 사각 쓰레기통,일반쓰레기,2025-05-09
34,종로구,청계천로 1,채널A 본사 앞 ,일반 사각 쓰레기통,재활용쓰레기,2025-05-09
35,종로구,사직로 103-19,만가 한식당 앞,담배꽁초 수거함,일반쓰레기,2025-05-09
36,종로구,종로 30-1,종로분식 앞,일반 사각 쓰레기통,일반쓰레기,2025-05-09
37,종로구,종로 30-1 ,종로분식 앞,일반 사각 쓰레기통,재활용쓰레기,2025-05-09
38,종로구,종로1가 54,종로1가(중)(01-012),마대걸이형 쓰레기통,일반쓰레기,2025-05-09
39,종로구,종로1가 54,종로1가(중)(01-012),마대걸이형 쓰레기통,재활용쓰레기,2025-05-09
40,종로구,종로1가 54,종로1가(중)(01-012),마대걸이형 쓰레기통,일반쓰레기,2025-05-09
41,종로구,종로1가 54,종로1가(중)(01-012),마대걸이형 쓰레기통,재활용쓰레기,2025-05-09
42,종로구,종로1가 82-2,종로1가(중)(01-011),마대걸이형 쓰레기통,일반쓰레기,2025-05-09
43,종로구,종로1가 82-2,종로1가(중)(01-011),마대걸이형 쓰레기통,재활용쓰레기,2025-05-09
44,종로구,종로2가 15-1,종로2가 버스정류장(01-014),마대걸이형 쓰레기통,일반쓰레기,2025-05-09
45,종로구,종로2가 15-1,종로2가 버스정류장(01-014),마대걸이형 쓰레기통,재활용쓰레기,2025-05-09
46,종로구,종로2가 15-1,종로2가 버스정류장(01-014),마대걸이형 쓰레기통,일반쓰레기,2025-05-09
47,종로구,종로2가 15-1,종로2가 버스정류장(01-014),마대걸이형 쓰레기통,재활용쓰레기,2025-05-09
48,종로구,자하문로1길 6,세종마을음식문화거리,담배꽁초 수거함,일반쓰레기,2025-05-09
49,종로구,종로 103-1,종로3가.탑골공원(01-015),일반 사각 쓰레기통,일반쓰레기,2025-05-09
50,종로구,종로 103-1,종로3가.탑골공원(01-015),일반 사각 쓰레기통,일반쓰레기,2025-05-09
51,종로구,종로 70,커피빈 앞,일반 사각 쓰레기통,일반쓰레기,2025-05-09
52,종로구,종로 70,커피빈 앞,일반 사각 쓰레기통,재활용쓰레기,2025-05-09
53,종로구,종로 80-2,메가커피 앞,일반 사각 쓰레기통,일반쓰레기,2025-05-09
54,종로구,종로 80-2,메가커피 앞,일반 사각 쓰레기통,재활용쓰레기,2025-05-09
55,종로구,종로 83,귀금속 도매상가 앞,일반 사각 쓰레기통,일반쓰레기,2025-05-09
56,종로구,종로 83,귀금속 도매상가 앞,일반 사각 쓰레기통,재활용쓰레기,2025-05-09
57,종로구,인사동길 1,남인사마당,일반 사각 쓰레기통,일반쓰레기,2025-05-09
58,종로구,인사동길 1 ,남인사마당,일반 사각 쓰레기통,재활용쓰레기,2025-05-09
59,종로구,율곡로 46 ,구 종로경찰서 앞,일반 사각 쓰레기통,일반쓰레기,2025-05-09
60,종로구,율곡로 46,구 종로경찰서 앞,일반 사각 쓰레기통,재활용쓰레기,2025-05-09
61,종로구,삼일대로 467,서울노인복지센터 앞,일반 사각 쓰레기통,일반쓰레기,2025-05-09
62,종로구,삼일대로 467,서울노인복지센터 앞,일반 사각 쓰레기통,재활용쓰레기,2025-05-09
63,종로구,종로1가 1-3,광화문 버스정류소(01-010),마대걸이형 쓰레기통,일반쓰레기,2025-05-09
64,종로구,종로1가 1-3,광화문 버스정류소(01-010),마대걸이형 쓰레기통,재활용쓰레기,2025-05-09
65,종로구,종로1가 1-3,광화문 버스정류소(01-010),마대걸이형 쓰레기통,일반쓰레기,2025-05-09
