연번,자치구명,도로명주소,지번주소,설치위치,설치지점,수거쓰레기종류,가로쓰레기통형태,관리기관연락처
1,서울특별시 중랑구,,서울특별시 중랑구 면목동 481-6(겸재로),면목역(07-512),도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,02-2094-1958
2,서울특별시 중랑구,서울특별시 중랑구 겸재로 119-1,,하나은행면목지점(07-225),도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,02-2094-1958
3,서울특별시 중랑구,서울특별시 중랑구 겸재로 125,,그릴몬스터 앞,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,02-2094-1958
4,서울특별시 중랑구,서울특별시 중랑구 겸재로 188,,면목역2번출구(07-228),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
5,서울특별시 중랑구,서울특별시 중랑구 겸재로 90,,황금상사 앞,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,02-2094-1958
6,서울특별시 중랑구,서울특별시 중랑구 동일로 476,,늘푸른동아아파트(07-123),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
7,서울특별시 중랑구,서울특별시 중랑구 동일로 483,,면목119안전센터(07-121),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
8,서울특별시 중랑구,서울특별시 중랑구 동일로 614,,아르페지오 앞,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,02-2094-1958
9,서울특별시 중랑구,서울특별시 중랑구 동일로 635,,면목2동(07-115),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
10,서울특별시 중랑구,서울특별시 중랑구 동일로 692,,커스텀 가라지 앞,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,02-2094-1958
11,서울특별시 중랑구,서울특별시 중랑구 동일로 810,,중화역1-2(07-108),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
