연번,시군구명 ,설치위치,관할기관명,관할동,관리기관전화번호,데이터기준일자
1,인천광역시 남동구,구월동 1455와 구월동 1453 사이 (1) 구월로데오광장 1호,남동구청,구월3동,032-453-2556,2025-05-26
2,인천광역시 남동구,구월동 1455와 구월동 1453 사이 (2) 구월로데오광장 1호,남동구청,구월3동,032-453-2556,2025-05-26
3,인천광역시 남동구,구월동 1457-1 부근 구월로데오광장 2호,남동구청,구월3동,032-453-2556,2025-05-26
4,인천광역시 남동구,구월동 1463-2 유가네 닭갈비 부근(1) 구월로데오광장 3호,남동구청,구월3동,032-453-2556,2025-05-26
5,인천광역시 남동구,구월동 1463-2 유가네 닭갈비 부근(2) 구월로데오광장 3호,남동구청,구월3동,032-453-2556,2025-05-26
6,인천광역시 남동구,구월동 1468-1 로데오광장 안 구월로데오광장 4호,남동구청,구월3동,032-453-2556,2025-05-26
7,인천광역시 남동구,구월동 1467 베스킨라빈스 앞,남동구청,구월3동,032-453-2556,2025-05-26
8,인천광역시 남동구,구월동 1468 앞,남동구청,구월3동,032-453-2556,2025-05-26
9,인천광역시 남동구,"구월동 1314-1 앞, 벽산아파트(미추홀도서관) 버스정류장(39273)",남동구청,구월4동,032-453-2556,2025-05-26
10,인천광역시 남동구,"남촌동 491-3, 남촌동입구 버스정류장(39166)",남동구청,남촌도림동,032-453-2556,2025-05-26
11,인천광역시 남동구,"도림동 658-14, 도림주공1단지 버스정류장(39152)",남동구청,남촌도림동,032-453-2556,2025-05-26
12,인천광역시 남동구,"논현동 601-1, 논현10단지별빛마을웰카운티A정문 버스정류장(39121)",남동구청,논현1동,032-453-2556,2025-05-26
13,인천광역시 남동구,"논현동 604-3, 논현9단지냇마을신영지웰A 버스정류장(39101)",남동구청,논현1동,032-453-2556,2025-05-26
14,인천광역시 남동구,"논현동 613-5 앞, 청능로사거리 버스정류장(39622)",남동구청,논현1동,032-453-2556,2025-05-26
15,인천광역시 남동구,논현동 679-3 맞은편,남동구청,논현1동,032-453-2556,2025-05-26
16,인천광역시 남동구,논현동 680-1 맞은편,남동구청,논현1동,032-453-2556,2025-05-26
17,인천광역시 남동구,"논현동 563-10, 논현주공2단지 버스정류장(39106)",남동구청,논현2동,032-453-2556,2025-05-26
18,인천광역시 남동구,"논현동 564-5, 논현주공1단지 버스정류장(39112)",남동구청,논현2동,032-453-2556,2025-05-26
19,인천광역시 남동구,"논현동 580-7, 숲속마을 버스정류장(39649)",남동구청,논현2동,032-453-2556,2025-05-26
20,인천광역시 남동구,"논현동 635-5, 논현3단지하늘마을302동 버스정류장(39624)",남동구청,논현2동,032-453-2556,2025-05-26
21,인천광역시 남동구,"논현동 643-4, 논현2단지범마을 버스정류장(39625)",남동구청,논현2동,032-453-2556,2025-05-26
22,인천광역시 남동구,"논현동 733-7, 논현동힐스테이트 버스정류장(39708)",남동구청,논현고잔동,032-453-2556,2025-05-26
23,인천광역시 남동구,"만수동 849, 만수3동주민센터 버스정류장(39427)",남동구청,만수3동,032-453-2556,2025-05-26
24,인천광역시 남동구,"만수동 1001, 남동구청 버스정류장(39279)",남동구청,만수6동,032-453-2556,2025-05-26
25,인천광역시 남동구,"만수동 1006, 남동구청역 버스정류장(39318)",남동구청,만수6동,032-453-2556,2025-05-26
26,인천광역시 남동구,구월동 1409-21 (1),남동구청,구월3동,032-453-2556,2025-05-26
27,인천광역시 남동구,구월동 1409-21 (2),남동구청,구월3동,032-453-2556,2025-05-26
28,인천광역시 남동구,구월동 1409-21 (3),남동구청,구월3동,032-453-2556,2025-05-26
