시도명,시군구명,설치주소,설치지점,쓰레기통 종류,관리기관명,관리기관전화번호,데이터기준일자
충청남도,서산시,대산읍 가로림로 64,한미아파트,일반쓰레기통 및 분리수거대(아파트단지내),대산읍 행정복지센터,041-660-3717,2025-04-22
충청남도,서산시,대산읍 개화1길 3,화곡2리 마을회관 앞,일반쓰레기통 및 분리수거대(클린하우스),대산읍 행정복지센터,041-660-3717,2025-04-22
충청남도,서산시,대산읍 독곶리 295-7,독곶1리 마을회관 앞,일반쓰레기통 및 분리수거대(클린하우스),대산읍 행정복지센터,041-660-3717,2025-04-22
충청남도,서산시,대산읍 망일산로 834-6,휴먼시아아파트,일반쓰레기통 및 분리수거대(아파트단지내),대산읍 행정복지센터,041-660-3717,2025-04-22
충청남도,서산시,대산읍 반곡길 35,화곡1리 마을회관 앞,일반쓰레기통 및 분리수거대(클린하우스),대산읍 행정복지센터,041-660-3717,2025-04-22
충청남도,서산시,대산읍 운산리길 1432,운산4리 마을회관 앞,일반쓰레기통 및 분리수거대(클린하우스),대산읍 행정복지센터,041-660-3717,2025-04-22
충청남도,서산시,대산읍 충의로 1839-7,풍림아파트,일반쓰레기통 및 분리수거대(아파트단지내),대산읍 행정복지센터,041-660-3717,2025-04-22
충청남도,서산시,대산읍 충의로 2061,삼호아파트,일반쓰레기통 및 분리수거대(아파트단지내),대산읍 행정복지센터,041-660-3717,2025-04-22
충청남도,서산시,대산읍 충의로 2083,대원그린빌아파트,일반쓰레기통 및 분리수거대(아파트단지내),대산읍 행정복지센터,041-660-3717,2025-04-22
충청남도,서산시,대산읍 화곡리 1891,삼길포항 주차장,일반쓰레기통 및 분리수거대(클린하우스),대산읍 행정복지센터,041-660-3717,2025-04-22
충청남도,서산시,갈산동 833-3,도로변,일반쓰레기통 및 분리수거대(클린하우스),부춘동 행정복지센터,041-660-3597,2025-04-22
충청남도,서산시,갈산동 903,버스정류장 근처,일반쓰레기통 및 분리수거대(클린하우스),부춘동 행정복지센터,041-660-3597,2025-04-22
충청남도,서산시,고운로 109-1,양유정공원 근처,일반쓰레기통 및 분리수거대(클린하우스),부춘동 행정복지센터,041-660-3597,2025-04-22
충청남도,서산시,대산읍 반곡길 35,대산읍 화곡1리 마을회관 앞,일반쓰레기통 및 분리수거대(클린하우스),대산읍 행정복지센터,041-660-3717,2025-04-22
충청남도,서산시,대산읍 운산리길 1432,대산읍 운산4리 마을회관 앞,일반쓰레기통 및 분리수거대(클린하우스),대산읍 행정복지센터,041-660-3717,2025-04-22
충청남도,서산시,대산읍 화곡리 1891,대산읍 삼길포항 주차장,일반쓰레기통 및 분리수거대(클린하우스),대산읍 행정복지센터,041-660-3717,2025-04-22
충청남도,서산시,부석면 간월도리 379-2,화장실내,일반쓰레기,부석면행정복지센터,041-660-3431,2025-04-22
충청남도,서산시,부석면 간월도리 675,탐조대,재활용쓰레기,부석면행정복지센터,041-660-3431,2025-04-22
충청남도,서산시,부석면 간월도리 679-1,도로변,일반쓰레기통 및 분리수거대(클린하우스),부석면 행정복지센터,041-660-3787,2025-04-22
충청남도,서산시,부석면 창리 262-9,식당옆,음식물쓰레기,옥경이네외 식당,041-662-4103,2025-04-22
충청남도,서산시,부석면 창리 286-92,식당옆,재활용쓰레기,창리회타운,041-662-1020,2025-04-22
충청남도,서산시,부석면 창리 295-1,도로변,일반쓰레기통 및 분리수거대(클린하우스),부석면 행정복지센터,041-660-3787,2025-04-22
충청남도,서산시,부석면 천수만로 655-73,서산 버드랜드 주차장,일반쓰레기통 및 분리수거대(클린하우스),부석면 행정복지센터,041-660-3787,2025-04-22
충청남도,서산시,부석면 취평리 257-5,정류장,일반쓰레기,부석면행정복지센터,041-660-3431,2025-04-22
충청남도,서산시,성연면 해성리 202-4,해성리 마을회관 앞,일반쓰레기통 및 분리수거대(클린하우스),성연면 행정복지센터,041-660-3492,2025-04-22
충청남도,서산시,온석동 13-3,도로변,일반쓰레기통 및 분리수거대(클린하우스),동문1동 행정복지센터,041-660-3608,2025-04-22
충청남도,서산시,음암면 도당가금말길 44-7,서림아파트,일반쓰레기통 및 분리수거대(아파트단지내),음암면 행정복지센터,041-660-3507,2025-04-22
충청남도,서산시,음암면 도당리 1293-16,음암면행정복지센터,일반쓰레기통 및 분리수거대(클린하우스),음암면 행정복지센터,041-660-3507,2025-04-22
