연번,도시군,읍면명,설치장소,쓰레기통 종류,관리기관명,관리기관전화번호,데이터기준일자
1,충청남도 홍성군,홍성읍,오관리472-1,분리수거함,환경과,041-630-1350,2025-04-14
2,충청남도 홍성군,홍성읍,오관리595-2,분리수거함,환경과,041-630-1350,2025-04-14
3,충청남도 홍성군,홍성읍,옥암리899-18,분리수거함,환경과,041-630-1350,2025-04-14
4,충청남도 홍성군,홍성읍,고암리907-3,분리수거함,환경과,041-630-1350,2025-04-14
5,충청남도 홍성군,홍성읍,내법리430-1,분리수거함,환경과,041-630-1350,2025-04-14
6,충청남도 홍성군,홍성읍,오관리 877,분리수거함,환경과,041-630-1350,2025-04-14
7,충청남도 홍성군,홍성읍,오관리 556-2,분리수거함,환경과,041-630-1350,2025-04-14
8,충청남도 홍성군,홍성읍,내포로 251번길120,분리수거함,환경과,041-630-1350,2025-04-14
9,충청남도 홍성군,홍성읍,대교리 443-32,분리수거함,환경과,041-630-1350,2025-04-14
10,충청남도 홍성군,홍성읍,오관리 715-21,분리수거함,환경과,041-630-1350,2025-04-14
11,충청남도 홍성군,홍성읍,오관리 411-21,분리수거함,환경과,041-630-1350,2025-04-14
12,충청남도 홍성군,홍성읍,월산리 901,분리수거함,환경과,041-630-1350,2025-04-14
13,충청남도 홍성군,홍성읍,오관리904,분리수거함,환경과,041-630-1350,2025-04-14
14,충청남도 홍성군,홍성읍,남장리 422-5,분리수거함,환경과,041-630-1350,2025-04-14
15,충청남도 홍성군,홍성읍,남장리 108-19,분리수거함,환경과,041-630-1350,2025-04-14
16,충청남도 홍성군,홍성읍,남장리 507-8,분리수거함,환경과,041-630-1350,2025-04-14
17,충청남도 홍성군,홍성읍,고암리 552-6,분리수거함,환경과,041-630-1350,2025-04-14
18,충청남도 홍성군,홍성읍,월산리 850,분리수거함,환경과,041-630-1350,2025-04-14
19,충청남도 홍성군,홍성읍,내법리 330-2,분리수거함,환경과,041-630-1350,2025-04-14
20,충청남도 홍성군,홍성읍,오관리 726-5,분리수거함,환경과,041-630-1350,2025-04-14
21,충청남도 홍성군,홍성읍,내법리 154-5,분리수거함,환경과,041-630-1350,2025-04-14
22,충청남도 홍성군,홍성읍,오관리 587-4,분리수거함,환경과,041-630-1350,2025-04-14
23,충청남도 홍성군,홍성읍,고암리 570-9,분리수거함,환경과,041-630-1350,2025-04-14
24,충청남도 홍성군,홍성읍,월산리 830-4,분리수거함,환경과,041-630-1350,2025-04-14
25,충청남도 홍성군,홍성읍,대교리 30-2,분리수거함,환경과,041-630-1350,2025-04-14
26,충청남도 홍성군,홍성읍,대교리 16-7,분리수거함,환경과,041-630-1350,2025-04-14
27,충청남도 홍성군,홍성읍,오관리 875-19,분리수거함,환경과,041-630-1350,2025-04-14
28,충청남도 홍성군,광천읍,충서로 206-12,분리수거함,환경과,041-630-1350,2025-04-14
29,충청남도 홍성군,광천읍,매현1길 2,분리수거함,환경과,041-630-1350,2025-04-14
30,충청남도 홍성군,광천읍,담산길 13,분리수거함,환경과,041-630-1350,2025-04-14
31,충청남도 홍성군,광천읍,월림1길 20-4,분리수거함,환경과,041-630-1350,2025-04-14
32,충청남도 홍성군,광천읍,홍남로623-18,분리수거함,환경과,041-630-1350,2025-04-14
33,충청남도 홍성군,광천읍,가정리 502-3,분리수거함,환경과,041-630-1350,2025-04-14
34,충청남도 홍성군,광천읍,소암리 344-4,분리수거함,환경과,041-630-1350,2025-04-14
35,충청남도 홍성군,광천읍,상정리 580-3,분리수거함,환경과,041-630-1350,2025-04-14
36,충청남도 홍성군,광천읍,상정리 653-3,분리수거함,환경과,041-630-1350,2025-04-14
37,충청남도 홍성군,홍북읍,이응노로 307,분리수거함,환경과,041-630-1350,2025-04-14
38,충청남도 홍성군,홍북읍,금북로 366,분리수거함,환경과,041-630-1350,2025-04-14
39,충청남도 홍성군,홍북읍,홍천문화2길30-14,분리수거함,환경과,041-630-1350,2025-04-14
40,충청남도 홍성군,홍북읍,내용길 270,분리수거함,환경과,041-630-1350,2025-04-14
41,충청남도 홍성군,홍북읍,금북로614번길118,분리수거함,환경과,041-630-1350,2025-04-14
42,충청남도 홍성군,홍북읍,홍북로 453번길 47-19,분리수거함,환경과,041-630-1350,2025-04-14
43,충청남도 홍성군,홍북읍,홍북로 502번길 54,분리수거함,환경과,041-630-1350,2025-04-14
44,충청남도 홍성군,홍북읍,홍북읍 대인리 602-6,분리수거함,환경과,041-630-1350,2025-04-14
45,충청남도 홍성군,홍북읍,홍북읍 갈산리 244-3,분리수거함,환경과,041-630-1350,2025-04-14
46,충청남도 홍성군,홍북읍,금북로 364-41,분리수거함,환경과,041-630-1350,2025-04-14
47,충청남도 홍성군,홍북읍,홍북로 450,분리수거함,환경과,041-630-1350,2025-04-14
48,충청남도 홍성군,홍동면,신기리 382-7,분리수거함,환경과,041-630-1350,2025-04-14
49,충청남도 홍성군,홍동면,광금남로498번길 89,분리수거함,환경과,041-630-1350,2025-04-14
50,충청남도 홍성군,금마면,죽림리 82-30,분리수거함,환경과,041-630-1350,2025-04-14
51,충청남도 홍성군,금마면,죽림리 719-29,분리수거함,환경과,041-630-1350,2025-04-14
52,충청남도 홍성군,금마면,화양리 317-16,분리수거함,환경과,041-630-1350,2025-04-14
53,충청남도 홍성군,금마면,홍양길 518,분리수거함,환경과,041-630-1350,2025-04-14
54,충청남도 홍성군,금마면,금마로436번길 71,분리수거함,환경과,041-630-1350,2025-04-14
55,충청남도 홍성군,장곡면, 신풍리 60-1,분리수거함,환경과,041-630-1350,2025-04-14
56,충청남도 홍성군,장곡면, 홍남동로461,분리수거함,환경과,041-630-1350,2025-04-14
57,충청남도 홍성군,장곡면, 홍남동로 713번길 190,분리수거함,환경과,041-630-1350,2025-04-14
58,충청남도 홍성군,장곡면,지정1길 41-8,분리수거함,환경과,041-630-1350,2025-04-14
59,충청남도 홍성군,장곡면,장곡길534번길 49,분리수거함,환경과,041-630-1350,2025-04-14
60,충청남도 홍성군,장곡면,장곡동길 660,분리수거함,환경과,041-630-1350,2025-04-14
61,충청남도 홍성군,장곡면,홍남동로 474번길 120-1,분리수거함,환경과,041-630-1350,2025-04-14
62,충청남도 홍성군,은하면,홍남서로886번길 177,분리수거함,환경과,041-630-1350,2025-04-14
63,충청남도 홍성군,은하면,은하로406번길 156,분리수거함,환경과,041-630-1350,2025-04-14
64,충청남도 홍성군,은하면,은하로129번길 76,분리수거함,환경과,041-630-1350,2025-04-14
65,충청남도 홍성군,은하면,구성남로310번길 150-4,분리수거함,환경과,041-630-1350,2025-04-14
