연번,시군구,관리기관,도로(가로)명,설치세부위치,설치지점,정류장명(번호),수거쓰레기 종류
1,충청북도 청주시,상당구 환경위생과,상당로,상당로 18,버스정류장,육거리(1614),일반쓰레기 수거용
2,충청북도 청주시,상당구 환경위생과,상당로,상당로 34,버스정류장,서운동(1612),일반쓰레기 수거용
3,충청북도 청주시,상당구 환경위생과,상당로,중앙로 80,버스정류장,방아다리(1507),일반쓰레기 수거용
4,충청북도 청주시,상당구 환경위생과,상당로,상당로 184,버스정류장,방아다리(1508),일반쓰레기 수거용
5,충청북도 청주시,상당구 환경위생과,상당로,상당로 118,버스정류장,상당공원(1504),일반쓰레기 수거용
6,충청북도 청주시,상당구 환경위생과,상당로,상당로 155,버스정류장,시청(1505),일반쓰레기 수거용
7,충청북도 청주시,상당구 환경위생과,상당로,상당로 150-1,버스정류장,시청(1506),일반쓰레기 수거용
8,충청북도 청주시,상당구 환경위생과,상당로,상당로 111-1,버스정류장,상당공원(1503),일반쓰레기 수거용
9,충청북도 청주시,상당구 환경위생과,상당로,상당로 49,버스정류장,용두사지철당간(1611),일반쓰레기 수거용
10,충청북도 청주시,상당구 환경위생과,사직대로,사직대로 358,버스정류장,청주대교(1543),일반쓰레기 수거용
11,충청북도 청주시,상당구 환경위생과,사직대로,사직대로 370,버스정류장,지하상가(1541),일반쓰레기 수거용
12,충청북도 청주시,서원구 환경위생과,사직대로,사직대로 309,버스정류장,사직분수대(1544),일반쓰레기 수거용
13,충청북도 청주시,서원구 환경위생과,사직대로,사직대로 275,버스정류장,"사직사거리,시립미술관(1546)",일반쓰레기 수거용
14,충청북도 청주시,서원구 환경위생과,사직대로,사직대로 276-1,버스정류장,"사직사거리,시립미술관(1545)",일반쓰레기 수거용
15,충청북도 청주시,서원구 환경위생과,사직대로,사직대로 245,버스정류장,청주체육관(1548),일반쓰레기 수거용
16,충청북도 청주시,서원구 환경위생과,사직대로,사직대로 240-1,버스정류장,청주체육관(1547),일반쓰레기 수거용
17,충청북도 청주시,서원구 환경위생과,사직대로,사직대로 188,버스정류장,시계탑(1549),일반쓰레기 수거용
18,충청북도 청주시,서원구 환경위생과,사직대로,사직대로 181,버스정류장,시계탑(1550),일반쓰레기 수거용
19,충청북도 청주시,서원구 환경위생과,사직대로,사직대로 151-2,버스정류장,"중앙여고,사창시장(1552)",일반쓰레기 수거용
20,충청북도 청주시,서원구 환경위생과,사직대로,사직대로 146,버스정류장,"중앙여고,사창시장(1551)",일반쓰레기 수거용
21,충청북도 청주시,서원구 환경위생과,1순환로,1순환로 649,버스정류장,사창사거리(1554),일반쓰레기 수거용
22,충청북도 청주시,서원구 환경위생과,사직대로,사직대로 107,버스정류장,사창사거리(1683),일반쓰레기 수거용
23,충청북도 청주시,서원구 환경위생과,사직대로,사직대로 84,버스정류장,청주고등학교(1917),일반쓰레기 수거용
24,충청북도 청주시,서원구 환경위생과,사운로,사운로 157,버스정류장,"사직평화아파트,충청일보(1559)",일반쓰레기 수거용
25,충청북도 청주시,서원구 환경위생과,사운로,사운로 133,버스정류장,사직1동행정복지센터(1557),일반쓰레기 수거용
26,충청북도 청주시,서원구 환경위생과,사운로,사운로 136,버스정류장,사직1동행정복지센터(1558),일반쓰레기 수거용
27,충청북도 청주시,서원구 환경위생과,사운로,사운로 99-2,버스정류장,사직미호아파트(1555),일반쓰레기 수거용
28,충청북도 청주시,서원구 환경위생과,사운로,사운로 100,버스정류장,사직미호아파트(1556),일반쓰레기 수거용
29,충청북도 청주시,서원구 환경위생과,청남로,무심서로 359,버스정류장,꽃다리(1645),일반쓰레기 수거용
30,충청북도 청주시,서원구 환경위생과,청남로,모충동 190-1,버스정류장,꽃다리(1646),일반쓰레기 수거용
31,충청북도 청주시,서원구 환경위생과,청남로,청남로 2113-1,버스정류장,청주농협(2115),일반쓰레기 수거용
32,충청북도 청주시,서원구 환경위생과,청남로,청남로 2118,버스정류장,청주농협(2116),일반쓰레기 수거용
33,충청북도 청주시,서원구 환경위생과,청남로,청남로 2076,버스정류장,청주교육대학교(1631),일반쓰레기 수거용
